POI_INDEX,TOTAL_REVIEWS,RANKING,POI_TYPE,TRIP_TYPE,AVERAGE_RATING,RATING_5_COUNT,RATING_4_COUNT,RATING_3_COUNT,RATING_2_COUNT,RATING_1_COUNT,ABOUT,ADDRESS,ATTRIBUTES_CRAWLED_TIME
70,17,142,"Other, Sights & Landmarks, More",Family,4.294117647058824,8,6,3,0,0,Certificate of Excellence,"Off Orchard Road, Singapore, Singapore",2020-01-31 16:20:28.396646
70,65,142,"Sights & Landmarks, Other, More",Couples,4.323076923076924,28,30,7,0,0,Certificate of Excellence,"Off Orchard Road, Singapore, Singapore",2020-01-31 16:21:09.607054
70,39,142,"Other, Sights & Landmarks, More",Solo,3.948717948717949,11,18,8,1,1,Certificate of Excellence,"Off Orchard Road, Singapore, Singapore",2020-01-31 16:22:03.255115
70,6,142,"Other, Sights & Landmarks, More",Business,4.666666666666667,4,2,0,0,0,Certificate of Excellence,"Off Orchard Road, Singapore, Singapore",2020-01-31 16:22:45.641120
70,35,142,"Other, Sights & Landmarks, More",Friends,4.428571428571429,18,14,3,0,0,Certificate of Excellence,"Off Orchard Road, Singapore, Singapore",2020-01-31 16:23:09.872871
71,7,145,"Sights & Landmarks, Architectural Buildings",Family,4.714285714285714,5,2,0,0,0,"Described as imposing and monumental, the open plaza of Parkview Square is surrounded by sculptures and statues, with an impressive number of bronze effigies of famous historical characters.","600 North Bridge Road Parkview Square, Singapore 188778, Singapore",2020-01-31 16:23:45.820038
71,33,145,"Sights & Landmarks, Architectural Buildings",Couples,4.363636363636363,17,13,2,0,1,"Described as imposing and monumental, the open plaza of Parkview Square is surrounded by sculptures and statues, with an impressive number of bronze effigies of famous historical characters.","600 North Bridge Road Parkview Square, Singapore 188778, Singapore",2020-01-31 16:24:09.948209
71,20,145,"Sights & Landmarks, Architectural Buildings",Solo,4.0,10,3,5,1,1,"Described as imposing and monumental, the open plaza of Parkview Square is surrounded by sculptures and statues, with an impressive number of bronze effigies of famous historical characters.","600 North Bridge Road Parkview Square, Singapore 188778, Singapore",2020-01-31 16:24:44.186681
71,10,145,"Sights & Landmarks, Architectural Buildings",Business,3.8,3,4,2,0,1,"Described as imposing and monumental, the open plaza of Parkview Square is surrounded by sculptures and statues, with an impressive number of bronze effigies of famous historical characters.","600 North Bridge Road Parkview Square, Singapore 188778, Singapore",2020-01-31 16:25:16.409662
71,25,145,"Sights & Landmarks, Architectural Buildings",Friends,4.640000000000001,17,7,1,0,0,"Described as imposing and monumental, the open plaza of Parkview Square is surrounded by sculptures and statues, with an impressive number of bronze effigies of famous historical characters.","600 North Bridge Road Parkview Square, Singapore 188778, Singapore",2020-01-31 16:25:41.000451
72,263,87,"Nature & Parks, Bodies of Water",Family,4.395437262357414,134,102,24,3,0,Certificate of Excellence,"Boat, Clarke, Robertson Quays, Singapore, Singapore",2020-01-31 16:26:14.680659
72,494,87,"Nature & Parks, Bodies of Water",Couples,4.4271255060728745,252,211,24,4,3,Certificate of Excellence,"Boat, Clarke, Robertson Quays, Singapore, Singapore",2020-01-31 16:29:44.069780
72,120,87,"Nature & Parks, Bodies of Water",Solo,4.35,57,50,12,0,1,Certificate of Excellence,"Boat, Clarke, Robertson Quays, Singapore, Singapore",2020-01-31 16:36:11.086309
72,72,87,"Nature & Parks, Bodies of Water",Business,4.5,42,24,6,0,0,Certificate of Excellence,"Boat, Clarke, Robertson Quays, Singapore, Singapore",2020-01-31 16:46:18.921873
72,165,87,"Nature & Parks, Bodies of Water",Friends,4.357575757575757,71,82,12,0,0,Certificate of Excellence,"Boat, Clarke, Robertson Quays, Singapore, Singapore",2020-01-31 16:47:29.699828
73,28,144,"Sights & Landmarks, Arenas & Stadiums",Family,4.142857142857142,9,17,0,1,1,"With a maximum capacity of 55,000 people, the National Stadium was not only was it a focal point for the nation’s sporting, cultural, entertainment and national events, it is also the spiritual home of The Lions, Singapore’s national football team.","2 Stadium Walk, Singapore 397718, Singapore",2020-01-31 16:49:45.698853
73,22,144,"Sights & Landmarks, Arenas & Stadiums",Couples,4.363636363636363,12,8,1,0,1,"With a maximum capacity of 55,000 people, the National Stadium was not only was it a focal point for the nation’s sporting, cultural, entertainment and national events, it is also the spiritual home of The Lions, Singapore’s national football team.","2 Stadium Walk, Singapore 397718, Singapore",2020-01-31 16:50:28.144259
73,12,144,"Sights & Landmarks, Arenas & Stadiums",Solo,4.166666666666667,4,6,2,0,0,"With a maximum capacity of 55,000 people, the National Stadium was not only was it a focal point for the nation’s sporting, cultural, entertainment and national events, it is also the spiritual home of The Lions, Singapore’s national football team.","2 Stadium Walk, Singapore 397718, Singapore",2020-01-31 16:51:04.471837
73,7,144,"Sights & Landmarks, Arenas & Stadiums",Business,4.285714285714286,3,3,1,0,0,"With a maximum capacity of 55,000 people, the National Stadium was not only was it a focal point for the nation’s sporting, cultural, entertainment and national events, it is also the spiritual home of The Lions, Singapore’s national football team.","2 Stadium Walk, Singapore 397718, Singapore",2020-01-31 16:51:31.726496
73,36,144,"Sights & Landmarks, Arenas & Stadiums",Friends,4.222222222222222,14,16,6,0,0,"With a maximum capacity of 55,000 people, the National Stadium was not only was it a focal point for the nation’s sporting, cultural, entertainment and national events, it is also the spiritual home of The Lions, Singapore’s national football team.","2 Stadium Walk, Singapore 397718, Singapore",2020-01-31 16:51:56.105768
74,141,69,"Sights & Landmarks, Cemeteries",Family,4.567375886524823,95,34,10,1,1,"Location Information The Commonwealth War Graves Commission's Kranji War Cemetery is 22 kilometres north of the city of Singapore, on the north side of Singapore Island overlooking the Straits of Johore. It is located just to the West of the Singapore-Johore road (Bukit Timah Expressway) on Woodlands Road, just to the south of the crossroads with Turf Club Avenue and Kranji Road. There is a short approach road from the main road. The Cemetery is known locally as Kranji Memorial and one must be sure of the address before boarding a taxi as most taxi drivers do not know the Cemetery. There are also bus stops on the main road facing the Cemetery. The Kranji MRT (train) terminal is a short distance from the Cemetery, approximately 10 to 15 minutes away by foot. A previous visitor has advised us that a small map of the route can be obtained from the MRT ticket office. Visiting Information Kranji War Cemetery is open every day 07:00-18:30. The cemetery is constructed on a hill with the means of access being via three flights of steps, rising over four metres from the road level, which makes wheelchair access to this site impossible.","9 Woodlands Road, Singapore 738656, Singapore",2020-01-31 16:52:42.861721
74,359,69,"Sights & Landmarks, Cemeteries",Couples,4.7075208913649025,271,72,15,1,0,"Location Information The Commonwealth War Graves Commission's Kranji War Cemetery is 22 kilometres north of the city of Singapore, on the north side of Singapore Island overlooking the Straits of Johore. It is located just to the West of the Singapore-Johore road (Bukit Timah Expressway) on Woodlands Road, just to the south of the crossroads with Turf Club Avenue and Kranji Road. There is a short approach road from the main road. The Cemetery is known locally as Kranji Memorial and one must be sure of the address before boarding a taxi as most taxi drivers do not know the Cemetery. There are also bus stops on the main road facing the Cemetery. The Kranji MRT (train) terminal is a short distance from the Cemetery, approximately 10 to 15 minutes away by foot. A previous visitor has advised us that a small map of the route can be obtained from the MRT ticket office. Visiting Information Kranji War Cemetery is open every day 07:00-18:30. The cemetery is constructed on a hill with the means of access being via three flights of steps, rising over four metres from the road level, which makes wheelchair access to this site impossible.","9 Woodlands Road, Singapore 738656, Singapore",2020-01-31 16:54:05.455150
74,135,69,"Sights & Landmarks, Cemeteries",Solo,4.57037037037037,90,32,13,0,0,"Location Information The Commonwealth War Graves Commission's Kranji War Cemetery is 22 kilometres north of the city of Singapore, on the north side of Singapore Island overlooking the Straits of Johore. It is located just to the West of the Singapore-Johore road (Bukit Timah Expressway) on Woodlands Road, just to the south of the crossroads with Turf Club Avenue and Kranji Road. There is a short approach road from the main road. The Cemetery is known locally as Kranji Memorial and one must be sure of the address before boarding a taxi as most taxi drivers do not know the Cemetery. There are also bus stops on the main road facing the Cemetery. The Kranji MRT (train) terminal is a short distance from the Cemetery, approximately 10 to 15 minutes away by foot. A previous visitor has advised us that a small map of the route can be obtained from the MRT ticket office. Visiting Information Kranji War Cemetery is open every day 07:00-18:30. The cemetery is constructed on a hill with the means of access being via three flights of steps, rising over four metres from the road level, which makes wheelchair access to this site impossible.","9 Woodlands Road, Singapore 738656, Singapore",2020-01-31 16:56:50.774199
