POI_INDEX,ENG_NAME,TOTAL_REVIEWS,RANKING,RATINGS,ADDRESS,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
0,not available,16691,0,4.8,"8 Sentosa Gateway, Sentosa Island Singapore",全年  10:00-19:00；其他特殊日期开放时间如下： 1、开放时间为10:00-20:00的日期有3月15-20日、3月22日、4月4/25日；2、开放时间为10:00-21:00的日期有3月14/28日、4月10/11/18日；3、开放时间为10:00-17:00的日期有2月10-29日、3月1-12日；4、另外：如闭园时间在20点和21点的会分别有以下两项活动：（20点）好莱坞璀璨夜间巡游，（21点）印象好莱坞；5、以上开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准。,2020-02-10 22:15:02.857944
1,not available,6537,1,4.8,"18 Marina Gardens Dr, Singapore 018953",全年  09:00-21:00；云雾林+花穹+ocbc空中走道：9:00-21:00（最晚入园时间20:00）；室外花园开放时间：5:00am-2:00pm；远东儿童乐园：周二-周五10:00-19:00；周末及假期：9:00-21:00；。,2020-02-10 22:16:45.376892
2,not available,4001,2,4.7,Sentosa Island,以景区当天安排为准。,2020-02-10 22:18:15.896946
3,"
                                 Orchard Road
                              
                             
                         ",2112,3,4.5,"OrchardRd,Singapore",全天开放,2020-02-10 22:18:43.056700
4,not available,2471,4,4.6,"3E River Valley Rd, Singapore 179024",09:00 — 22:00。,2020-02-10 22:21:33.646805
5,not available,6185,5,4.7,80 Mandai Lake Road Singapore 729826,全年  08:30-18:00；8:30-18:00（周一-周日）（最晚入园时间17：30）。,2020-02-10 22:32:01.227044
6,"
                                 Little India
                              
                             
                         ",1357,6,4.3,"48SerangoonRoad,#02-16,LittleIndiaArcadeSingapore217959",全天开放,2020-02-10 22:35:33.758496
7,"
                                 Chinatown Singapore
                              
                             
                         ",1207,7,4.3,",Chinatown,PagodaStreet,TrengganuStreet,SagoStreet,SmithStSingapore050005",全天开放,2020-02-10 22:37:28.784163
8,"
                                 Singapore Flyer
                              
                             
                         ",3651,8,4.7,30RafflesAvenueSingapore039803,每天上午 8:30 至晚上 10:30 （售票处开放至晚上 10:00）。,2020-02-10 22:39:39.594351
9,not available,6338,9,4.7,"8 Sentosa Gateway, Sentosa Island",全年  10:00-19:00；1、其中SEA海洋馆特殊日期开放时间为10:00-17:00的日期2月10-29日、3月1-12日；2、海事博物馆特殊开放时间为10:00-18:00的日期：2月10日-3月1日；3、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准。,2020-02-10 22:48:28.872098
10,"
                                 Merlion Park
                              
                             
                         ",1722,10,4.5,浮尔顿一号（浮尔顿酒店正前方）,全年  全天开放。,2020-02-10 22:49:42.113890
11,not available,3452,11,4.4,"80 Mandai Lake Rd, Singapore",全年  19:15-23:55；19:15-24:00（周一-周日）（最晚入园时间23:15）。,2020-02-10 22:53:29.763822
12,not available,555,12,4.6,10 Bayfront Avenue，Singapore 018956,全天开放,2020-02-10 22:54:32.780754
13,not available,708,13,4.6,"1 Cluny Rd, Singapore 259569",新加坡植物园5:00-24:00。国家胡姬花园8:30-19:00，最后进入时间为18:00。。,2020-02-10 22:55:36.874971
14,not available,579,14,4.7,"8 Sentosa Gateway, Sentosa Island, Singapore 098269",全天开放（餐厅营业时间各不相同，请参考具体产品的营业时间）,2020-02-10 22:56:28.205902
15,"
                                 Esplanade Theatres on the Bay
                              
                             
                         ",429,15,4.4,"1EsplanadeDrive,Singapore038981",周一-周五10:00-20:00，周六11:00-20:00，周日关闭。,2020-02-10 22:57:21.543761
16,not available,3285,16,4.8,"Imbiah Lookout 51 Cable Car Road | 45 Siloso Beach Walk, Sentosa Island 099003",全年  10:00-21:30；最晚入园时间21:15。,2020-02-10 22:58:17.688158
17,not available,853,17,4.6,"93 Stanford Road, Singapore",10:00 AM - 19:00 PM。,2020-02-10 22:59:03.540979
18,"
                                 Marina Bay
                              
                             
                         ",418,18,4.7,10BayfrontAvenueSingapore018956,全天开放 新加坡滨海湾Prudential嘉年华开放时间：至2018年4月1日，16:00至23:00（最后入场时间22:00）,2020-02-10 22:59:48.274475
19,not available,462,19,4.6,"Singapore River, Singapore",City Tours鸭子船：9:30-17:30。DUCKtours鸭子船：10：00至傍晚18：00。克拉码头：09:00 — 22:00。。,2020-02-10 23:04:50.779131
20,"
                                 St Andrew's Cathedral
                              
                             
                         ",462,20,4.4,11StAndrew'sRoad，Singapore178959,周一、周二、周四、周五、周六：9:00-17:00;周三：9:45-17:00;周日：9:00-13:30,2020-02-10 23:05:16.131224
21,not available,761,21,4.5,10 Bayfront Avenue，Singapore,周一-周四：9:30—22:00；	 周五-周日：9:30—23:00。,2020-02-10 23:05:44.805097
22,not available,592,22,4.6,1 St. Andrew’s Road Singapore 178957,10:00-19:00（周一至周四，周六周日）； 10:00-21:00（周五）。,2020-02-10 23:06:08.359667
23,not available,1232,23,4.7,80 Mandai Lake Road Singapore 729826,全年  10:00-19:00；10:00-19:00（周一-周日）最晚入园时间18点30分。,2020-02-10 23:06:53.189581
24,"
                                 Marina Bay Sands Hotel Infinity Pool
                              
                             
                         ",649,24,4.8,"10BayfrontAve,Singapore018956",6:00-23:00，无边泳池（包括南花园和南花园）可能会因私人​​活动而关闭。,2020-02-10 23:07:17.062149
25,not available,2622,25,4.7,"10 Beach View, Sentosa Island 099538, Singapore",全年  13:00-20:40；13:00-20:40为可换票时间，一天有两个表演场次，分别是19:40和20:40。,2020-02-10 23:15:22.177152
26,not available,2075,26,4.8,"8 Sentosa Gateway, Resorts World Sentosa, Singapore 098269",全年  10:00-18:00；1、开放时间为10:00-17:00的日期：2月10日-3月1日；2、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准；3、探险水迷宫将从2020年2月7日停止运营，直至另行通知。,2020-02-10 23:19:01.563517
27,"
                                 Palawan Beach
                              
                             
                         ",406,27,4.5,"85APalawanBeachWalkSentosa-SwimmingLagoonRest|SouthernmostPoint,SentosaIsland098521,Singapore",全天开放,2020-02-10 23:20:05.614815
28,"
                                 Haji Lane
                              
                             
                         ",376,28,4.4,"HajiLn,Singapore",全天开放,2020-02-10 23:20:36.995272
29,"
                                 Masjid Sultan
                              
                             
                         ",274,29,4.4,"3MuscatStreet,Singapore198833",周一-周四、周六、周日10:00-12:00、14:00-16:00，周五14:30-16:00。,2020-02-10 23:21:23.759995
30,not available,896,30,4.7,2 Jurong Hill Singapore 628925,8:30-18:00（周一-周日）（最晚入园时间是17:30）。,2020-02-10 23:23:13.015854
31,"
                                 Chijmes
                              
                             
                         ",210,31,4.5,"30VictoriaStreet,Singapore187996",全天开放,2020-02-10 23:24:09.738350
32,"
                                 Siloso Beach
                              
                             
                         ",302,32,4.4,"SilosoBeachWalk,Singapore",全天开放,2020-02-10 23:26:56.131597
33,"
                                 Helix Bridge
                              
                             
                         ",365,33,4.5,"LinkingbetweenMarinaBayandMarinaCentre,Singapore038981,Singapore",全天开放，无需门票。,2020-02-10 23:29:23.297229
34,"
                                 Sri Mariamman Temple
                              
                             
                         ",396,34,4.3,"244SouthBridgeRd,Singapore058793","7:00-11:30,18:00-20:45",2020-02-10 23:32:27.138438
35,not available,631,35,4.6,"6 Bayfront Ave,Singapore 018956",10:00-19:00（最后入场时间为18:00）。,2020-02-10 23:52:36.791435
36,not available,975,36,4.8,"1 Harbourfront Ave, tower 2 Keppel Bay Tower , Singapore",全年  09:00-22:00；缆车最后登车时间为21:30。,2020-02-10 23:54:34.160963
37,"
                                 Kampong Glam
                              
                             
                         ",254,37,4.4,"385BeachRoad,Singapore199581",全天开放,2020-02-10 23:56:46.109161
38,"
                                 East Coast Park
                              
                             
                         ",284,38,4.5,AlongEastCoastParkwayandEastCoastParkServiceRoadSingapore449876,全天开放,2020-02-10 23:58:27.659665
39,not available,297,39,4.4,"109 Mount Faber Road, Faber Peak , Singapore 099203",8:45-22:00(周一-周日）（最后登车时间为21:30）,2020-02-11 00:02:38.534602
40,"
                                 Old Hill Street Police Station
                              
                             
                         ",197,40,4.5,"140HillSt,Singapore179369",全天开放,2020-02-11 00:04:26.675518
41,"
                                 Buddha Tooth Relic Temple
                              
                             
                         ",287,41,4.5,"288,SouthBridgeRoad，Singapore058840",7:00-19:00（2020年1月24日山门将在11:00关闭，23:30开启）；博物馆和佛塔室9:00-18:00。,2020-02-11 00:06:00.172376
42,"
                                 National University of Singapore
                              
                             
                         ",140,42,4.6,21LowerKentRidgeRoad，Singapore119077,全天开放,2020-02-11 00:07:16.880757
43,"
                                 Geylang Serai
                              
                             
                         ",173,43,4.3,1GeylangSerai,8:00-22:00,2020-02-11 00:08:55.095204
44,not available,400,44,4.6,1 Cluny Road Singapore 259569,10:00-19:00（周一-周日）（最晚入场时间18:00）,2020-02-11 00:38:07.899526
45,"
                                 Singapore Art Museum
                              
                             
                         ",209,45,4.4,"8QueenStreet,Singapore188535.",暂停营业,2020-02-11 00:39:04.138088
46,not available,402,46,4.6,"8 Sentosa Gateway, Resorts World Sentosa",全年  10:00-18:00。,2020-02-11 00:45:29.854257
47,"
                                 Nanyang Technological University
                              
                             
                         ",190,47,4.7,"50NanyangAvenue,Singapore639798",全天开放,2020-02-11 00:48:02.309355
48,"
                                 Bukit Timah Nature Reserve
                              
                             
                         ",150,48,4.5,"177HindhedeDriveBukitTimahVhfStation,Singapore589333,Singapore",周六、周日7:00-18:00,2020-02-11 00:50:35.827751
49,"
                                 Pulau Ubin
                              
                             
                         ",151,49,4.4,"PulauUbin,PulauUbin000701",全天开放,2020-02-11 00:53:00.659552
50,not available,190,50,4.4,Red Dot Design Museum，11 Marina Boulevard. ，Singapore 018940.,全年  10:00-20:00；博物馆内展览&设计商店&咖啡吧&酒吧的开放时间以时令公告为准。。,2020-02-11 00:57:35.309835
51,"
                                 Victoria Theatre & Victoria Concert Hall
                              
                             
                         ",141,51,4.4,"9EmpressPlace,Singapore179556",10:00-21:00,2020-02-11 00:59:06.289971
52,"
                                 Holland Village
                              
                             
                         ",122,52,4.2,HollandVillage，Singapore,全天开放,2020-02-11 01:01:49.192224
53,"
                                 The Arts House
                              
                             
                         ",119,53,4.3,"1OldParliamentLn,Singapore179429",10:00-22:00。游客服务中心周一-周日10:00-20:00，公共假日关闭。,2020-02-11 01:03:49.812948
54,"
                                 Bugis Village
                              
                             
                         ",119,54,4.3,"3NewBugisStreet,#03-01,，Singapore188867",11:00-22:00,2020-02-11 01:06:02.470613
55,not available,391,55,4.6,"01-05 Singapore Flyer | Tourist Hub, Singapore, Singapore",9:30-17:30。,2020-02-11 01:19:45.185148
56,"
                                 Fort Canning Park
                              
                             
                         ",157,56,4.4,"RiverValleyRd,Singapore179037",全天开放,2020-02-11 01:21:04.451210
57,"
                                 Singapore Philatelic Museum
                              
                             
                         ",112,57,4.6,23-BColemanStreet，Singapore179807,"13:00-19:00（周一）,9:30-19:00（周二至周日）。",2020-02-11 01:22:50.092324
58,not available,111,58,4.5,"1 Empress Pl, Singapore 179555",周六-周四10:00-19:00，周五10:00-21:00,2020-02-11 01:27:29.905943
59,"
                                 Jamae Mosque
                              
                             
                         ",117,59,4.4,"218SouthBridgeRoad,Singapore058767",周一-周四、周六、周日10:00-18:00；周五10:00-12:00，14:30-18:00；斋戒月的访问时间会有所变化，详情请咨询官网。,2020-02-11 01:28:36.261021
60,"
                                 Waterfront Promenade
                              
                             
                         ",95,60,4.7,2BayfrontAvenue,全天开放。,2020-02-11 01:30:42.004785
61,not available,109,61,4.6,"10A Siloso Beach Walk, Singapore 099008",11:00-19:00（周一-周日）,2020-02-11 01:34:49.189576
62,"
                                 ION Sky
                              
                             
                         ",113,62,4.6,"2OrchardTurnIONOrchard,Level56,Singapore238801",2020年1月27日-2月2日：Adventures in Food Wonderland by Ang Ku Kueh Girl® and Friends™演出时间14:00、16:00、19:00；The Transformation of Orchard Road by Dick Lee演出时间15:00、17:00、20:00。演出时间随节目安排会有变动，详情请参考官网公示信息。,2020-02-11 01:37:36.195362
63,not available,183,63,4.4,26 Sentosa Gateway #01-43/44,全年  09:00-21:00；其中最晚入园时间为20:00。此开放时间仅供参考，景区可能临时变更开放时间而不提前通知，请以现场景区的开放时间为准。,2020-02-11 01:40:14.517804
64,"
                                 Punggol Beach
                              
                             
                         ",72,64,4.3,22PunggolRoad-Track19,全天开放,2020-02-11 01:42:59.190460
65,"
                                 MacRitchie Reservoir
                              
                             
                         ",62,65,4.7,"OffLornieRoad,Singapore",8:00-19:00,2020-02-11 01:44:43.533231
66,"
                                 Dempsey Hill
                              
                             
                         ",69,66,4.3,Blk8D#03-01，DempseyRoad，Singapore249679,全天开放,2020-02-11 01:46:51.551990
67,"
                                 Pasir Ris Park
                              
                             
                         ",78,67,4.4,"PasirRisCentral,Singapore510534",全天开放。,2020-02-11 01:49:46.126885
68,"
                                 Peranakan Museum
                              
                             
                         ",77,68,4.5,"39ArmenianStreet,Singapore179941,Singapore",周一-周四、周六、周日10:00-19:00，周五10:00-21:00,2020-02-11 01:52:18.396570
69,not available,0,69,4.4,"6 Raffles Blvd, 01-221, Singapore 039594",,2020-02-11 02:03:58.820159
70,"
                                 Henderson Waves
                              
                             
                         ",55,70,4.5,HendersonRoad;SouthernRidges;BukitMerahSingapore159557,全天开放,2020-02-11 02:04:50.379965
71,"
                                 MacRitchie Nature Trail
                              
                             
                         ",41,71,4.5,"MacRitchieReservoirPark,Singapore298717",周一10:00–20:00，周二-周五9:00-17:00；周六、周日8:30-17:00。,2020-02-11 02:05:45.674366
72,"
                                 Singapore City Gallery
                              
                             
                         ",54,72,4.5,"45MaxwellRoad,TheURACentre,069118",周一-周六9:00-17:00，周日、公众假期休息。,2020-02-11 02:06:29.547208
73,"
                                 Civil Defence Heritage Gallery
                              
                             
                         ",67,73,4.2,62HillSt，Singapore179367,周二-周日10:00-17:00，周一关闭。,2020-02-11 02:07:22.087087
74,not available,1077,74,4.6,"220 Orchard Rd, #B1-03 Midpoint Orchar",10：00至傍晚18：00。,2020-02-11 02:08:15.054291
75,"
                                 Emerald Hill
                              
                             
                         ",67,75,4.5,"OffOrchardRoad,Singapore,Singapore",全天开放,2020-02-11 02:09:20.985828
76,not available,0,76,4.6,Suntec City Unit #01-330,,2020-02-11 02:09:54.899868
77,"
                                 STPI - Creative Workshop & Gallery
                              
                             
                         ",34,77,4.4,41RobertsonQuay，Singapore238236,"周一-周五10:00-19:00;周六9:00-18:00,周日及节假日关闭。",2020-02-11 02:10:59.041956
78,"
                                 Sentosa Beach
                              
                             
                         ",311,78,4.5,"SantosaIsland,Singapore",11:00-21:00,2020-02-11 02:12:41.946660
79,not available,285,79,4.5,"48 Pagoda Street, Singapore 059207, Singapore",9:00-20:00（周一至周日），最后入场时间为19:00。每个月的第一个周一闭馆。,2020-02-11 02:24:33.284507
80,not available,654,80,4.7,15 Science Centre Road Singapore 609081,全年  10:00-18:00；科学馆：每天: 10:00am-6:00pm (最晩入场时间 5:15pm)；  萬像电影馆：星期一至五: 12:00pm-6:00pm (最晩一场表演 5:00pm) 周末，学校假期和假日 12:00pm-7:00pm (最晩一场表演时间6:00pm) 2019年闭馆日期：1月7/14/21日；2月4/18/25日。。,2020-02-11 02:34:20.466559
81,"
                                 Sentosa Merlion
                              
                             
                         ",473,81,4.5,"30ImbiahRd,Singapore099701",10:00-20:00（周一-周日）（最后入场时间晚上19:30）,2020-02-11 02:35:46.416956
82,"
                                 Entertainment Deck of Changi Airport
                              
                             
                         ",162,82,4.8,新加坡樟宜机场T2三层离境过境区域（靠近向日葵花园）,全天开放。娱乐区内各设施开放时间不同，详情请参考樟宜机场官网。,2020-02-11 02:37:02.179204
83,not available,202,83,4.5,8 Sentosa Gateway， Resorts World Sentosa,全年  10:00-19:00；1、海事博物馆特殊开放时间为10:00-20:00的日期：1月25/26日；开放时间为10:00-18:00的日期：2月24日。2、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准；。,2020-02-11 02:41:21.462323
84,"
                                 
                              
                             
                         ",9,84,4.4,"Blk333,KretaAyerRoad,#03-23",,2020-02-11 02:43:41.707554
85,"
                                 
                              
                             
                         ",5,85,4,"Blk333,KretaAyerRoad,#03-23",,2020-02-11 02:45:32.852598
86,"
                                 
                              
                             
                         ",2,86,5,SMUSchoolofInformationSystems-BigSteps,,2020-02-11 02:47:11.127656
87,"
                                 Skate Park
                              
                             
                         ",3,87,4.3,"31ExeterRd,Singapore239732",,2020-02-11 02:49:05.140477
88,"
                                 Singapore Turf Club
                              
                             
                         ",2,88,4.5,"1TurfClubAvenue,SingaporeRacecourse,Singapore738078​",,2020-02-11 02:51:35.428785
89,"
                                 
                              
                             
                         ",2,89,3.5,"Singapore,130EMindenRd,Singapore248819",,2020-02-11 02:52:52.407478
90,"
                                 Festive Walk
                              
                             
                         ",147,90,4.5,"FestiveWalk,Singapore",全天开放,2020-02-11 02:55:28.154747
91,not available,177,91,4.7,40 Imbiah Road， Sentosa， Singapore 099700,周一至周五：10:00-20:30  最后入馆时间为19:00。特殊日期开放时间：11月9日开放时间为16:15-19:00。以上时间仅供参考，具体以景区当天的安排为准。,2020-02-11 03:18:08.213264
92,"
                                 Imbiah
                              
                             
                         ",120,92,4.4,"Imbiah,（圣淘沙境内）",全天开放,2020-02-11 03:19:53.406058
93,"
                                 Tanjong Beach
                              
                             
                         ",133,93,4.5,120TanjongBeachWalk,全天开放。,2020-02-11 03:22:19.134639
94,"
                                 Raffles Place
                              
                             
                         ",99,94,4.5,"RafflesPlace,Singapore",全天开放,2020-02-11 03:24:09.284701
95,"
                                 Boat Quay
                              
                             
                         ",127,95,4.4,"BonhamSt,Singapore049782",全天开放,2020-02-11 03:25:30.678221
96,"
                                 
                              
                             
                         ",1,96,3,HougangAve7,,2020-02-11 03:26:45.191363
97,"
                                 Fountain of Wealth
                              
                             
                         ",115,97,4.3,3TemasekBlvd,10:00-12:00;14:00-16:00;18:00-19:30,2020-02-11 03:28:51.607507
98,"
                                 Cavenagh Bridge
                              
                             
                         ",133,98,4.5,"1FullertonSquare,Singapore049178",全天开放,2020-02-11 03:30:38.510343
99,"
                                 The Slide@T3
                              
                             
                         ",84,99,4.5,新加坡樟宜机场T3一层入境大厅,12:00-22:30,2020-02-11 03:33:24.164576
100,"
                                 Mint Museum of Toys
                              
                             
                         ",175,100,4.3,26SeahSt,9:30-18:30（最晚入园时间18:00）,2020-02-11 03:35:50.794512
101,"
                                 Haw Par Villa (Tiger Balm Gardens)
                              
                             
                         ",99,101,4.3,"262PasirPanjangRoad,Singapore118628",9:00-22:00（最晚入园时间21:30）；Ten Courts of Hell：9:00-21:30（最后入场时间为21:15）。,2020-02-11 03:38:44.644364
102,"
                                 Xperience Zone of Changi Airport
                              
                             
                         ",81,102,4.8,新加坡樟宜机场T2二层离境过境区域中央的LeeHwa钻石店后面,全天开放,2020-02-11 03:40:39.759442
103,"
                                 Fort Siloso
                              
                             
                         ",111,103,4.2,"Siloso,SentosaIsland,Singapore",10:00-18:00（最迟入场下午17:30）,2020-02-11 03:41:55.209345
104,not available,86,104,4.8,"78 Airport Blvd, Singapore 819666",10:00-22:00，各小景点的开放时间以现场实际情况为准。,2020-02-11 03:55:07.494778
105,not available,159,105,4.3,51 Imbiah Rd， Sentosa，, 9:30-19:00（周一-周日） (最迟入场下午18:30）,2020-02-11 03:55:27.847293
106,not available,100,106,4.4,"85 Sultan Gate, Singapore 198501","周一休馆，周二至周日：10:00-18:00（最后入馆时间为下午17:30）。  免费英文导览：周二与周五（11:00 AM） / 周二 与 四（2：00pm） / 周六（2:00 PM） 
免费中文导览：每月第三个周六（1:00 PM）",2020-02-11 03:55:48.390482
107,"
                                 Children's Playground of Changi Airport
                              
                             
                         ",69,107,4.6,新加坡樟宜机场T1、T2、T3的离境过境区域内,全天开放,2020-02-11 03:56:25.172543
108,"
                                 The Social Tree of Changi Airport
                              
                             
                         ",66,108,4.5,新加坡樟宜机场T1二层离境过境区域中央广场,全天开放,2020-02-11 03:57:11.429626
109,"
                                 Crane Dance at Resort World Sentosa
                              
                             
                         ",82,109,4.7,"8SentosaGateway,",20:00开始。,2020-02-11 03:57:51.601568
110,"
                                 Armenian Church
                              
                             
                         ",118,110,4.4,"60HillSt,Singapore179366",10:00-18:00,2020-02-11 03:58:41.891256
111,"
                                 Wave House Sentosa
                              
                             
                         ",77,111,4.5,圣淘沙西乐索海滩步道36号,周一-周五11:30-21:30 周末和新加坡公众假期10:30-21:30,2020-02-11 03:59:35.302010
112,"
                                 Civilian War Memorial
                              
                             
                         ",139,112,4.3,"WarMemorialParkBeachRoad,Singapore",全天开放,2020-02-11 04:00:31.452149
113,"
                                 Sungei Buloh Wetland Reserve
                              
                             
                         ",76,113,4.5,301NeoTiewCrescentSingapore718925,7:30-19:00（周一至周六）；7:00-19:00（周日与公共假日）,2020-02-11 04:01:43.023474
114,"
                                 Interactive Art Station of Changi Airport
                              
                             
                         ",46,114,4.5,新加坡樟宜机场T1、T2、T3,全天开放,2020-02-11 04:02:58.615644
115,"
                                 Thian Hock Keng Temple
                              
                             
                         ",100,115,4.3,158TelokAyerStreet,7:30-17:30,2020-02-11 04:03:59.509870
116,"
                                 Volcano Land
                              
                             
                         ",57,116,4.3,39ArtilleryAve,暂停营业,2020-02-11 04:05:21.874001
117,not available,142,117,4.7,"#01 Sentosa Island, 43 Siloso Beach Walk, 01, Singapore 099010",周一、周二、周四和周五（10:00-21:30），周三（12:00-21:30），周六和周日（10:00-11:30，12:00-17:30，18:00-21:30），其中2020年的1月15日提早闭园（最后一场飞行时间在17点，因此您至少需要在16点前在柜台办理登记）。,2020-02-11 04:13:09.603749
118,"
                                 One Fullerton
                              
                             
                         ",99,118,4.4,1FullertonRd,全天开放,2020-02-11 04:15:11.501737
119,"
                                 St John's Island
                              
                             
                         ",50,119,4.3,StJohn'sIsland，Singapore,,2020-02-11 04:16:56.814868
120,"
                                 Flower Dome
                              
                             
                         ",100,120,4.6,"18MarinaGardensDriveGardensBytheBay,Singapore018953,Singapore",9:00-21:00，最后售票时间：20:00；最后入场时间：20:00。,2020-02-11 04:18:38.258057
121,"
                                 Joo Chiat Community Centre
                              
                             
                         ",81,121,4.3,"113EastCoastRoad,Singapore428803",全天开放,2020-02-11 04:19:33.314433
122,"
                                 Cloud Forest
                              
                             
                         ",112,122,4.9,"GardensbytheBay|18MarinaGardensDrive,Singapore018953,Singapore",9:00-21:00，最后入场和售票时间为20:00。迷雾时间10:00、12:00、14:00、 16:00、18:00、20:00。更多开放时间请以官网公示为准。,2020-02-11 04:20:13.748062
