POI_INDEX,TOTAL_REVIEWS,RANKING,TRIP_TYPE,AVERAGE_RATING,RATING_5_COUNT,RATING_4_COUNT,RATING_3_COUNT,RATING_2_COUNT,RATING_1_COUNT,ABOUT,ADDRESS,ATTRIBUTES_CRAWLED_TIME
1,12398,3,Family,4.622600419422487,8607,3111,532,88,60,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.","18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",2020-01-25 14:26:25.617377
1,16833,3,Couples,4.707301134675935,12768,3376,560,85,44,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.","18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",2020-01-25 16:26:45.202976
1,3586,3,Solo,4.665086447295036,2599,813,142,24,8,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.","18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",2020-01-25 19:09:50.509791
1,1746,3,Business,4.630584192439862,1223,423,82,14,4,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.","18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",2020-01-25 19:44:15.084487
1,6948,3,Friends,4.6335636154289,4887,1677,304,59,21,"An integral part of Singapore's ""City in a Garden"" vision, Gardens by the Bay spans a total of 101 hectares of prime land at the heart of Singapore's new downtown - Marina Bay. Comprising three waterfront gardens - Bay South, Bay East and Bay Central - Gardens by the Bay will be a showcase of horticulture and garden artistry that will bring the world of plants to Singapore and present Singapore to the World.","18 Marina Gardens Drive | Bayfront Plaza, Singapore 018953, Singapore",2020-01-25 19:57:59.853923
40,67,143,Family,4.298507462686567,28,32,6,1,0,"Henderson Waves, the highest pedestrian bridge in Singapore, connects Mount Faber Park to Telok Blangah Hill Park.","221 Henderson Road Henderson Building, Singapore 159557, Singapore",2020-01-25 21:03:18.235065
40,113,143,Couples,4.345132743362832,56,42,13,2,0,"Henderson Waves, the highest pedestrian bridge in Singapore, connects Mount Faber Park to Telok Blangah Hill Park.","221 Henderson Road Henderson Building, Singapore 159557, Singapore",2020-01-25 21:04:21.064499
40,65,143,Solo,4.246153846153846,30,24,9,1,1,"Henderson Waves, the highest pedestrian bridge in Singapore, connects Mount Faber Park to Telok Blangah Hill Park.","221 Henderson Road Henderson Building, Singapore 159557, Singapore",2020-01-25 21:05:41.164862
40,6,143,Business,4.5,4,1,1,0,0,"Henderson Waves, the highest pedestrian bridge in Singapore, connects Mount Faber Park to Telok Blangah Hill Park.","221 Henderson Road Henderson Building, Singapore 159557, Singapore",2020-01-25 21:06:36.115649
40,94,143,Friends,4.329787234042554,41,43,10,0,0,"Henderson Waves, the highest pedestrian bridge in Singapore, connects Mount Faber Park to Telok Blangah Hill Park.","221 Henderson Road Henderson Building, Singapore 159557, Singapore",2020-01-25 21:06:54.095469
