POI_INDEX,TOTAL_REVIEWS,ABOUT_SUMMARY,RANKING,TICKET_INFO,RATES,ADDRESS,PHONE,WEBSITE,TRANSPORTATION_MODE,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
0,873,"作为新加坡最大的酒店，其三座55 层高的塔楼拥有2,560 间豪华客房与套房，所有的客房都可拥览南海或滨海湾以及全新加坡的壮观景色。酒店的各家餐厅可提供各式各样的用餐体验。
",1,空中花园门票：成人23新币，儿童（2-12岁）17新币，65以上老人20新币，住店客人和2岁以下儿童免费,9.2,10 Bayfront Avenue Singapore 018956,4001208768,http://zh.marinabaysands.com,地铁黄线、蓝线，海湾舫(Bayfront),周一至周四9:30-22:00，周五至周日9:30-23:00,2020-02-04 09:08:42.533970
1,907,圣淘沙(Sentosa)是个全方位玩乐休闲的度假胜地，如果时间允许，圣陶沙值得你花上一天时间，慢慢看慢慢玩，充分享受热带岛屿所独有的魅力。这里有纯净的海滩、世界级的旅游胜地、海上运动场所、高尔夫球场和度假休闲中心，是广受欢迎的,2,None,9.1,Not Available,18007368672,http://www.sentosa.com.sg,在怡丰城(Vivo City)L大厅三楼购买车票、乘车。运行时间为7:00-24:00，车票统一为4新币。,Sentosa Boardwalk全天开放，,2020-02-04 09:12:57.870543
2,815,"新加坡环球影城是Universal Studios旗下一家在亚洲的游乐场，里面分为好莱坞，纽约，古埃及，科幻世界，遥远王国等区。来了环球影城一定要体验的是这里世界上最高的双轨过山车，零重力旋转，蛇型旋转，螺旋旋转，垂直回转等保准让你目眩神迷，同时还能感受与对面来车几近碰撞的刺激！当然，不容错过的还有最新打造的变形金刚3D决斗！环球影城内有多家餐厅和纪念品商店，让你在体验刺激之余可以品尝美味，体验购物乐趣。
",3,成人票 76新币；,9.4,8 Sentosa Gateway，Resort World Sentosa，Singapore,+65-65778888,http://www.rwsentosa.com/Homepage/Attractions/UniversalStudiosSingapore,乘地铁东北线或环线在港湾站（HarbourFront）下车，C出口怡丰城（Vivo City），看指示标志，非常清晰醒目。可选择圣淘沙跨海步行道（Sentosa Boadwalk），步行大概10分钟，或三楼转搭圣淘沙捷运（Sentosa Express）入岛。,周一至周日 10:00-19:00,2020-02-04 09:17:35.669468
3,525,"新加坡的新地标，曾赢得了2012年世界最佳建筑奖(Winner of WorldBuilding of the Year 2012)，由温室(花穹和云雾林)、18棵超级树、文化遗产花园、植物世界、蜻蜓湖和翠鸟湖等组成。2014年初还新开了一个适合小朋友玩耍的儿童公园。
",4,温室成人28新币，儿童（3-12岁）15新币；空中栈道成人8新币，儿童（3-12岁）5新币,9.2,"18 Marina Gardens Dr, Singapore 018953",+65-64206848,http://www.gardensbythebay.com.sg,地铁黄线、蓝线，海湾舫站,室外花园5:00-次日凌晨2:00；温室&空中栈道9:00-21:00（最晚售票至20:00，最晚入场时间20:30）,2020-02-04 09:21:35.643215
4,389,"作为亚洲顶级一站式综合娱乐城和独一无二的家庭度假胜地，新加坡圣淘沙名胜世界集吃喝玩乐、购物住宿于一身，让时尚年轻一族、全家大小、企业会奖等都可于此欢度悠闲假期。这里拥有6间有六家风格迥异的酒店、购物街、赌场，环球影城(Universal Studio Singapore)也坐落于此。名胜世界分为两层，地面层有环球影城、海洋馆、多家餐厅；地下层则有赌场、多个奢侈品店。来到新加坡，建议来这个娱乐中心尽情享受一两天的狂欢时间！
",5,可在,8.9,8 Sentosa Gateway Sentosa Island Singapore 098269,+65-65778899,http://www.rwsentosa.com,坐MRT在NE1/CC29 Harbourfront 港湾站下车。再搭乘以下交通工具便可直达圣淘沙名胜世界：,周日至周四10:00-22:30，周五至周六10:00-24:00(个别商铺营业时间有所不同)。,2020-02-04 09:24:07.133473
5,703,"42层楼高的新加坡摩天轮的轮体直径达150米，安置在3层的休闲购物中心楼上，总高度达到165米。这一高度超过了160米高的南昌之星和130米的伦敦眼。28个安装了空调的座舱可以分别容纳28名乘客。摩天轮旋转一周约用30分钟时间。
",6,成人33新加坡元，儿童(3-12岁)21新加坡元，60岁以上的老年人24新加坡元,8.8,30 Raffles Ave，Singapore,+65-63349622,http://www.singaporeflyer.com/zh-hans,公交巴士1N，2N，3N，4N，5N，6N，56，75，77，97，97e，171，195，960，961C，Bef Temasek Ave站；地铁黄线、蓝线，宝门廊(Promenade)地铁站。,8:30-22:30；售票处开放时间为8:00-22:00。,2020-02-04 09:26:05.754439
6,872,克拉克码头是位于新加坡河与里巴巴利(River Valley)路一角的旅游名胜地，是以新加坡第二位总督安德鲁·克拉爵士命名。这里各式酒吧众多，还有著名的珍宝海鲜楼(Jumbo Seafood)可以大快朵颐。这也是体验新加坡夜生活的最佳地点，喜欢喝一杯的朋友们一定要去走一圈。如果你的心脏够强，还可以尝试一下入口处的两个G-MAX Reverse Bungee(逆转蹦极跳)。,7,一般夜店消费为每人20-60新币。G-MAX逆转蹦极跳45新币，MAX组合(G-MAX和G-5)60新币。,8.6,3E River Valley Rd，Singapore,Not Available,https://www.capitaland.com/sg/malls/clarkequay/en.html,地铁紫线，克拉码头站(Clarke Quay)。,一般会在傍晚之后前往，尽情享受新加坡的精彩夜生活，很多夜店会营业到凌晨两三点钟。,2020-02-04 09:29:28.953902
7,470,被誉为全世界最有特色的动物园之一。它采用了大量自然景物将动物和游客隔开，如溪流、石壁、植被等，使之成为一个开放的公园。在这里生活着3000多种动物，有马来虎、金色绢毛猴、猎豹和海狮等等。繁殖长臂巨猿的计划使这种濒临灭绝的动物在这里得以繁衍生息。此动物园的独特之处在于行走在其中就如行走在自然世界里，和动物们近距离接触。,8,成人 33新加坡元；,9.1,80 Mandai Lake Road，Singapore 729826,+65 62693411,http://www.zoo.com.sg,坐公交138、926、927到S'pore Zoological Gdns站即可。,周一至周日 8:30-18:00,2020-02-04 09:33:43.018345
8,1539,"鱼尾狮是新加坡从一个小渔村发展起来的象征，也是新加坡的国家标志性景点。鱼尾狮像坐落于市内新加坡河畔，其设计灵感是来源于《马来纪年》中的一个传说：公元11 世纪，苏门答腊王子桑尼拉乌达玛(Prince Sang Nila Utama)巡视狮城(Singapura)的时候看到了一头狮子。鱼尾狮的狮头即代表那头狮子；鱼尾则象征古城淡马锡(Temasek)(爪哇语意为“海洋”）由此，这两种动物的结合便成为了新加坡的象征。
",9,免费。,8.4,1 Fullerton Singapore 049178,Not Available,http://www.yoursingapore.com/content/traveller/zh/browse/see-and-do/family-fun/attraction/merlion-park.html,地铁绿线、红线，莱佛士坊(Raffles Place),24小时。,2020-02-04 09:36:00.898364
9,181,新加坡滨海湾花园里最引人注目的所在，当属巨大的树形结构，它们高度在25米至50米之间，被称之为“超级树”。超级树的树梢有小酒馆，旅行者不仅可以歇脚喝杯新加坡司令，还能够领略滨海湾和周围花园的精致。这些高耸的超级树，还被“空中栈道”连接在一起，让旅行者能够居高临下，欣赏花园的独特美景。,10,空中栈道成人8新加坡元，儿童(3-12岁)5新加坡元。,9.2,"18 Marina Gardens Drive, Singapore 018953",+65-64206848,http://www.gardensbythebay.com.sg/,在滨海湾花园内。,9:00-21:00 (最晚售票至20:00，最晚入场时间20:30)。,2020-02-04 09:43:09.663586
