id,name,username,bio,location,url,join_date,join_time,tweets,following,followers,likes,media,private,verified,profile_image_url,background_image
99927642,Natasha Handana,natasasha,"Currently living in wonderland, when every impossible thing could be possible🦄","Tangerang, Indonesia",http://www.facebook.com/natasasha,28 Dec 2009,3:31 AM,27878,446,1142,36,238,0,0,https://pbs.twimg.com/profile_images/813829549741916164/l5yKvOHs_400x400.jpg,https://pbs.twimg.com/profile_banners/99927642/1482867063/1500x500
908316259,Susan Veazey,skveazey,,,,27 Oct 2012,8:14 AM,877,97,60,672,29,0,0,https://pbs.twimg.com/profile_images/799961358494269440/mgRUElmT_400x400.jpg,https://pbs.twimg.com/profile_banners/908316259/1521164667/1500x500
96155711,ไออุ่น | OSLZ | 쌰리주원,OshahLeeZuan,I R R E G U L A R I T Y | A W K W A R D |   IG: OshahLeeZuan,,,11 Dec 2009,8:16 AM,49867,186,137,13,582,0,0,https://pbs.twimg.com/profile_images/1127510233641701376/4KDNqa1p_400x400.jpg,https://pbs.twimg.com/profile_banners/96155711/1557654404/1500x500
864819432,Derrick Ong,Derrickong97,"If you believe in yourself, anything is possible.",Singapore,,6 Oct 2012,8:05 AM,2440,154,66,2883,2,0,0,https://pbs.twimg.com/profile_images/1039133064218128384/9cFeOub1_400x400.jpg,https://pbs.twimg.com/profile_banners/864819432/1543504958/1500x500
284836078,Jko,thejkosamson,go getter since forever. | a chemical engr who got lost in the world of IT who pursue grad school in management | fb/ig: thejkosamson | @myledivinaa,Manila / Pampanga,http://Instagram.com/TheJkoSamson,19 Apr 2011,6:58 PM,31726,307,386,5548,800,0,0,https://pbs.twimg.com/profile_images/992383103522848768/pgqYw3mJ_400x400.jpg,https://pbs.twimg.com/profile_banners/284836078/1526741854/1500x500
2527759002,Chalie Delligos,CuteChalie,I can do all things through Christ who strengthens me - Philippians 4:13,"Cebu City, Philippines",http://www.chaliebee.com,27 May 2014,9:04 AM,214,34,17,126,4,0,0,https://pbs.twimg.com/profile_images/970275885373734912/RZ6oYIAX_400x400.jpg,https://pbs.twimg.com/profile_banners/2527759002/1520166716/1500x500
15672198,Bill / 葛威,BillGlover,Enthusiastic technologist. Challenges welcome.,"London, UK",https://billglover.me,31 Jul 2008,12:47 AM,21097,1927,1790,4365,365,0,0,https://pbs.twimg.com/profile_images/378800000847510608/98a80b1a2dad3bf5beef16a53294a523_400x400.jpeg,https://pbs.twimg.com/profile_banners/15672198/1405465557/1500x500
13334182,Abhishek Mittal,mumblr,Director at Willis Towers Watson. HR / Talent Management. Curious Learner. Social Business. Blogger. Photographer. Foodie. Wanderlust.,Singapore,http://abhishekmittal.com,10 Feb 2008,8:20 PM,14888,505,2453,199,579,0,0,https://pbs.twimg.com/profile_images/1123257825302433794/Z8YdHp3P_400x400.jpg,https://pbs.twimg.com/profile_banners/13334182/1545016614/1500x500
85876851,Dayton Foundation,DaytonFdn,For 90+ years we have helped you help others by creating and managing your charitable funds and providing leadership and grants to strengthen Greater Dayton.,"Greater Dayton Region, Ohio",http://www.daytonfoundation.org,28 Oct 2009,11:21 AM,4139,1124,3760,2063,928,0,0,https://pbs.twimg.com/profile_images/907231064413917186/XeSaj1Y1_400x400.jpg,https://pbs.twimg.com/profile_banners/85876851/1559415637/1500x500
69071679,WANDIE MARIO #WM,wandie_mario,Model & Penyanyi Dangdut Korean Style || Hits Single : Oh Girl & Goodbye Miss Cuex || CP : INTER MODEL 081340477799 / 087881124112,ion,http://www.youtube.com/watch?v=RqKB8hzxzoc&sns=tw,26 Aug 2009,12:31 PM,22501,977,2994,199,461,0,0,https://pbs.twimg.com/profile_images/1066340788164939778/bUplt8lW_400x400.jpg,https://pbs.twimg.com/profile_banners/69071679/1439537411/1500x500
42851748,Zuraidah Osman,AidaOsman,I am what I am....nothing change...,"ÜT: 1.3509954,103.8876663",,27 May 2009,2:50 AM,688,101,108,11,16,0,0,https://pbs.twimg.com/profile_images/378800000442107671/dea394c377029b60d4abf975b59bce4a_400x400.jpeg,https://pbs.twimg.com/profile_banners/42851748/1378887986/1500x500
229470448,SINGPromos,singpromos,"Singapore Promotions #1 Source For Islandwide Promos, Warehouse Sales, Deals, Discounts, Events & More",Singapore,http://singpromos.com/,22 Dec 2010,5:47 AM,11477,1,7438,0,1006,0,0,https://pbs.twimg.com/profile_images/2823975714/ebe0fe4574bbab2cdc6ec5bf2de71b64_400x400.png,https://pbs.twimg.com/profile_banners/229470448/1406636013/1500x500
1320569858,JadeChanel Chan,JadeChanelChan,Live life to the fullest' Real Estates Broker @PROPNEX@ POWER UP!!@#Tvfashionstars#MAKEUP!#FACIAL,Hdb Hub East Wing 10th Storey ,,1 Apr 2013,8:27 AM,404,251,37,178,0,0,0,https://pbs.twimg.com/profile_images/895641399034486784/WYcN6hOL_400x400.jpg,https://pbs.twimg.com/profile_banners/1320569858/1539377078/1500x500
29532887,CHRISTINE TAN,69CHRIS,Virgo with a heart-Business and Mortgage Consulting(equity to build wealth through overseas property investment or fund investment).,,,7 Apr 2009,1:14 PM,79,986,147,397,8,0,0,https://pbs.twimg.com/profile_images/513742225910407169/fCLjwzi2_400x400.jpeg,
997776236,Esperanza Cortes,ZandraEsperanza,"Esperanza Cortes is a 2018 Guggenheim Fellow in Fine Arts with exhibitions and residencies in the USA, Latin America, Europe and Asia.",New York city,http://www.esperanzacortes.com,8 Dec 2012,11:02 AM,164,605,241,375,60,0,0,https://pbs.twimg.com/profile_images/3416731714/7d6fa2fd948b8c58660f8a00103ac3ac_400x400.jpeg,https://pbs.twimg.com/profile_banners/997776236/1414357644/1500x500
18661407,Danny Chiu,chiu61,,Hong Kong,,5 Jan 2009,8:06 PM,992,142,93,63,257,0,0,https://pbs.twimg.com/profile_images/1544988974/28707_10150204316895721_859545720_12374041_6311658_n_400x400.jpg,
