REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_RATING,REVIEW_DATE,REVIEW_BODY,REVIEW_CRAWLED_TIME
,4,0,//www.qyer.com/u/6303027,5,2019-10-17,如果没有在滨海湾金沙住，就没有办法去57层顶上的无边泳池，那么Sky Park是很好的拍夜景选择。这里力荐一下支付宝心想狮城卡，换取金沙尊享会员三个月会籍后，每个月可享受6张Sky Park门票，每天限2张；还可以免费升房，非常省钱好用。,2020-02-04 09:08:44.316689
,4,0,//www.qyer.com/u/2759091,4,2019-09-25,景色非常棒，特别是夜景真的无敌。但说实在的其内部的路线设计很不人性化，爬上爬下电梯负载不够，并且有好几处瓶颈，弄的不好容易人挤人出事故。,2020-02-04 09:08:44.319923
,4,0,//www.qyer.com/u/9738108,5,2019-05-27,本来想咬牙住一晚，但是真的是太贵了。。放买了票去顶上参观。。。三座塔楼呈倾斜姿态(斜角为26 度)，其笔直塔身相交于第23 层楼，形成了单体建筑的造型——滨海湾金沙酒店堪称有史以来拥有最复杂设计的酒店。在朝海露台上可以看到极为壮观的景色，而其所延伸出的“空中花园”葱茏青翠，向海湾的方向延伸，令人惊叹，可以以360 度全角俯瞰新加坡。这片1.2 公顷的热带绿洲比横躺下的埃菲尔铁塔还要长，而且尺度宽阔，足以停放4 架半A380 大型喷气式客机。这里还拥有全世界最大型的公共悬臂，有观景台、园林、餐厅、酒吧以及一座无边泳池，在这里游泳的体验将会是毕生难忘。,2020-02-04 09:08:44.323303
,4,0,//www.qyer.com/u/12398214,5,2020-01-22,真的炒鸡棒的，楼顶的泳池视野也很赞。爽到了，就是价格的确也很美丽,2020-02-04 09:08:44.326688
,4,0,//www.qyer.com/u/3618817,5,2020-01-17,这次带老人和小朋友一起住了二晚，享受了无边游泳池的美景和空中花园，地理位置得天独厚，建筑性的地标世界著名，值得。,2020-02-04 09:08:44.330055
,4,0,//www.qyer.com/u/1601481,4,2020-01-07,"非常摩登,夜景漂亮且上镜,是新加坡天际线的最大亮点,没有之一",2020-02-04 09:08:44.333434
,4,0,//www.qyer.com/u/12308347,5,2019-12-17,新加波著名的鱼尾狮像坐落于新加波河畔，是新加波的标志和象征。滨海湾公园有多棵巨大的超级树，仿佛来到了另一个星球，这些树是一座座垂直的花园，新加坡一片绿色不愧是世外桃源。,2020-02-04 09:08:44.336897
,4,0,//www.qyer.com/u/2925158,4,2019-12-13,空中花园可以在携程或者飞猪上订票，晚上10点钟之前随定随进。楼下购物商场的前台坚持说9点半就不能进了，纯粹bullshit，放心上去。空中花园的夜景非常好看，很适合打卡拍照，恐高者慎。,2020-02-04 09:08:44.340477
,4,0,//www.qyer.com/u/1523743,1,2019-10-30,有钱人去的地方 money足了想去哪不行 就是一个噱头 不喜欢,2020-02-04 09:08:44.343887
,4,0,//www.qyer.com/u/12089844,5,2019-10-11,酒店房间其实不大，设施和国内五星也差不多，唯一2个优势：一从房间阳台可以将整个新加坡市中心美景尽收眼底，二可以去金沙55层的露天泳池，环境很好，老外居多，不是很拥挤，非常惬意！,2020-02-04 09:08:44.347401
,4,0,//www.qyer.com/u/3615108,4,2019-09-20,设施不算新了，一楼大堂人真的很多，泳池上的人倒还好，没有下饺子，但是景观确实好。价格会小贵哦~~,2020-02-04 09:08:46.378192
,4,0,//www.qyer.com/u/2932391,5,2019-09-19,很贵  但很值得去一次  屋顶泳池人很多，却也确实能体验到不一样的感觉,2020-02-04 09:08:46.381561
,4,0,//www.qyer.com/u/6910942,5,2019-09-03,去新加坡至少要住一晚金沙，无边界泳池打卡、空中酒廊、楼下购物和赌场，新加坡最具代表性的酒店！,2020-02-04 09:08:46.385114
,4,0,//www.qyer.com/u/9719353,4,2019-08-29,一定会去的热门景点，最好住一晚体验一下。,2020-02-04 09:08:46.388728
,4,0,//www.qyer.com/u/5228748,5,2019-06-19,太显眼了，无法错过，高耸入云，像一艘巨轮屹立在海边，也很适合拍照。,2020-02-04 09:08:46.392584
,4,0,//www.qyer.com/u/2822434,5,2019-05-19,还是夜景好看，还有无边泳池。哈哈 还是夜景好看，还有无边泳池。哈哈,2020-02-04 09:08:46.396131
,4,0,//www.qyer.com/u/11310163,5,2019-04-11,赌一把玩玩，看看世界第二大的赌场什么样,2020-02-04 09:08:46.399607
,4,0,//www.qyer.com/u/11257458,5,2019-03-29,空中泳池超级无敌漂亮,2020-02-04 09:08:46.403780
,4,0,//www.qyer.com/u/5948283,5,2019-03-24,很惊艳的地方、无敌的景色，很漂亮,2020-02-04 09:08:46.407623
,4,0,//www.qyer.com/u/11110319,5,2019-03-12,这个建筑设计非常大胆，屋厅花园可看到全城风貌，游泳池的人太多了，还是看看就好啦,2020-02-04 09:08:46.411090
,4,0,//www.qyer.com/u/1785428,4,2019-03-11,到新加坡，总要住一下金沙酒店的，性价比不好,2020-02-04 09:08:49.616261
,4,0,//www.qyer.com/u/11177703,5,2019-03-09,景观视野非常好，不过这个所谓的网红游泳池其实也就适合拍照，人太多了，也没有刻意俯瞰整个城市,2020-02-04 09:08:49.619495
,4,0,//www.qyer.com/u/5975150,4,2019-03-06,在金沙的mall里走的时候，感觉超级大，特别是考虑到这个是国土面积非常小的国家，这么大的mall有点夸张，但查了一下面积，貌似也不夸张，大概是设计师的设计很出色，内部空间感超出实际情况。,2020-02-04 09:08:49.623020
,4,0,//www.qyer.com/u/9440251,3,2019-02-12,不住体会不到其中的趣味，顶层的无边泳池应该是每位游客都想体验下的,2020-02-04 09:08:49.626585
