POI_INDEX,REVIEW_ID,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_BODY
C7-8,20191,清风明月照我还,5,2020-04-18,北海公园始建于公元1166年，是辽、金、元、明、清五代皇帝和皇家成员游园驻足，处理政务和祭祀的御用宫室，是世界上建园最早的皇家御苑。水面占公园的57%，中心景区是琼岛，在西北部和东部还分布着许多景点，都是乾隆年间或更早的遗存，公园有山有水非常漂亮。
C7-8,20192,君颜异梦,5,2020-04-18,我对北海公园的记忆仅限于白塔、九龙壁五龙亭团城等，其余都是一片空白了，好像也在湖面上荡起过双桨。根据我国古代神话故事幻想中的仙界建造，而且还把我国寺庙园林、江南文人园林和风景名胜的艺术
C7-8,20193,周游列国,5,2020-04-18,北海公园位于北京市中心区，城内景山西侧，在故宫的西北面，与中海、南海合称三海，属于中国古代皇家园林。北海是中国历史园林的艺术杰作。全园以北海为中心，水面占583市亩，面积约71公顷，陆地占480市亩。北海因‘让我们荡起双桨‘’’闻名全国。
C7-8,20194,勇猛十温柔,5,2020-04-18,北海是中国历史园林的艺术杰作。全园以北海为中心，水面占583市亩，面积约71公顷，陆地占480市亩。中间是琼岛，琼岛上有标志性的白塔。
C7-8,20195,恰似您的温柔,5,2020-04-18,北海原是辽、金、元建离宫，明、清辟为帝王御苑，是中国现存最完整、最古老、最具综合性和代表性的皇家园林之一，1925年开放为公园，为中国全国重点文物保护单位，是国家AAAA级旅游景区。北海公园兼有北方园林的宏阔气势和江南私家园林婉约多姿的风韵。
C7-8,20196,ccpp,5,2020-04-17,人不多，景区很大，十块的门票很亲民！
C7-8,20197,工科男要安心搞科研,0,2020-04-15,北京周末游 | 春日中的北海公园 上个周末迎来了疫情之后的第一次出游，赶上了春天的尾巴去了趟北海公园。在北京这么多年，差不多每年都能来这边一两次。平日里游客非常多，尤其赶上春天百花盛开的时候，今年由于疫情的原因公园实行了限流，反而体验了一次“冷清”的春游，还是希望能尽快恢复往日的拥挤吧，第一次觉得逛景点人挨着人也是一种幸福！ - 说回北海公园，基本上位于北京市最中心地区，景山公园西侧，在故宫的西北面，与中海、南海合称三海，是中国现存最古老、最完整、最具综合性和代表性的皇家园林之一。是全国重点文物保护单位，国家AAAA级旅游景区。小时候的“让我们荡起双桨”就是说的北海公园。 - 特别提醒： 目前公园限流，游玩需要提前预约，公众号畅游公园可购票并选定具体参观时间； 由于疫情，公园内琼华岛关闭，没法近距离登岛参观白塔及岛上的山桃花，游船也没有营业，暂时不能体会“荡起双桨”了。 - 实用信息： 入园时间： 目前预约有四个时段可供选择： 6：30-9：00；9：00-12：00； 12：00-16：00；16：00-20：30。 门票价格：10元。 地址：北京市-西城区-文津街1号。 到达方式：地铁8号线至什刹海站A1口出，步行900米左右。 推荐景点：五龙亭，大/小西天，琼华岛，九龙壁，白塔，公园内的花花。
C7-8,20198,恰似您的温柔,5,2020-04-15,北海古城太液池，从辽金时期就辟为皇家专用，经过辽金元明清的发展，这里水面开阔，垂柳护岸，亭台楼阁一应俱全，现在是公园，人们可以自由游玩。
C7-8,20199,dongsherry,0,2020-04-14,前天带酌酌去欢乐谷，到了门口才发现没营业…疫情期间去公园一定要先联系好是否营业，不然白跑一趟了。 因为疫情，感觉北京很多公园少了人潮之后恢复了原本的美貌。恐怕以后很难看到人这么少的场景了。这个期间，做好防护，出来转一转这些名胜古迹遛遛娃是个非常不错的选择。唯一的缺点就是这些景区有些室内部分都不开。 北海公园里面的游船也没开。 我是提前预约的，小程序预约门票（之前写过的）需要具体到时间段，北海公园票比较充足，预约相对简单。网上预约门票的要从南门进，我们就是没有做攻略，到了别的门，再走到南门。 北海附近不是太好停车，需要停远一些，步行过来。 公园很好出片，开了很多花儿，随手拍了很多照片。小孩子的步行车也是可以进来的，在里面玩的很开心。 戴口罩和量体温是现在无论去哪里都必备的，我也只是在拍几张照片的时候，看见周围没人，赶紧把口罩卸下来，拍完立刻戴回去了。当然最好是全场戴口罩，特殊时候特殊对待。
C7-8,20200,mweiwei508,5,2020-04-13,心动的地方。是小时候喜欢的地方
C7-8,20201,恰似您的温柔,5,2020-04-13,北海是著名的皇家园林，我们对北海的感觉是从‘让我们荡起双桨‘开始的，那是我们多么羡慕北京的少年儿童，可以在皇家园林里自由的划船。
C7-8,20202,玩嗨了,5,2020-04-12,北京北海公园是历经五代的皇家园林，一年四季适合旅游，是北京旅游的精华景点。北海公园景点较多，如果每个景点都游，一天时间都比较紧张，所以就得早早进园，合理安排时间。主要景点看图二。
C7-8,20203,勇猛十温柔,5,2020-04-12,北海公园，由北海，团城和琼岛组成。琼岛上有一个永安寺，在琼岛顶部建有一个永安塔，也就是人们常见的白塔，她也是北海公园的重要标志之一。
C7-8,20204,一生好游,5,2020-04-12,北海公园是皇家园林公园，是北京最具代表性的景点。公园风景秀丽，景点众多，一年四季都适合旅游观光。游览时间，满满一天都紧张，所以，一定合理安排时间。南门琼岛是最靓景点，西北部景点多多。夜景也不错哦。
C7-8,20205,恰似您的温柔,5,2020-04-11,每次到北海去玩，看见湖中荡漾的小船，就想起‘让我们荡起双桨’这首歌，她伴随这我们度过了童年和少年，并渗透到对下一代的培养过程中。
C7-8,20206,勇猛十温柔,5,2020-04-11,从辽金时期 北海就是皇家园林，那是北海称太液池，让人想起神话里天宫里的琼浆玉液。经过辽金元明清 五个朝代的修建，北海变得非常漂亮。
C7-8,20207,君印岚痕,5,2020-04-11,冬日的北海公园很冷，水域均已结冰，但是过年期间人流依然很大，年味还是那么浓，不能划船，只有安静的看着小黄鸭们排排坐吃果果咯！
C7-8,20208,M48****629,5,2020-04-11,疫情当前北海公园限流扫码进入。
C7-8,20209,君印岚痕,5,2020-04-10,现在的北京城里很难再找到手划桨的游船了，大多都是什么鸭子船脚踏船电动船等等，即使再先进再舒适，也失了从前的感觉令我索然。如果你只花了5块钱的门票，那可以环湖一圈儿看看湖景五龙亭九龙壁等等。
