POI_INDEX,REVIEW_ID,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_BODY
C2-2,4131,202****027,5,2020-04-18,上海的地标性建筑物，远望很美，登上去远眺上海的景色很美。
C2-2,4132,柳波江水悠悠,5,2020-04-18,上海真是个神奇的地方，很多人向往
C2-2,4133,玥亮,5,2020-04-18,我感觉是上海必打卡的一个地方。
C2-2,4134,咩咩叔叔,5,2020-04-18,东方明珠是上海的一大特色景点啊！
C2-2,4135,雪精灵a,4,2020-04-18,东方之珠，整夜未眠，好听的歌曲。
C2-2,4136,zl885ok,5,2020-04-18,很不错，风景天下第一！
C2-2,4137,118****901,5,2020-04-18,著名得夜景打卡地，一定要去呀。
C2-2,4138,Heliosc,5,2020-04-18,去年6月去的，带着孩子和老人，体验不错
C2-2,4139,Amanda,4,2020-04-18,楼上旋转餐厅不错 可以试试 天气要好哦
C2-2,4140,最美女王,5,2020-04-18,很有意义的行程，不错，值得一玩。
C2-2,4141,320****411,5,2020-04-18,上海地标，俯瞰黄埔江全景，别样的感受。
C2-2,4142,丁留斌,4,2020-04-18,N年前去的，只能到达90米高的第一个球，感觉一般般
C2-2,4143,四君子6688,5,2020-04-18,大上海的东方明珠塔是必打卡的标志性建筑，每一次登塔都有一种别样感觉，尤其是那个玻璃栈道，走在上面让人胆战心惊，小腿肚子打颤，呵呵呵。
C2-2,4144,M20****618,5,2020-04-18,美丽的东方明珠电视塔 是上海最美丽的地标之一
C2-2,4145,8888xxb,5,2020-04-18,上海热门景点，有许多亮点，上海标志性建筑，在东方明珠上可以鸟瞰上海，赞
C2-2,4146,哈龙龙,5,2020-04-18,东方明珠塔是上海地标性建筑物，来比俯瞰上海，绝对精彩
C2-2,4147,默记什,5,2020-04-18,上海浦东第一个标志性建筑，历经数年，依然傲世矗立在，记录着过去，指引着未来。是著名的打卡圣地。
C2-2,4148,会长,4,2020-04-18,浦东大开发的成果，现代化的闹市。
C2-2,4149,D07****29,5,2020-04-18,值得一去，上海的美景尽收眼底！
C2-2,4150,聪明的单小宝,4,2020-04-18,东方明珠电视塔，上海的标志性建筑
C2-2,4151,酷酷的凡gg,5,2020-04-18,真的很好的，太好吃啦，风情万种，下次还去
C2-2,4152,么么哒的狮子,5,2020-04-18,不错很方便
C2-2,4153,么么哒的狮子,5,2020-04-18,不错很方便
C2-2,4154,巴黎世家911,5,2020-04-18,作为上海的地标，自然是必须打卡之地，气势恢弘，值得一去
C2-2,4155,206****552,4,2020-04-18,上海地标性建筑 晚上过来这里的话更漂亮
C2-2,4156,_U4****5376,5,2020-04-18,景色宜人！性价比超高！天气晴朗☀️时能俯瞰全上海的景色，夜景🌃更加的精彩！园区干净整洁，游人秩序良好，安检严格，不错的景点，有机会一定要去看看
C2-2,4157,明月高楼,5,2020-04-18,作为大上海市的著名景点和著名建筑，初到大上海的游客一定要去看看吧！
C2-2,4158,HZYTB,5,2020-04-18,东方明珠电视塔浦东陆家嘴的名片
C2-2,4159,110****163,4,2020-04-18,上海热门的景点，其实也没特别意思，只能说到此一游
C2-2,4160,M33****0429,5,2020-04-18,太棒了！很美的地方，拍照留念了
C2-2,4161,du****ops,5,2020-04-18,上海滩的标志性建筑，挺漂亮的，进去看看挺不错
C2-2,4162,KOMATSU791110,4,2020-04-18,上海历史上有名的地标建筑之一，位于外滩浦东新区陆家嘴金融中心，登塔可以看黄浦江全景
