0,"2 Changi Business Park Avenue 1 Park Avenue Changi Park Avenue Changi Hotel & Suites, Singapore 486015 Singapore",Changi,"1.335917,103.96306","Pizza, Mexican, American, Bar","[u'$$ - $$$, Pizza, Mexican, American']",,5001,"Breakfast, Lunch, Dinner, Brunch, After-hours, Drinks",Cali @ Changi,tel:+65 6444 0590,S$12 - S$37,3.0,ui_bubble_rating bubble_35,ui_bubble_rating bubble_25,ui_bubble_rating bubble_30,ui_bubble_rating bubble_30,25 reviews,
0,"1 Pasir Ris Central St 3 01-29/01-30/02-13 & 02-14 White Sands Shopping Centre, Singapore 518457 Singapore",Pasir Ris,"1.372337,103.94947",,[],,5002,"Breakfast, Lunch, Dinner",McDonald's,tel:+65 6585 0917,,4.0,,,,,4 reviews,
0,"12 Ann Siang Road, Singapore 069692 Singapore",Outram,"1.28132,103.84546","Moroccan, Mediterranean, Middle Eastern, Persian","[u'Moroccan, Mediterranean, Middle Eastern, Persian']",Outdoor Seating,5003,Dinner,Mamounia Restaurant,,,5.0,,,,,1 review,
0,"88 Tanglin Halt Road Commonwealth View #01-09, Singapore 141088 Singapore",Tanglin Halt,"1.30189,103.79817",Seafood,[u'Seafood'],,5004,,Long John Silver's,,,5.0,,,,,1 review,
0,"1 Bukit Batok Central Link #02-10 West Mall A Singapore 658713, Singapore 658713 Singapore", from Night Safari,"1.35011,103.74922",,[],,5005,,Pontian Express,,,5.0,,,,,1 review,
0,"1187 Upper Serangoon Road #01-01 the Midtown The Midtown, Singapore 533971 Singapore",Central Area/City Area,"1.30513,103.85143",Fusion,"[u'$$ - $$$, Fusion']",Reservations,5006,,Wild Blooms,tel:+65 9191 9722,S$3 - S$35,5.0,,,,,1 review,
0,"293 Holland Road Cold Storage Jelita #02-10B, Jelita, Singapore 278628 Singapore",Ulu Pandan,"1.31778,103.78594","Cafe, Fast food","[u'Cafe, Fast food']",,5007,,Delifrance,tel:+65 6462 6440,,3.5,,,,,5 reviews,
0,"180 Kitchener Rd #B1-K11 and K13 City Square Mall, Singapore 208539 Singapore", from Little India,"1.31133,103.85661",,[],,5008,,Ordinary Burgers,,,3.5,,,,,5 reviews,
0,"33 Sengkang West Avenue The Seletar Mall #02-07 The Seletar Mall, Singapore 797653 Singapore",Fernvale,"1.39132,103.87626",Chinese,[u'Chinese'],,5009,,Din Tai Fung,tel:+65 6341 6566,,5.0,,,,,1 review,
0,"33 Sengkang West Avenue The Seletar Mall # B1 06 07, Singapore 797653 Singapore",,"1.39132,103.87626",,[],,5010,,Texas Chicken,,,5.0,,,,,1 review,
0,"33 Sengkang West Avenue The Seletar Mall # 03 10 11 12, Singapore 797653 Singapore",,"1.39132,103.87626",,[],,5011,,Canton LeNu,,,5.0,,,,,1 review,
0,"Blk 119 Aljunied Ave 2 01-54, Singapore 380119 Singapore",Aljunied,"1.31958,103.88661","Chinese, Asian, Singaporean","[u'Chinese, Asian, Singaporean']",,5012,,Tian Tian Xiang Claypot Rice,tel:+65 6744 0158,,5.0,,,,,1 review,
0,"5 Straits View The Heart #B2-12 The Heart, Singapore 018935 Singapore",Central Area/City Area,"1.2773,103.85291",,[],Reservations,5013,,Joe & Dough,tel:+65 6282 9881,,4.0,,,,,2 reviews,
0,"107 Jalan Bukit Merah Tiong Bahru Orchid #01-1826, Singapore 160107 Singapore",Kampong Tiong Bahru,"1.27984,103.82474",,[],,5014,,Sin Kee,tel:+65 6278 8873,,4.5,,,,,2 reviews,
0,"7 Wallich Street #2-26 Tanjong Pagar Centre #B, Singapore 078884 Singapore", from Marina Bay,"1.27707,103.84579",,[],,5015,,Crave,,,5.0,,,,,1 review,
0,"1 Jelebu Road Bukit Panjang Plaza #01-12 Bukit Panjang Plaza, Singapore 677743 Singapore",Bukit Panjang,"1.37994,103.76432",Japanese,[u'Japanese'],,5016,"Lunch, Dinner",Angie,tel:+65 6766 8998,,5.0,,,,,1 review,
0,"10 Haji Lane Singapore 189203 Bugis, Singapore 189203 Singapore", from Arab Street,"1.30054,103.85939",,[],,5017,,Oriental Elixir,tel:+65 8233 9810,,5.0,,,,,1 review,
0,"Hougang Street 21 Level 1 Heartland Mall, Singapore 530205 Singapore",,"1.35934,103.88526","Chinese, Asian","[u'Chinese, Asian']",,5018,,Xing Hua Lou,tel:+65 6909 7661,,5.0,,,,,1 review,
0,"9 Raffles Boulevard #02-14 Millenia Walk, Singapore 039596 Singapore", from Merlion Park,"1.2923,103.85968",,[],,5019,,Saboten,,,4.0,,,,,2 reviews,
0,"1 Kadayanallur Street #01-98 Maxwell Food Centre, Singapore 069184 Singapore",Central Business District,"1.28035,103.84472","Chinese, Asian, Singaporean","[u'$, Chinese, Asian, Singaporean']",,5020,,Teochew Rice and Porridge,tel:+65 9223 6881,S$3 - S$7,5.0,,,,,1 review,
0,"539 Bedok North Street 3 Bedok North Area Office #01-643, Singapore 461539 Singapore",Bedok,"1.33137,103.92481",,[],,5021,"Breakfast, Lunch, Dinner",McDonald's,tel:+65 6449 3787,,4.5,,,,,2 reviews,
0,"438C Alexandra Road #01-04/04a, Singapore 119976 Singapore", from Singapore Cable Car,"1.27616,103.79125",Japanese,[u'Japanese'],,5022,"Breakfast, Lunch",Sando,tel:+65 9771 0388,,5.0,,,,,1 review,
0,"Blk 450 Clementi Avenue 3 #01-271, Singapore 120450 Singapore", from Singapore Botanic Gardens,"1.31354,103.76542",,[],,5023,Dinner,Siam Square Mookata,tel:+65 8119 6664,,5.0,,,,,1 review,
0,"51 Tampines Avenue 4, Tampines Hub, #01-86, Singapore 529684 Singapore",,"1.36648,103.92597",,[],,5024,,Niigata Bento,,,5.0,,,,,1 review,
0,"371 Bukit Batok St 31 #01-326, Singapore 650371 Singapore", from Singapore Zoo,"1.35943,103.75067",,[],,5025,,Seng Kee Handmade Fishball Noodle,,,4.0,,,,,2 reviews,
0,"68 Orchard Road #05-20 Plaza Singapura, Singapore 238839 Singapore", from Orchard Road,"1.30048,103.84491",,[],,5026,,The Coffee Bean & Tea Leaf,tel:+65 6250 8173,,4.0,,,,,2 reviews,
0,"244 Upper Thomson Road Thomson Garden Estate Singapore 574369, Singapore 574369 Singapore",Moulmein,"1.3532,103.83482",Pizza,[u'Pizza'],,5027,,Shakey's Pizza Singapore,,,4.0,,,,,4 reviews,
0,"151 Thomson Road Goldhill Shopping Centre #01-151 Goldhill Centre, Singapore 307606 Singapore",Moulmein,"1.31813,103.8439",,[],,5028,,Rocovo Restaurant,tel:+65 6256 3888,,4.0,,,,,3 reviews,
0,"726 Clementi West Street 2 01-152 West Coast Market Square, Singapore 120726 Singapore", from Singapore Botanic Gardens,"1.30377,103.7645","Asian, Singaporean","[u'Asian, Singaporean']",,5029,,Soon Heng Fishball Noodle,,,4.0,,,,,2 reviews,
0,"76 Nanyang Drive, Singapore 637331 Singapore",Western Water Catchment,"1.34737,103.67956",Chinese,"[u'$$ - $$$, Chinese']",Reservations,5030,,Peach Garden Chinese Restaurant,tel:006562199398,,3.5,,,,,7 reviews,
0,"129 Bedok N St 2 #01-26, Singapore 460129 Singapore",Bedok,"1.32755,103.938",,[],,5031,"Breakfast, Lunch, Dinner",Mukmin Restaurant,tel:+65 6443 4724,,5.0,,,,,1 review,
0,"585 North Bridge Road Raffles Hospital #01-08 Raffles Hospital, Singapore 188770 Singapore", from Little India,"1.30135,103.85728","Italian, Southwestern, Asian","[u'$, Italian, Southwestern, Asian']",,5032,,Bakerzin,tel:+65 6291 2579,S$6 - S$19,5.0,,,,,1 review,
0,"9 King Albert Park, Singapore 598322 Singapore", from Singapore Botanic Gardens,"1.33688,103.77934",,[],,5033,,Gaijin,tel:+65 6904 0400,,5.0,,,,,1 review,
0,"1 Vista Exchange Green #02-27 the Star, Singapore 138617 Singapore", from Singapore Botanic Gardens,"1.30678,103.78834",,[],,5034,,Gelare,,,5.0,,,,,1 review,
0,"56/58 Lorong 25A Geylang, Singapore 388248 Singapore", from East Coast Park,"1.3153,103.88318",,[],,5035,,Collin's Grille,,,5.0,,,,,1 review,
0,"929 Tampines Street 91 Tampines Palmspring, Singapore 520929 Singapore",,"1.34639,103.93959",,[],,5036,,Bobby's Delicacy,,,5.0,,,,,1 review,
0,"5 Ridgewood Close Ridgewood Condominium Unit G01, Singapore 276696 Singapore",Ulu Pandan,"1.31663,103.77892",Japanese,"[u'$, Japanese']",Takeout,5037,,Haato Ice,tel:+65 6464 9607,S$7 - S$14,4.0,,,,,5 reviews,
0,"36 Beach Road #01-01 The South Beach, Singapore 189766 Singapore",Central Area/City Area,"1.295753,103.8562",,"[u'$$ - $$$, Bar, American']",,5038,,The Armoury Craft Beer Bar,tel:+65 6385 3173,,3.5,ui_bubble_rating bubble_35,ui_bubble_rating bubble_35,ui_bubble_rating bubble_35,ui_bubble_rating bubble_35,109 reviews,
0,"2 Orchard Turn Ion Orchard #B4-03/04, Ion Orchard, Singapore 238801 Singapore", from Singapore Botanic Gardens,"1.30408,103.83181","Chinese, Asian, Fujian, Singaporean, Malaysian","[u'Chinese, Asian, Fujian, Singaporean']",,5039,,Ya Hua Bak Kut Teh,,,5.0,,,,,1 review,
0,"Blk 120 Bishan St 12 #01-67, Singapore 570120 Singapore",,"1.34732,103.85085",,[],,5040,,Heng Wang Seafood,,,5.0,,,,,1 review,
0,"Stall #11, 20 Kensington Park Rd, Singapore 557269 Singapore",,"1.36424,103.86649","Asian, Singaporean","[u'Asian, Singaporean']",,5041,,Chia Keng Fried Hokkien Mee,,,5.0,,,,,1 review,
0,"39 Scotts Road Sheraton Towers Hotel #01-01 Sheraton Towers Hotel, Singapore 228230 Singapore", from Singapore Botanic Gardens,"1.31183,103.8365","Japanese, Bar, Sushi, Pub","[u'$$$$, Japanese, Bar, Sushi']",,5042,"Breakfast, Lunch, Dinner, After-hours, Drinks",Maetomo Restaurant & Bar,tel:+65 6219 3990,S$65 - S$365,5.0,,,,,1 review,
0,"101 Thomson Road United Square United Square Shopping Mall #B1-19, Singapore 307591 Singapore",Moulmein,"1.31696,103.84371",Thai,[u'Thai'],,5043,,Gu Thai Noodle Cafe,,,3.5,,,,,3 reviews,
0,"83 Jalan Sultan, Singapore 198991 Singapore",Central Area/City Area,"1.30288,103.86118",,[],,5044,"Lunch, Dinner",Wu Ping Lang Dong Bei Restaurant,tel:+65 6611 9028,,4.0,,,,,2 reviews,
0,"262 Waterloo St, Singapore 180262 Singapore", from Little India,"1.29856,103.85182",,[],,5045,,Waterloo Street Coffeeshop,,,5.0,,,,,1 review,
0,"240 Tanjong Pagar Road #02-53 Keppel Towers 2 Singapore 088540, Singapore 088540 Singapore",,,,[],,5046,,Bami Express,,,4.5,,,,,2 reviews,
0,"clementi Ave 2 Block 328, Singapore 120328 Singapore",Clementi,"1.31401,103.76707","Cafe, Fast food","[u'Cafe, Fast food']",,5047,"Lunch, Dinner",Gecory,tel:+65 6255 2868,,4.0,,,,,3 reviews,
0,"211 New Bridge Road Lucky Chinatown #01-09 Lucky Chinatown, Singapore 059432 Singapore", from Boat Quay,"1.28363,103.84328","Fast food, Asian, Healthy, Singaporean","[u'$, Fast food, Asian, Healthy']",,5048,,LiHO TEA,tel:+65 6260 5701,,5.0,,,,,1 review,
0,"228 East Coast Road Jago Close, Singapore 428925 Singapore", from East Coast Park,"1.30757,103.90757",,[],,5049,,Katong Jago Fried Kway Teow,,,5.0,,,,,1 review,
0,"2 Bayfront Avenue Marina Bay Sands The Shoppes at Marina Bay, #L2-05, Singapore 018972 Singapore",Marina Bay,"1.28192,103.85883",,[],,5050,,Antoinette,tel:+65 9812 5031,,5.0,,,,,1 review,
0,"3151 Commonwealth Avenue West #01-23 Grantral Mall @ Clementi Grantral Mall, Singapore 129581 Singapore", from Singapore Botanic Gardens,"1.31431,103.76514",,[],,5051,"Breakfast, Lunch, Dinner",KToast,tel:+65 9730 7588,,5.0,,,,,1 review,
0,"175 Albert Street Parc Sovereign Hotel #01-02, Singapore 189970 Singapore",Central Area/City Area,"1.30355,103.85122",,[u'$$ - $$$'],Reservations,5052,,Parc,tel:+65 6336 2073,,3.5,,,,,7 reviews,
0,"Lorong 3, Geylang, Singapore Singapore",Kampong Bugis,"1.3109,103.87694",Chinese,"[u'$$ - $$$, Chinese']",,5053,,Sinma,,S$14 - S$21,3.5,,,,,9 reviews,
0,"1 Harbourfront Walk Vivo City Vivocity, Singapore 098585 Singapore", from Singapore Cable Car,"1.26431,103.82207",,[],,5054,,Saravana Bhavan,tel:+65 6276 0521,,5.0,,,,,2 reviews,
0,"448 Clementi Avenue 3 #01-10, Singapore 120448 Singapore", from Singapore Botanic Gardens,"1.31318,103.76453","Asian, Singaporean","[u'Asian, Singaporean']",,5055,,Chai Ho Satay,,,5.0,,,,,1 review,
0,"5B Portsdown Road 01-02, Singapore 139311 Singapore", from Singapore Botanic Gardens,"1.294423,103.79597","Japanese, Asian, Contemporary, Fusion","[u'Japanese, Asian, Contemporary, Fusion']",,5056,,Magic Square,tel:+65 8181 0102,,5.0,,,,,1 review,
0,"7 Fraser Street Duo Galleria #01-36/37, DUO Galleria, Singapore 189356 Singapore", from Arab Street,"1.29994,103.857315","Asian, Healthy, Hawaiian","[u'$, Asian, Healthy, Hawaiian']",,5057,"Lunch, Dinner",A Poke Theory,tel:+65 9015 0223,S$10 - S$15,5.0,,,,,1 review,
0,"Departure/Transit Lounge South, #026-102-01, Singapore 819642 Singapore",,"1.35572,103.98579",Southwestern,[u'Southwestern'],,5058,Breakfast,TWG Tea at Changi T2,tel:656565831837,,5.0,,,,,1 review,
0,"14 Scotts Road Far East Plaza, Singapore 228213 Singapore", from Singapore Botanic Gardens,"1.30691,103.83354",,[],,5059,,Hi Tea Beverages,,,5.0,,,,,1 review,
0,"12 Maju Avenue Serangoon Garden Estate Serangoon Garden Estate, Singapore 556690 Singapore",Serangoon,"1.36494,103.86578",Spanish,[u'Spanish'],,5060,Dinner,SYNC Korean Tapas Bar,tel:+65 6282 0612,,4.0,,,,,3 reviews,
