0,"Blk 325 Clementi Avenue 5 #01-129, Singapore 121325 Singapore", from Singapore Botanic Gardens,"1.31512,103.76679",,[],,7001,,Big Mouth Mala Pot,,,3.0,,,,,1 review,
0,"592 Balestier Road Value Hotel - Thomson, Singapore 329901 Singapore", from Orchard Road,"1.326879,103.84277",,[],,7002,,WitBier,tel:+65 6254 3676,,3.0,,,,,1 review,
0,"26 Sin Ming Lane #01-115 Midview City, Singapore 573971 Singapore",Bishan,"1.35968,103.83372","Chinese, Asian, Singaporean","[u'$, Chinese, Asian, Singaporean']",,7003,,OKG Express (Midview City),tel:+65 6570 0238,S$4 - S$10,3.0,,,,,1 review,
0,"23 Serangoon Central #1-75 Nex, Singapore 556083 Singapore",,"1.35115,103.87268",,[],,7004,,Honguo,,,3.0,,,,,1 review,
0,"78 Airport Boulevard #B2-209, Jewel, Singapore 819666 Singapore",,"1.36025,103.98928",,[],,7005,,A&W,,,3.0,,,,,1 review,
0,"8 Grange Road Cathay Cineleisure  Orchard Cathay Cineleisure Orchard #01-03, Singapore 239695 Singapore",Somerset,"1.30152,103.83637","Japanese, Cafe, Fusion","[u'Japanese, Cafe, Fusion']",,7006,"Lunch, Dinner",The Pancake,tel:+65 6334 7698,,3.0,,,,,1 review,
0,"Blk 55 Chai Chee Drive #01-174, Singapore 462055 Singapore", from East Coast Park,"1.32715,103.91893",,[],,7007,,New Hawa Restaurant,,,3.0,,,,,1 review,
0,"1086 Serangoon Road, Singapore 328187 Singapore",Kallang,"1.32361,103.86493",,[],,7008,Dinner,126 Wendao Food,,,3.0,,,,,2 reviews,
0,"200 Victoria Street #01-68 Bugis Junction, Singapore 188021 Singapore", from Little India,"1.29966,103.85571",,[],,7009,,Swensen's,,,3.0,,,,,1 review,
0,"930 Yishun Avenue 2 Northpoint Shopping Centre #B2-11/14, North Point Shopping Centre, Singapore 769098 Singapore",Yishun,"1.42942,103.8359",Japanese,[u'Japanese'],,7010,,Yoshinoya,tel:+65 6257 1930,,3.0,,,,,1 review,
0,"391A Orchard Road Ngee Ann City Tower a #B204-4-2, Ngee Ann City, Singapore 238873 Singapore",Boulevard,"1.30231,103.83508",Seafood,[u'Seafood'],,7011,,Fisherios Fish & Chips,,,3.0,,,,,1 review,
