REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_ID,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME
,1,37,https://www.tripadvisor.com.sg/Profile/PringleUk,740683924,23-01-2020,5,Fascinating place!,"My third time in Singapore and never heard of it before... only visited as close to our hotel but really glad we did. Went with a baby and a toddler. My toddler was too young to question some of the more unusual statues but it's possible an older toddler may do/ potentially be a bit scared (my toddler just didn't like the buddha statues). We avoided the counts of hell section though.
Nice stroll through the park. Couldn't access all of it with the stroller but still felt it was worth the visit. My toddler loved feeding the Terrapins (we stopped at the first one but discovered there were loads more). Visitor centre/ food very limited so eat before/ after! Snacks/ drinks/ ice cream available. Overall a great morning out.",01-2020,Family,2020-01-30 09:25:32.818439
,1,37,https://www.tripadvisor.com.sg/Profile/DBM_Kiwi,735771159,31-12-2019,3,Nice little diversion,"A quirky and fairly small attraction. Those with an understanding of Chinese folk stories will get more out of it. Not hugely recommended for younger kids (our 6 y.o. was fairly bored and only really enjoyed feeding the terrapins).

- right next to the MRT station so fairly convenient
- there are some juice vending machines outside but not much to get by way of food
- bring a few $1 coins to buy food for the terrapins - these are scattered throughout the park
- you can probably see most of the park in 1-1.5 hours. Don’t plan on spending a whole day here.",12-2019,Family,2020-01-30 09:25:33.175849
,1,37,https://www.tripadvisor.com.sg/Profile/TJSing2008,735045936,28-12-2019,3,Not bad for a stroll through statues and Chinese stories.,Actually better than I expected. The statues are detailed and well maintained. Probably shouldn’t have taken my kids into the courts of hell... they’re just as disturbing as I remember from my own childhood.,12-2019,Family,2020-01-30 09:25:33.550656
,1,37,https://www.tripadvisor.com.sg/Profile/daniellim76,728745977,25-11-2019,4,Nostalgia place to visit with no entrance fee,"Bring back old memories of folklore tales. Nice place to visit with no entrance fee, however if you are driving $5 per entry fee are payable. Ten court of hell is a must to see if you are there",11-2019,Family,2020-01-30 09:25:33.941643
,1,37,https://www.tripadvisor.com.sg/Profile/Troy B,720121834,21-10-2019,4,Open mind,"My mother has been here 55 years ago. I came here 4 years ago, and now my children have been. We all have our pictures taken in the same spot across generations. And after another trip round. I found it really interesting. My wife was fascinated by many of the stories that are depicted. My children loved seeing all the colourful statues and feeding the Terrapins and fish. But I still dont fully understand many of the statues. Lol.
But it is a great thing to do. Really easy to get to on train and will definitely be coming back next time we are in Singapore. Would highly recommend it to anyone visiting, just keep an open mind :-)",10-2019,Family,2020-01-30 09:25:34.263953
,1,37,https://www.tripadvisor.com.sg/Profile/jasmineg252,704856754,31-08-2019,5,Excellent visit,"We happened to be around that area when my dad proposed that we can bring the kids to have a quick walk there.

Initally, the kids were not aware of the place but when we reached there. They were v excited. My girl is learning about monkey god and she is super excited about the Monkey God section. Her teacher had also told them about the 10 courts of hell and she is also v excited when she visited it. My younger girl (aged 7) was a little scared when she was inside but I think it is a good learning for the kids.

We have also bought the turtle feeds for them to feed the turtle. However, it is a Honesty box approach. No one monitor the payment. Good learning values.

Overall, it is very good visit. Recommeded for all to visit.

Note: Next to haw pat villa mrt
$5 parking per entry",08-2019,Family,2020-01-30 09:25:34.640648
,1,37,https://www.tripadvisor.com.sg/Profile/srikanthav94,694542945,01-08-2019,5,Very unique,"It's a very unique place to visit in Singapore. Lots of photo ops. Located just beside the Haw Par Villa MRT station. Lots of statues about Chinese Folklore. The ""10 Courts of Hell"" was really a different experience. It depicts the Chinese mythology about the various crimes and the punishments you get for those crimes in your after life. Overall it is very well maintained. I went there early morning at 9:30 so it was not crowded at all. Definitely worth a visit.",07-2019,Family,2020-01-30 09:25:35.045598
,1,37,https://www.tripadvisor.com.sg/Profile/687kevina,683201400,21-06-2019,3,An Unusual outing,"A great day out. Parking is $5 per entry. Entry is free. A lot of things to see. There are some renovations going on. Enjoyed the depiction of the Chinese culture.
I assume Restoration is being done and. Continued to restore it to its former glory.
An interesting insight to the Haw Par story.",06-2019,Family,2020-01-30 09:25:35.383237
,1,37,https://www.tripadvisor.com.sg/Profile/Emily K,682924390,20-06-2019,4,Full of chinese stories,A large free park to walk around and see different decorations for chinese stories. This is an old styled park which was a famous park in parents age. But I think is worth to see if you are interested in chinese stories,06-2019,Family,2020-01-30 09:25:35.690893
,1,37,https://www.tripadvisor.com.sg/Profile/Cay T,682890522,20-06-2019,5,Historical!,"It was a visit with my family.. Such a good place to be educated about this chinese folklore.. Formerly known as the Tiger Balm Gardens, but renamed as Haw Par Villa Dragon World by the Singapore Tourism board. The Haw Par in the park's name is based on the Aw brothers' personal names, Haw & Par, which means ""tiger"" & ""leopard"".. Very educational!",04-2019,Family,2020-01-30 09:25:36.071609
