REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_RATING,REVIEW_DATE,REVIEW_BODY,REVIEW_CRAWLED_TIME
,4,109,//www.qyer.com/u/58646,5,2015-07-16,这个展览馆是WAWA路过，临时增加到行程中的。这里除了新加坡城市模型和设计新思潮外，最对WAWA胃口的是关于旧建筑改造的展览。新加坡的旧建筑以东南亚风格的骑楼为主，与广东一带的岭南骑楼类似。展览表达了政府对旧建筑的改造意向——在修旧如旧的前提下，把旧建筑改造成更适合现代人居住，更好地解决热带气候带来的居住影响，并把杂乱无章的外挂空调机美观地规划放置，立面上适当加入少量现代元素，让旧街区“年青”起来。     由于时间有限，WAWA看完首层的展览就以为结束了，没有再周围转转，撤退充饥去了。后来才知道，展览馆占据了3层，设有10个主题区，馆内的亮点除了大型的城市模型外，还有一个名为“了解新加坡”的视听展览和一个设于屋顶、鸟瞰地面的照相机。捶心吖～没有做“功课”的损失。,2020-02-15 22:45:17.190825
,4,109,//www.qyer.com/u/5272102,3,2014-12-12,新加坡城市展览馆位于麦士威道45号，距离牛车水地铁口步行约10分钟。注意：开馆时间周一至周六上午9：00－下午5：00，周日和公众假日闭馆。入口处有一组雕塑，标题是“三水妇女”，三水红头巾妇女在新加坡30年代至70年代的建筑业扮演重要的角色，早年她们从唐山带过来一个陶瓷枕头，一张自己缝的被，身着自己缝的蓝碎花衣、黑裤--红头巾生命中最亲密的物件，构成她们晚年鲜明的形象。,2020-02-15 22:45:17.200254
,4,109,//www.qyer.com/u/4100559,4,2016-08-02,这里是了解新加坡城市发展的一个好地方，而且在市区，也很容易找。,2020-02-15 22:45:17.211704
,4,109,//www.qyer.com/u/6743105,3,2015-10-31,画廊还可以协助企业在经营环境中融入艺术元素的要求。如果需要灵感，不妨来这里观赏。,2020-02-15 22:45:17.220319
,4,109,//www.qyer.com/u/986558,3,2015-10-27,里面展示的内容非常丰富，了解新加坡历史变迁、规划建设、未来构想的最好场所。展厅里有超大的新加坡全境以及中心区的模型，制作非常精美。,2020-02-15 22:45:17.226458
,4,109,//www.qyer.com/u/1391871,4,2015-10-07,在maxwell美食中心旁边，因为是中午，就来这里避暑了，有两层可以看。可以看到新加坡城市规划的过去和将来。免费进入。可以来看看,2020-02-15 22:45:17.231526
,4,109,//www.qyer.com/u/4599414,3,2015-09-16,这个是免费入场的，展品很有特色。能了解过去和现在的新加坡。 地点方便，就在China town，不难找到。,2020-02-15 22:45:17.235952
,4,109,//www.qyer.com/u/399070,3,2015-06-23,其实就是一座典型的新加坡城市规划馆，最吸引眼球的当然还是那个新加坡城市沙盘。,2020-02-15 22:45:17.239957
,4,109,//www.qyer.com/u/4510321,3,2014-12-30,"三层楼的新加坡城市画廊是新加坡版的城市展览。它呈现了新加坡是如何建设成为有着410万人口活力四射的大都市,在发展的同时,它却没有牺牲绿色空间和建筑遗产。",2020-02-15 22:45:17.243642
,4,109,//www.qyer.com/u/2587444,4,2015-01-02,城市发展局下属的新加坡城市画廊，让人们见识了政府一直以来坚持兴建高楼、改造土地的政策。馆内的亮点包括一个11m*11m成比例的城市模型、一个名为“了解新加坡”的视听展览和一个设于屋顶、鸟瞰地面的照相机。最喜欢在这里找出自己熟悉的建筑物。,2020-02-15 22:45:17.247077
