REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_RATING,REVIEW_DATE,REVIEW_BODY,REVIEW_CRAWLED_TIME
,4,38,//www.qyer.com/u/1157943,3,2019-10-05,就一个简单拍照的景点，离克拉码头很近，可以一起游玩，但是单独作为打卡景点的话，仅可以作为拍照地而已~,2020-02-15 22:25:26.340288
,4,38,//www.qyer.com/u/11686794,3,2019-07-17,路过看看就好，也就照个相。,2020-02-15 22:25:26.355376
,4,38,//www.qyer.com/u/9382547,3,2017-06-20,在这个新加坡新闻及艺术部大厦这里，包括隔壁的克拉码头色彩都很艳丽丰富，挺适合姑娘们拍照的。这座七彩房子的隔壁还有一座开放式的山地公园，也是好去处啊！景点都是连片的在一起，非常值得环形路线那么走走，舒适走！,2020-02-15 22:25:26.368878
,4,38,//www.qyer.com/u/1730287,4,2017-06-20,逛完克拉码头一直往前走找公交站，偶遇到的这栋有着彩虹色窗户的俏皮又稳重的建筑。难以想象这居然是新加坡新闻及艺术部大厦！如果说建筑风格能体现一座城的性格，她一定是某个代表：稳重端庄又充满灵动与生气！！！,2020-02-15 22:25:26.376327
,4,38,//www.qyer.com/u/4544129,4,2014-10-18,新闻及艺术部大厦共拥有911 扇七彩百叶窗，也因此成为了殖民区极吸引眼球的建筑,2020-02-15 22:25:26.382070
,4,38,//www.qyer.com/u/707336,4,2014-08-20,大厦就在克拉码头的附近，走过去很近，很显眼的，各种亮丽颜色的窗户，非常的好看,2020-02-15 22:25:26.386897
,4,38,//www.qyer.com/u/170426,4,2013-04-28,在哥里门桥北面，就是极其吸引所有人眼球的新闻及艺术大厦（MICA Building），这是一道绝对色彩艳丽的建筑风景，911 扇七彩百叶窗将此建筑装点成一个绝妙的童话世界。,2020-02-15 22:25:26.391127
,4,38,//www.qyer.com/u/8058052,5,2016-10-18,建筑很好看，玻璃是彩虹色的，新加坡的建筑挺喜欢用彩虹色的，克拉码头也是很多彩虹色。在克拉码头附近，我们路过就在门口拍了个照，站在门口可以看到金沙酒店。,2020-02-15 22:25:26.394966
,4,38,//www.qyer.com/u/1322958,5,2016-06-19,这就是那个有着七彩窗户的大楼，在一个路口。前面有座桥，在桥上恰好可以拍到远处的金沙湾酒店,2020-02-15 22:25:26.398641
,4,38,//www.qyer.com/u/2874922,4,2015-08-05,两次去新加坡都经过这座大楼，居然不知道是新闻及艺术部大厦。就在新加坡河畔，如果你去松发肉骨茶吃饭，斜对面就是它了。,2020-02-15 22:25:26.402133
,4,38,//www.qyer.com/u/4949020,4,2014-11-29,喜欢5颜6色的窗口，克拉码头出来就是了,2020-02-15 22:25:29.787174
,4,38,//www.qyer.com/u/3437878,5,2014-07-31,好像是以前的警察局，特色就是彩色的窗，可以进入，里面也有可以逛的艺术廊,2020-02-15 22:25:29.790542
,4,38,//www.qyer.com/u/2587444,3,2013-08-30,前身是是建于1934 年的旧禧街警察局，内设禧街警察局和营房。因其亮丽的颜色，也被成为“彩虹大楼”。除了是新闻及艺术部大厦，里面还有很多画廊，超级有艺术氛围。,2020-02-15 22:25:29.793929
,4,38,//www.qyer.com/u/9612282,4,2019-02-13,很适合拍照的景点，彩色的窗户活泼而又有秩序感。新加坡的建筑不知道为什么都很干净，完全没有破旧感。,2020-02-15 22:25:29.797329
,4,38,//www.qyer.com/u/2006421,5,2018-09-04,好喜欢的一栋大楼，还可以进入大楼的内部，一样是彩色的窗，有点像童话。,2020-02-15 22:25:29.800677
,4,38,//www.qyer.com/u/1596383,4,2018-07-26,去过两次，每扇窗户都刷成了不同颜色，非常漂亮，离松发肉骨茶和克拉码头都不远，皆可步行到达。推荐 白天和傍晚 时分去，斑斓色彩的窗户和天色交相辉映非常的漂亮，同时再次拍照寄凹造型也是很好的选择。能收获不错的照片,2020-02-15 22:25:29.804088
,4,38,//www.qyer.com/u/3565070,5,2018-06-25,打卡点，在克拉码头B出口能直接看到，旁边就是松发肉骨茶，可以一起打卡,2020-02-15 22:25:29.807484
,4,38,//www.qyer.com/u/6872037,4,2018-04-05,在克拉码头边上，新加坡到彩色的房子挺多的，所以等后来的看到时已经并不是很惊艳了。,2020-02-15 22:25:29.810887
,4,38,//www.qyer.com/u/2338476,3,2018-04-05,虽然远观 但是看到色彩斑澜的窗户 觉得心情舒畅 没办法 就是喜欢这种对称美,2020-02-15 22:25:29.814243
,4,38,//www.qyer.com/u/5473798,5,2018-02-28,无论是晚上还是白天外观都很好看啊 拍了不少照片 很喜欢的一个点,2020-02-15 22:25:29.817596
,4,38,//www.qyer.com/u/155760,3,2017-10-25,"MICA(Ministry of Information, Communications and the Arts),是新加坡的一个政府部门,主管创意产业发展。而这座建筑最吸引人眼球的则是因为它有着911扇缤纷色彩的窗户",2020-02-15 22:25:31.688016
,4,38,//www.qyer.com/u/4472071,3,2017-08-07,不是很清楚去这里要干嘛，暴走的时候路过这里，在克拉码头地铁站附近，楼是彩色的，拍照片打卡？后面就是福康宁公园了。,2020-02-15 22:25:31.707604
