REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_RATING,REVIEW_DATE,REVIEW_BODY,REVIEW_CRAWLED_TIME
,4,90,//www.qyer.com/u/1202028,5,2018-05-31,就在滨海湾花园的尽头，建议骑车，走路会有点远，是海和河之间的堤坝，通常是人们放风筝和野餐的去处。,2020-02-15 22:41:38.262413
,4,90,//www.qyer.com/u/4472071,4,2017-08-07,地方很大，可以去野餐+放风筝吧。适合亲子或者一大群朋友去吹吹风。,2020-02-15 22:41:38.277916
,4,90,//www.qyer.com/u/1503749,3,2016-07-15,算是比较新的景点，是野餐休闲的好去处，不过一定要注意防晒！喜欢徒步的可以选择去这一段走走,2020-02-15 22:41:38.291432
,4,90,//www.qyer.com/u/6926183,4,2016-04-06,现在那片维修中，我去的日期是2016-04-04，看着是大工程。 以前去过，真的是看海岸和金沙和摩天轮的好地方,2020-02-15 22:41:38.298880
,4,90,//www.qyer.com/u/2468945,5,2016-03-15,慢慢走在堤坝上，感觉时间都慢下来了，除了看水面上来往的船只，对面就是金沙酒店，但我们是下午去的，没有遮挡，晒成人干，哈哈！,2020-02-15 22:41:38.304599
,4,90,//www.qyer.com/u/986558,4,2015-10-28,滨海堤坝将海水与靠近市区的滨海内海隔开，设计很科学。开阔的视野看那些现代的建筑太美了，这里也是拍夜景的首选，在这里野餐很棒。,2020-02-15 22:41:38.309401
,4,90,//www.qyer.com/u/4599414,4,2015-09-16,堤坝的水库大楼盘旋大桥的设计很独特，桥的主楼屋顶铺上了环迴 180 度的草皮，从高处俯瞰，滨海堤坝的外形好像一个绿色的旋涡。,2020-02-15 22:41:38.313622
,4,90,//www.qyer.com/u/1407394,4,2015-07-18,超舒服的一个地方。虽然四周都是高楼，但是近处就是金沙酒店、摩天轮，好多人在上面放风筝啊，休息啊，野餐啊，休闲一下也不错的,2020-02-15 22:41:38.317458
,4,90,//www.qyer.com/u/2010900,4,2015-06-23,滨海堤坝位于金沙的后方的滨海湾花园的后方。许多家庭喜欢周末带着孩子来这里放风筝野餐。,2020-02-15 22:41:38.321104
,4,90,//www.qyer.com/u/4690255,3,2015-05-13,当地人玩儿的地方，游客的话还是建议去旁边的滨海花园多消磨点时光吧，不过要是只满足吹吹风，到也是够了,2020-02-15 22:41:38.324504
,4,90,//www.qyer.com/u/4510321,4,2014-12-27,"滨海堤坝横贯滨海水道河口,是新加坡第十五大水库,也是首个建在市中心的水库。",2020-02-15 22:41:42.339432
,4,90,//www.qyer.com/u/2587444,3,2014-07-23,虽然说滨海堤坝是个堤坝，但在本地人心中其实是一个美丽的风景胜地，适合全家人周末来玩。平时的时候可以野餐、放风筝，国庆的时候还可以在这里看烟火。,2020-02-15 22:41:42.343918
