REVIEW_ID,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
65363,2,209,Todemmy,5.0,2019-05-09,Not Available,通过参观游览以及查阅资料我了解到：凤山寺建于 1908 年至 1913 年间，由新加坡的福建人社群兴建。华人将凤山寺视为“凤凰山上的寺庙”，专门供奉财神爷广泽尊王 (Guang Ze Zun Wang)。凤山寺曾坐拥壮丽海景。,2020-02-16 17:47:53.814013
65364,2,209,鱼眼看天下,5.0,2017-02-19,Not Available,祖庙就是福建南安诗山的凤山寺，新加坡的寺庙建于1836年，至今快280年历史了，前不久刚重新修葺。正逢新年佳节，舞龙舞狮必不可少。,2020-02-16 17:47:53.818977
65365,2,209,coldwar,4.0,2017-10-20,Not Available,凤山寺建于1836年，是来自中国福建的移民修建的，象征着移民如何在异国他乡寻找更好的财富，能够在产业和智慧的背后取得成功和财富。这座寺庙以传统的中国建筑风格建造，拥有丰富的装饰，如装饰性木柱、花岗石牌匾和宏伟的主厅，建筑材料都是来自中国。,2020-02-16 17:47:53.824574
65366,2,209,m13****549,5.0,2017-08-26,Not Available,寺庙不大，但是香火鼎盛，建筑极其中国化,2020-02-16 17:47:53.828889
65367,2,209,爱爱李,5.0,2016-01-19,Not Available,凤山寺是一座历史非常悠久的寺庙，这里的寺庙很多中国古老的民族特色，很多游客在这里流连忘返的，风山也是新加坡的一个非常有名气的大山，山上的景色太美了可以说。,2020-02-16 17:47:53.833171
65368,2,209,_ceai****5795,3.0,2018-02-11,Not Available,原汁原味中国移民所建，纯中国风格。,2020-02-16 17:47:53.837159
65369,2,209,游在这方天地,4.0,2015-10-11,Not Available,这座寺庙的建筑，像中国南方的宫廷式风格，里面供奉着财神爷，可以来拜拜。,2020-02-16 17:47:53.840954
65370,2,209,泉泉227676,3.0,2015-09-30,Not Available,只看建筑还以为回到中国，这里是供奉财神爷的，很有中国的特色，很多的本地人来求拜,2020-02-16 17:47:53.844493
65371,2,209,M15****577,5.0,2017-09-15,Not Available,东南亚这边寺庙文化还是比较久远的 文化气息、历史气息浓郁,2020-02-16 17:47:53.848251
65372,2,209,tai****000,5.0,2016-10-19,Not Available,凤山寺建立至今已经有一百多年的历史了，它就在穆罕默德苏丹路上，里面供奉的的中国的财神爷，而它的建筑风格也是典型的南方宫殿式的，整个大殿和装饰都是富丽堂皇。,2020-02-16 17:47:53.851902
