REVIEW_ID,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
65627,2,226,M44****533,5.0,2019-08-02,Not Available,圣伯多禄圣保禄堂的历史与新加坡华人天主教团体的发展有关。该堂兴建于1869年到1870年，服务于操各种中国以及印度方言的信徒。这里也是许多欧洲传教士在前往中国传教之前学习中文的一个中心。,2020-02-16 17:56:35.752771
65628,2,226,世界美食游走达人,4.0,2018-02-22,Not Available,Let peace n harmony bless d entire world Amen I ask father to bless my pinky rosary ​​​,2020-02-16 17:56:35.757696
65629,2,226,cd****ei,4.0,2015-08-30,Not Available,是一座罗马天主教教堂，教堂很漂亮，在里面很安静肃穆，当阳光透过五彩斑斓的窗玻璃投射进来时，一切都那么祥和美丽。,2020-02-16 17:56:35.762381
65630,2,226,tai****000,5.0,2016-10-18,Not Available,圣伯多禄圣保禄堂是新加坡最有名的罗马天主教教堂之一，它建立至今已经有一百五十多年的历史了，同时它也见证了新加坡华人天主教团体的发展，建筑的外形很漂亮，值得推荐。,2020-02-16 17:56:35.766781
65631,2,226,wangmnn,5.0,2015-07-23,Not Available,这里正在维护之中，你要是想看见这里的美景的话，应该明年来。你要是想做弥撒的话，这里有空地。工作日早上和晚上的时候是在三楼的小教堂做弥撒的,2020-02-16 17:56:35.770991
65632,2,226,爱爱李,4.0,2016-01-19,Not Available,圣伯多禄圣保禄堂是一个大型的白色建筑，这里的宗教属于天主教的一个分支，很多当地人都是比较信奉这里的，很多大型的设备都比较不错哦，还可以看到一些教堂的精美艺术品。,2020-02-16 17:56:35.775079
65633,2,226,_ceai****5795,4.0,2018-01-24,Not Available,大气的欧式教堂，仿佛置身于西方世界。,2020-02-16 17:56:35.779039
65634,2,226,206****159,4.0,2018-02-09,Not Available,白色的教堂，虔诚的祈祷的人好多,2020-02-16 17:56:35.782847
65635,2,226,啦啦AAA,4.0,2015-10-21,Not Available,这个教堂倒是大门敞开，让游客进去参观。不过整个教堂几乎没有人，除了看见一个中年女子匆匆做了一下简单的祷告之外。,2020-02-16 17:56:35.786494
65636,2,226,M17****984,3.0,2015-11-21,Not Available,教堂很大，很神圣，教堂对外开放，但人不是很多，可能不是做礼拜的时间。不错的地方，和很多电视剧里的教堂很像。,2020-02-16 17:56:35.789912
65637,2,226,游在这方天地,5.0,2015-10-09,Not Available,这是一座罗马天主教教堂，髙高顶五彩的玻璃窗，美丽又庄严。,2020-02-16 17:56:40.181179
65638,2,226,coldwar,4.0,2017-10-21,Not Available,圣伯多禄圣保禄堂可以看到一百四十年的旧高台重新安装，并注意到漂亮的新地砖和三位一体的设计，一天有四场弥撒，据说在上午八点半和下午两点，分别是国语普通话和粤语弥撒。,2020-02-16 17:56:40.186132
65639,2,226,望天树宝贝,4.0,2018-07-09,Not Available,是一座罗马天主教教堂，教堂很漂亮，在里面很安静肃穆，当阳光透过五彩斑斓的窗玻璃投射进来时，一切都那么祥和美丽。,2020-02-16 17:56:40.190968
65640,2,226,138****9343,5.0,2018-04-09,Not Available,这里非常值得去。安静、神圣、周围有许多购物中心,2020-02-16 17:56:40.195271
65641,2,226,M15****945,4.0,2018-03-27,Not Available,信教的人越来越多，这是好事。人总是要有点信仰！,2020-02-16 17:56:40.199569
65642,2,226,piaopiao06,5.0,2016-10-18,Not Available,教堂在住宅区中间，非常容易错过，不过建筑特色很吸引人。,2020-02-16 17:56:40.203795
65643,2,226,乐乐嘻嘻哈哈,5.0,2016-07-04,Not Available,圣白的墙和彩绘玻璃完美的结合在一起，反而给人一种唯美的安静感。一切都那么祥和，仿佛与室外的炎热隔绝了。,2020-02-16 17:56:40.207700
65644,2,226,_CFT01****7726071,4.0,2016-03-23,Not Available,这里正在维护之中，你要是想看见这里的美景的话，应该明年来。你要是想做弥撒的话，这里有空地。推荐看看。,2020-02-16 17:56:40.211353
