REVIEW_ID,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
65461,2,216,D56****96,1.0,2020-01-20,22:45,亚洲脸孔女老板歧视中国游客一脸的藐视，有本事就不要接中国游客生意。她也不照照镜子自己又老又体型变形。为了气她私下加了她老公微信约出来，是个中东奥地利混血男，个子估计就是168，但是那个很行，有兴趣的，去到加他微信。,2020-02-16 17:50:41.243143
65462,2,216,陌生糖,5.0,2019-12-26,11:33,还蛮有意思的，我感觉自己完全是把飞机当车开，哈哈哈，猛拉油门，把飞行教官吓了一小跳，哈哈哈，降落的时候，完全是S型路线，把乘客做晕咯，呵呵呵,2020-02-16 17:50:41.246428
65463,2,216,m35****7524,4.0,2019-11-10,14:36,有单人和双人飞行体验套餐，虽然价格小贵，但是硬件和体验性都不错,2020-02-16 17:50:41.250250
65464,2,216,co****ean,5.0,2019-05-08,11:31,被工作人员的阳光灿烂迷人笑容驻足过来了解一下应该是最奇葩的进店理由了吧…………哈哈哈，很棒的体验中心，专业有趣好玩，人很多，很多周边产品售卖～,2020-02-16 17:50:41.253386
65465,2,216,M34****7524,5.0,2020-01-03,00:24,孩子们学习了真实的飞机驾驶体验！兴趣和学习相得益彰，超值体验的项目！,2020-02-16 17:50:41.256385
65466,2,216,M34****7524,5.0,2020-01-03,00:10,服务很好！项目很刺激、自由飞翔的感觉。下一步就是跳伞了。,2020-02-16 17:50:41.259493
65467,2,216,D56****96,1.0,2019-11-14,20:19,"老板Sam日本人，老婆是马来西亚人叫Amy,",2020-02-16 17:50:41.262556
65468,2,216,深蓝色的大海,5.0,2016-03-07,13:42,超级棒的飞行体验，时间紧，订的半个小时的短途体验，飞行教练帅，同伴也是飞行迷，配合很到位！孩子们坐后排很耐心！所有的配置细节都很到位！物有所值！,2020-02-16 17:50:41.265624
65469,2,216,牛牛jack,5.0,2015-10-12,20:09,有单人和双人飞行体验套餐，虽然价格小贵，但是硬件和体验性都不错,2020-02-16 17:50:41.268645
65470,2,216,乐乐张姐,5.0,2015-08-30,09:59,虽然价格有点小贵，但还是比较值得的，特别是全程的模拟飞行体验，还可以刻录光盘留念,2020-02-16 17:50:41.271672
65471,2,216,sunnycccc,5.0,2018-01-04,10:09,飞行体验真的是酷币了 但是价格也很贵,2020-02-16 17:50:44.862153
65472,2,216,_ceai****5795,4.0,2018-01-04,10:49,驾驶舱的兴奋超过了享受乐趣本身。,2020-02-16 17:50:44.865988
65473,2,216,帅翻全场就是我,5.0,2018-05-06,23:23,不错的选择，风情漂亮，另一种建筑特色，异国风情，很好玩,2020-02-16 17:50:44.869380
65474,2,216,sunnycccc,5.0,2018-04-23,08:53,飞行员的着装真的炒鸡的帅气哦。,2020-02-16 17:50:44.872635
65475,2,216,M22****2721,5.0,2017-09-06,21:18,这个要去，看的时候吓得要命，上去一飞，领略自然风光，树叶在脚下穿梭的感觉好极了～孩子更没问题。原以为孩子会害怕，没想到，一次玩不够，希望多次飞,2020-02-16 17:50:44.876080
