REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_ID,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME
,1,78,https://www.tripadvisor.com.sg/Profile/Cassiopeiaaa,737741221,08-01-2020,5,Very helpful!,"Our (my family and I) visit to the Visitor’s/ Info. Center was great! We were quite confused and decided to stop by, I’m glad we did! This employee- Joey was especially helpful. She was kind, welcoming and was very informative especially in regards to how to travel around Singapore, places that are a must to visit, best times to go, etc. I feel like her aid certainly made our trip better as we were less confused. Would definitely recommend as a first stop once you get to Singapore (as a tourist)!",04-2019,Family,2020-01-31 17:09:49.208491
,1,78,https://www.tripadvisor.com.sg/Profile/Qualist,692743040,26-07-2019,5,Fabulous service,"Visiting the Singapore visitor Center at Orchard gateway was all I needed to get my trip to Singapore off to a great start. I was assisted by Joey, who gave me all the information I needed. I’d lived in Singapore many years ago and Joey was able to make me feel like I’d never left. Thank you, Joey!",07-2019,Family,2020-01-31 17:09:49.568732
,1,78,https://www.tripadvisor.com.sg/Profile/Asgerkirke,687686845,08-07-2019,5,Very nice,"Very fast and good service by Joey, she help us with hotel, bus to Malaysia and visa to Malaysia! Can highly recomend this place to you if you are stopping by!",07-2019,Family,2020-01-31 17:09:49.901180
,1,78,https://www.tripadvisor.com.sg/Profile/bronmorris66,687423410,07-07-2019,5,Very helpful,"The staff were very knowledgeable and eager to help. We had many questions, all of which they were able to answer. They even phoned and made a reservation at a restaurant when we were finding it difficult.",06-2019,Family,2020-01-31 17:09:50.270122
,1,78,https://www.tripadvisor.com.sg/Profile/Anaqe20,682110810,17-06-2019,5,Very Informative!,"If you want to know further about place to visit in Singapore or you already have place in mind but you want to know alittle bit more about that place, then you should come to this place. The staffs are friendly, polite, very knowledgeable about singapore.",06-2019,Family,2020-01-31 17:09:50.652610
,1,78,https://www.tripadvisor.com.sg/Profile/Boon Yen C,673573757,13-05-2019,4,Good information helpful staff,"Brough a friend to the centre to obtain information to plan her 3 day visit in Singapore. There are a wide variety of information both in printed and digital form. Easily obtainable information about local attractions, shopping, eats and lodging. Knowledgeable and helpful staff rounds off a wonderful visit.",12-2018,Family,2020-01-31 17:09:51.015785
,1,78,https://www.tripadvisor.com.sg/Profile/lkamphuis,670805429,02-05-2019,5,Great help and local sim available,"Even though their fire alarm was going off we stopped in here a local sim $12 and 100 gb data !!
We got great advice on transport and an explanation of the shops - Will make our visit much easier
Very helpful staff and maps and guides available",05-2019,Family,2020-01-31 17:09:51.391711
,1,78,https://www.tripadvisor.com.sg/Profile/Timothy Cameron B,669068065,25-04-2019,5,Always very helpful,The team are always insightful and understand the best ways to get the most out of your time in Singapore. Just ask and they will assist.,04-2019,Family,2020-01-31 17:09:51.769606
,1,78,https://www.tripadvisor.com.sg/Profile/JRWFamily1969,669066469,25-04-2019,4,Very Helpful,"Very helpful staff. Answered all my questions and gave some great advice on transport/getting around options. Its located on Orchard road, so pretty easy to find.",04-2019,Family,2020-01-31 17:09:52.146422
,1,78,https://www.tripadvisor.com.sg/Profile/Josephine N,665056873,09-04-2019,5,First visit,It was my first visit to this centre to get advise of places of interest recommendation for my long-distance relatives during the CNY. The staff who has provided the advise and services was very friendly and informative.,02-2019,Family,2020-01-31 17:09:52.498035
,1,78,https://www.tripadvisor.com.sg/Profile/740Elly48,661342612,26-03-2019,3,Under renovation,The usual store is closed and a small kiosk is located in the opposite side of Orchard Road. Few pamphlets available and not the best help for ideas.,03-2019,Family,2020-01-31 17:09:58.543656
,1,78,https://www.tripadvisor.com.sg/Profile/slyswanston,657739820,11-03-2019,5,Free coffee,"this is situated in a promanent location and easy to find. once you are in there is a warm welcome and a choice of free coffee and toast. purchasing the tickets were easy for the hop on hop off bus. the staff took the time out to chat with you and made you feel welcome.

if you few with Singapore airline you will get a discount on your tickets, make sure you take your boarding pass with you.",02-2019,Family,2020-01-31 17:09:58.907583
,1,78,https://www.tripadvisor.com.sg/Profile/harmeet_25,652738864,16-02-2019,5,Helpful staff,We had taken the pass and had to collect from this office. Staff was helpful and helped as pick the best possible options and enjoy singapore,08-2018,Family,2020-01-31 17:09:59.279724
,1,78,https://www.tripadvisor.com.sg/Profile/AdelaideRhodes,652450791,15-02-2019,5,Very Helpful,"The staff at Singapore Visitor Centre are very helpful. They advised us on transport to catch, best shopping, great restaurants for your taste and many tours to choose from",03-2018,Family,2020-01-31 17:09:59.638150
,1,78,https://www.tripadvisor.com.sg/Profile/Rorypatrick,648702155,28-01-2019,5,Brilliant staff,"I can't speak highly enough about the staff in the Singapore Visitor Centre. Friendly, knowledgable & patient. They also helped us with a hotel booking. It should be your first destination in Singapore.",01-2019,Family,2020-01-31 17:09:59.983266
,1,78,https://www.tripadvisor.com.sg/Profile/Theresa V,646466600,17-01-2019,5,Awesome service,"We visited a few times during our trip and each time, staff were extremely friendly and helpful. Easily located.",12-2018,Family,2020-01-31 17:10:00.365520
,1,78,https://www.tripadvisor.com.sg/Profile/ManishMTravel,632023580,09-11-2018,5,Great resource for tourism tips,"I had to shorten my Singapore visit at the last minute. I landed in Singapore with only a short list of places I wanted to visit, but no detailed plan or itinerary. I walked up to the Singapore Visitor Centre expecting some help with my planning process. I met Florence who listened with patience and then helped me structure an itinerary.

The best inputs I received were quick answers to questions such as:

1. ""How much time will it take us to visit this venue at ease?""
2. ""What if we skip through some of the attractions at this venue?""
3. ""What modes of transport do you recommend?""
4. ""How will a Singapore Tourist Pass help?""
5. ""If we have only 4 hours to spare on this day, which attractions do you recommend us to visit?""
6. ""Do you recommend buying the 4-park ticket or 2-park ticket?""
7. ""Should we buy cable car + attractions combo tickets, or buy separate cable car tickets?""

I benefited by pointed answers to the above questions and several more that I asked. Your mileage may vary depending upon your preparedness and prior trip research.",11-2018,Family,2020-01-31 17:10:00.725538
,1,78,https://www.tripadvisor.com.sg/Profile/Benny053,630907093,05-11-2018,4,Treasure trove for ideas and info,"Good place for advice,information, transport,maps and ideas of places to see or visit if new to the city. A good reprieve from the heat and humidity; a good place to cool off and rest.",08-2018,Family,2020-01-31 17:10:01.119342
,1,78,https://www.tripadvisor.com.sg/Profile/Angel_Traveler444,629997398,01-11-2018,5,Informative,Very interactive place. Went here to enquire about some attractions to visit and the staffs here very helpful,03-2018,Family,2020-01-31 17:10:01.477120
,1,78,https://www.tripadvisor.com.sg/Profile/robert_proctor,624108046,12-10-2018,5,Very helpful staff and assisted us a few times with suggestions,"The staff here were very helpful especially Stephen. We were able to find information about the best way to see some attractions and how to get around. Also found it good as was quoted $370 from a hotel tour desk to do the night safari as a family of 5 (older kids) but when we went via here the price confirmed was a saving of $90. Clearly the tour desk person we spoke with was adding a bit on top and was only able to take cash!!!

This place is well worth going in for ideas on what to see",10-2018,Family,2020-01-31 17:10:01.843399
,1,78,https://www.tripadvisor.com.sg/Profile/Rod F,614325349,06-09-2018,5,The best 30 minutes in SIngapore to set up our schedule,"Couldn't be happier with our experience here. Our consultant was Louis, and he is lovely bloke, with a wealth of information and excellent advice on local attractions, tips on what to look out for, pros and cons of the public transport system, when to use cabs in lieu of MRT/buses etc. Louis asked us great questions, listened to what we wanted, and quickly prepared a fabulous itinerary for our 3 1/2 days in Singapore. The complimentary local coffee (kopi) and coconut jam in the upstairs cafe was a nice touch too.",08-2018,Family,2020-01-31 17:10:07.807765
,1,78,https://www.tripadvisor.com.sg/Profile/VeenaNaidoo19,611816170,29-08-2018,5,Glorious Welcome by the staff at Singapore Visitor Centre,"Great hospitality, Got to taste the different varieties of the national cuisine. Staff very helpful and assisted us on how to use the maps when travelling with the public transpor",06-2018,Family,2020-01-31 17:10:08.153603
,1,78,https://www.tripadvisor.com.sg/Profile/tripleA1232015,605766859,13-08-2018,5,user friendly,nice area where you can also check out emerald hill. very helpful for first time tourists people are lovely,06-2018,Family,2020-01-31 17:10:08.496780
,1,78,https://www.tripadvisor.com.sg/Profile/SR148Kandy,602418116,03-08-2018,5,"Very helpful, courteous staff.","We could by tickets for most attractions here, and the staff even gave advice on how to combine visits to get the best deals. Drew a map to show us how to get to a couple of places and back.",08-2018,Family,2020-01-31 17:10:08.875077
,1,78,https://www.tripadvisor.com.sg/Profile/penni51,601198129,30-07-2018,5,excellent,John told us all we needed to know for our 2 weeks in Singapore he was informed and enthusiastic and even went to the trouble of finding us in a cafe afterwards to tell us he'd made a slight mistake with his information,07-2018,Family,2020-01-31 17:10:09.220730
,1,78,https://www.tripadvisor.com.sg/Profile/FDKamal,597941184,20-07-2018,5,Yeah for Lidy!!,"One of the most helpful attractions on Orchard Street. with free maps, excellent info, even tidbits at different events celebrated at the Centre.",07-2018,Family,2020-01-31 17:10:09.629960
,1,78,https://www.tripadvisor.com.sg/Profile/stuartdouglas508,596853412,17-07-2018,5,Visitor Centre,"The staff at the visitor centre were very helpful ,this is where we bought our EZ cards for the SMRT, we also got city maps from here.",07-2018,Family,2020-01-31 17:10:09.967217
,1,78,https://www.tripadvisor.com.sg/Profile/Rohit B,591938603,30-06-2018,5,Singapore Visitor Centre,Singapore visitor Centre is the perfect place for the visitor to grab the knowledge about the city. it is good place.,06-2018,Family,2020-01-31 17:10:10.338298
,1,78,https://www.tripadvisor.com.sg/Profile/lee68g,580802787,17-05-2018,4,Things to do,This place is. Must before you do anything in Singapore. Joey was the lady who helped me and she gave me great advice on what and how to do while visiting.,05-2018,Family,2020-01-31 17:10:10.703739
,1,78,https://www.tripadvisor.com.sg/Profile/PushExplore,580021401,14-05-2018,5,Friendly Information Center,The Singapore Visitor Center is quite popular since its located at an iconic Orchard Road area. Here you will find a self service kiosk including friendly staff who will be able to guide you.,08-2017,Family,2020-01-31 17:10:11.105833
,1,78,https://www.tripadvisor.com.sg/Profile/DevanMoodly,578728086,08-05-2018,5,Excellent,"Excellent service from the visitor centre, providing us information in the form of pamphlets and advise...very friendly as well",01-2018,Family,2020-01-31 17:10:16.947067
,1,78,https://www.tripadvisor.com.sg/Profile/larztim2018,575054178,23-04-2018,4,Friendly and helpful,We wanted some advice on transport to Legoland Malaysia. Staff very helpful but reluctant to actually book the transport for us.,04-2018,Family,2020-01-31 17:10:17.338164
,1,78,https://www.tripadvisor.com.sg/Profile/_Skye-Harro,568819951,26-03-2018,5,Best information Centre ever!,"This was the first stop, day 1 of our holiday. As this was our first time in Singapore, we thought that this was a great place to start for hints and tips. This was a great idea, the staff are 110/100 and are very welcoming, I mean VERY welcoming!! They were very knowledgeable of the area and even helped us with transportation advice. The best part was their IT system where you can plan out your days and print them off, also with a map of where they are and a puplic transport map of bus's and trains. The IT system also included helpful video's. Their Centre had lots of brochures and 1 is very helpful. The price list of everything, including attractions, bus's, trains and much more!!
It would be very helpful to you, (and your family) if you go to Singapore Visitor Centre!!
The staff member who helped us was Lidy, she is the best! We recommend you get her to help you with your stay at Singapore.",03-2018,Family,2020-01-31 17:10:17.664355
,1,78,https://www.tripadvisor.com.sg/Profile/JD03041982,566004107,12-03-2018,4,helpful and relevant,Our family visited here at beginning of our visit. They were given a personalize itinerary including public transport information and times for each tour/event/venue we wanted to include. This was all put on a customized print out with map. Very helpful.,03-2018,Family,2020-01-31 17:10:18.041385
,1,78,https://www.tripadvisor.com.sg/Profile/RCoward,565795734,11-03-2018,5,Great place and great people to help your visit be memorable,"If you want an easy access, easy answer to how best to enjoy your time here in Singapore, there could be no better place to start! Just explain how long you are here for, what you like and dislike and they will show you where and how best to enjoy your time. It's a MUST GO place for short stay visitors. It's a MUST GO BACK place for people living here - things change and special offers are always coming up!",03-2018,Family,2020-01-31 17:10:18.408437
,1,78,https://www.tripadvisor.com.sg/Profile/JK888Travel,564986766,07-03-2018,4,Small but very informative and great service.,"As a tourist, walking shopping at Orchard road is definitely an great enjoyment, but if you are out of idea where to visit, then you should walk into this visitor centre, the staff will be able to answar any of your questions, and recommend you a great place to visit with brochure information. Helpful services with some interesting souvenirs.",05-2017,Family,2020-01-31 17:10:18.779873
,1,78,https://www.tripadvisor.com.sg/Profile/pom04,559554912,10-02-2018,3,Average welcome,"Made a point to visit here for information and leaflets . People in front of us were warmly welcomed while we who were genuinely wanting information were not greeted or asked if we needed help , sort of a lack of enthusiasm about the place . Nice gifts but very overpriced . Nothing to write home about",12-2017,Family,2020-01-31 17:10:19.152584
,1,78,https://www.tripadvisor.com.sg/Profile/lily0074,559150175,08-02-2018,5,Great overview of Singapore,"Free entry & air conditioning (need i say more) See a scaled down model of Singapore and never get lost here again. Don't miss the detailed drawing by Stephen Wiltshire, a British autistic artist who drew the masterpiece after a 1 hour helicopter ride over Singapore, just amazing. And be inspired by the system for dealing with rubbish in Singapore (genius!)",01-2018,Family,2020-01-31 17:10:19.534419
,1,78,https://www.tripadvisor.com.sg/Profile/AlfSabrina,558173254,04-02-2018,5,Best Thing We Ever Did,"We were in Singapore for 10 days and went straight here after we arrived, which was the best decision as they were very helpful and gave us many suggestions and brochures to plan our trip. The most important information they gave us was that Mastercard purchases at many attractions will give you a discount. Also, if you fly with Singapore Airlines, keep your boarding passes as they too will give you discounts on many attractions. We found that between the 2, we saved over a hundred dollars.",01-2018,Family,2020-01-31 17:10:19.910790
,1,78,https://www.tripadvisor.com.sg/Profile/Garry H,557444180,31-01-2018,5,Fantastic Service!,"On a recent trip to Singapore with my wife and grandson, we visited the SVC in Orchard Road several times. On our first visit we were so well looked after by Ghat Sheng that we asked for her personally on the second visit. Ghat was absolutely fantastic! She was extremely patient and friendly and very knowledgeable. Based on her suggestions and advice we had a great holiday AND saved ourselves quite a bit of money. Ghat and the other SVC staff are true ambassadors for their lovely country. We will definitely be returning in the future.",01-2018,Family,2020-01-31 17:10:20.288779
,1,78,https://www.tripadvisor.com.sg/Profile/viralkumar,556637490,27-01-2018,5,you must go and get information.,staff here very much helpfu and giving proper information.you will save lots of money and time visiting here and get details.,11-2017,Family,2020-01-31 17:10:26.122101
,1,78,https://www.tripadvisor.com.sg/Profile/Niri A,556580705,27-01-2018,5,Great place to start & have all your questions answered,The centre is based in an old non-descript building on Orchard Rd but once you find it the staff are very helpful & take their time answering all your questions & give you clear guidance. If you are in the area & a first time visitor to Singapore I would recommend a visit.,01-2018,Family,2020-01-31 17:10:26.516667
,1,78,https://www.tripadvisor.com.sg/Profile/lollylegs13,556447835,26-01-2018,5,Awesome Friendly Staff,Staff were very helpful and offered some valuable advice re transport options no waiting time straight in and out,01-2018,Family,2020-01-31 17:10:26.875623
,1,78,https://www.tripadvisor.com.sg/Profile/Suli and Toa L,556208522,25-01-2018,5,Peranakan Central,"The Visitor Centre staff were engaging, resourceful and attentive. Situated on Orchard Road in close proximity to the Peranakan Museum, the architecture alone is work photographing to give the visitor a taste of Singapore's colonial heritage.",01-2018,Family,2020-01-31 17:10:27.243600
,1,78,https://www.tripadvisor.com.sg/Profile/F4615IQmarka,555335381,22-01-2018,5,amazing as usual China Town,"Love the experience of the old China town on how Singapore was, (going back to mid 1070's) my Grandkids loved it also.",01-2018,Family,2020-01-31 17:10:27.627037
,1,78,https://www.tripadvisor.com.sg/Profile/vipi0017,554890794,20-01-2018,5,Orchard road,Its a pretty small building located in the Orchard road . Lots of free information available with pamphlets . The staff is really helpful and offers you great guidance . Cheers,08-2017,Family,2020-01-31 17:10:28.015414
,1,78,https://www.tripadvisor.com.sg/Profile/Jetblast25,553060915,11-01-2018,5,"Very helpful, great staff",I love going to this place. No one is trying to sell you anything. They are forthcoming with honest information and have great tips. Very nice people.,12-2017,Family,2020-01-31 17:10:28.397684
,1,78,https://www.tripadvisor.com.sg/Profile/Niraj987,552621586,09-01-2018,1,It was just opposite my Hotel on Orchard Road No Help on Discounts or Family Trips.,"They just sit there and sell the passes. Being a Visitor Centre they need to guide the tourist to best discounted packages. Just hopeless they sit there and sell the passes. My hotel staff was much better to share ways in getting discounted tickets to Jurong, Zoo, Flyer, Marina Bay, Sentosa and Universal altogether I could save close to 150 $$",12-2017,Family,2020-01-31 17:10:28.778309
