REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_ID,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME
,1,71,https://www.tripadvisor.com.sg/Profile/Taipei921,661286834,26-03-2019,4,Surreal Moments in A Busy City,"Rising from the ground like out of Gotham City, the building is built with an Art Deco old New York style era. Interesting gargoyles decorate the outer facade of the building, while the surrounding grounds below resembles Venice's San Marco's Square. One could easily forget that they are in the midst of a busy city when strolling through the open grounds below. It is not a retail mall though, but an office building. Not a usual tourist spot, but you could pass by it if you are walking towards DUO or Haji Lane. Worth taking a look if only to marvel at the building and the many interesting sculptures and statues dotting the ground. Nice place for architectural photography",01-2019,Family,2020-01-31 16:23:51.588808
,1,71,https://www.tripadvisor.com.sg/Profile/163emilya,607029663,16-08-2018,5,Amazing sculptures,The place is beautiful. So many amazing sculptures. Not far from bugis junction. Nice place to take photos.,08-2018,Family,2020-01-31 16:23:51.941408
,1,71,https://www.tripadvisor.com.sg/Profile/vipi0017,554884076,20-01-2018,4,Art deco,"You can easily miss this building crossing by , Its interesting & impressive art deco building .Do visit",08-2017,Family,2020-01-31 16:23:52.307542
,1,71,https://www.tripadvisor.com.sg/Profile/766elaineh,524762011,16-09-2017,5,My favorite building in Singapore,"The most striking part of the building is the ceiling in the lobby. Truth be told, I have only been in the lobby and outdoors. With uncanny skill, our 2 trips to Singapore have been while the museum has been closed. Still, Botero, Dali and several other sculptors grace the exterior and the design of the building is itself marvelous. The museum has changing exhibits of different sorts (sharks closed and an art theme would open soon) and - it's free. In addition to the bar and offices, the building has embassies for Austria, Mongolia and the United Arab Emirates.",09-2017,Family,2020-01-31 16:23:52.677758
,1,71,https://www.tripadvisor.com.sg/Profile/kimkaylee022,693683982,29-07-2019,5,Reminded me of Harry porter,"This amazing restaurant, coffee shop and a bar totally reminded of Harry Porter! Fantastic interior and great tea time. Very artistic and unique place perfect for picture taking.",07-2019,Couples,2020-01-31 16:24:15.731438
,1,71,https://www.tripadvisor.com.sg/Profile/pakabay,652206980,14-02-2019,4,"Stunning, Imposing Building","This is a building that you can’t help but notice. It’s imposing brown granite facade with its cathedral-like portico.

While a relatively new building (2002) it is like something taken straight out of Manhattan, a replica Art Deco masterpiece.

The open plaza features a number od sculptures.",02-2019,Couples,2020-01-31 16:24:16.108944
,1,71,https://www.tripadvisor.com.sg/Profile/Duncrieviedude,641802955,27-12-2018,4,A great place for a G&T,"We came across this by accident. Having seen the building from the outside, we decided to investigate and were very glad we do. Whilst it is a new building, it looks and feels very old. Externally that are a lot of modern schedules but internally it feels like you are back in the 1930s. We just sat and had a G&T and there are hundreds to chose from, each grouped by country. The place was very busy with many people enjoying afternoon tea which looked amazing. We tried to visit agin on Sunday but it was closed, so beware. You may not find this in many guides but definitely worth making the effort go",12-2018,Couples,2020-01-31 16:24:16.463983
,1,71,https://www.tripadvisor.com.sg/Profile/retep42,616118880,13-09-2018,4,Parkview Museum & Art Gallery,"We visited at midday, as suggested to view the “ Intriguing Uncertainties” Exhibition.
The exhibition space is on the third level by lift. Some very large paintings on view with a number of line, pencil and charcoal works by a number of world contemporary artists.
Entry is free and found it an interesting way to fill some time on our last day in Singapore. There is also a large and likely very expensive restaurant on the 2nd floor entrance point.",09-2018,Couples,2020-01-31 16:24:16.883636
,1,71,https://www.tripadvisor.com.sg/Profile/karenm642,613047695,02-09-2018,5,Amazing,"Can’t believe this building was built not that long ago. Beautiful lines, gardens and mind blowing statues. I wish it was open when I was going past",09-2018,Couples,2020-01-31 16:24:17.277926
,1,71,https://www.tripadvisor.com.sg/Profile/KTJ058,597459642,19-07-2018,4,Something Different!,We were told about this building and bar by friends who had recently returned from Singapore and they encouraged us to check it out. So glad we did! The building is impressive and yes it does look like something out of Gotham City. The interior is amazing. We were directed to a cosy table and ordered our very expensive drinks and were told that we only had until 5pm because a strict dress code was enforced after that...fair enough as we were in very casual sight seeing attire!!! Thoroughly enjoyed our drink which we sipped and we made them last for nearly an hour!! Glad we came as it was something very different for Singapore.,04-2018,Couples,2020-01-31 16:24:17.695612
,1,71,https://www.tripadvisor.com.sg/Profile/PipPaul W,578058506,05-05-2018,5,What a wonderful find,"We happened to walk past this building on the way to the subway on our first day in Singapore. We were impressed from the outside so wandered in to take a look.
It is a wonderful building with so much at deco detail to admire.
Imagine our surprise therefore when we found out that it was built between 1999 and 2003. Wonderful attention to detail",05-2018,Couples,2020-01-31 16:24:18.052692
,1,71,https://www.tripadvisor.com.sg/Profile/YSL88,551965961,06-01-2018,4,Impressive,Walked passed this building so many times. Finally I made an effort to pay a visit. I was impressed by the various art work display around the building compound. Felt like I have entered into a museum. They even have a nice European deco café inside the building.,12-2017,Couples,2020-01-31 16:24:18.435464
,1,71,https://www.tripadvisor.com.sg/Profile/Et3e,521319187,05-09-2017,3,"Fairy didn't fly on the night, though stairs were used, Gothamesque building it is in, would be very hard to miss","Interesting for a brief period, and some good people watching.
Just be aware, from early evening a[n inconsistent] dress code applies, and the service took a while to get going.
Apparently the place is under new management, outside numerous statues of poets and philosophers were replaced by a glowing shark fin, and so on.",09-2017,Couples,2020-01-31 16:24:18.833329
,1,71,https://www.tripadvisor.com.sg/Profile/583Colin,515666824,21-08-2017,5,The Taj Mahal of Singapore,"We didn't know about this place. We just noticed this very imposing building on the landscape so eventually walked to it. What a discovery! Every part of this building and its surrounds is a work of art.It took our breath away. Inside and outside.The fact that it is only 15 years old, and not from New York in the 1920's is staggering.I'm not going into detail. You just need to go and discover it for yourself.",07-2017,Couples,2020-01-31 16:24:19.209859
,1,71,https://www.tripadvisor.com.sg/Profile/Kathy V,507356741,31-07-2017,4,"Closed on Sunday, but impressive nonetheless","This is an astounding building that is not the tourist hotspot you'd think it should be. Incredible art deco style building and decorations, and the ground floor bar is breathtaking. It was closed the Sunday I went, but I'm assured it's worth a visit. Just to stand there and take in the atmosphere is incredible. Lots of photo ops",07-2017,Couples,2020-01-31 16:24:25.209978
,1,71,https://www.tripadvisor.com.sg/Profile/AdrianT-Perh,504632464,23-07-2017,4,"If this is Gotham City, Where’s Batman???","This is a very impressive Art Deco looking building both inside and out that we went to as part of a walking tour. Unfortunately they were doing some renovations inside at the time so you could get the full impact of the architecture.

Apparently it is also affectionately referred to as ”Gotham City”, so if you can’t find it just send out the Bat Signal.

Worth a look if you are in the Bugis and Kampong Glam areas.",11-2016,Couples,2020-01-31 16:24:25.616618
,1,71,https://www.tripadvisor.com.sg/Profile/439chesm,387611569,30-06-2016,4,aka Gotham City of Singapore,Parview Square aka Gotham City of Singapore is located near the City Hall MRT station. Amazing architecture! It's just wow! 🙀,06-2016,Couples,2020-01-31 16:24:25.965988
,1,71,https://www.tripadvisor.com.sg/Profile/togs73,351220218,27-02-2016,4,A hidden gem,"What a wonderful find! We went on a fabulous walking tour (Indie Singapore tours) and our fantastic guide Wei stopped to show us this Art Deco gem of a building. It's hard to believe that it was built in 2000! The lobby area is open to the public, but as the building houses three embassies, there is a security presence. The lobby area has the most fantastic bar with a 4 storey high wine cabinet. The only way to get the wine down is by way of a silver wine fairy (the waitress is dressed as a silver fairy and uses a pulley to get around the cabinet -one must see it to believe it!). Because it's off the beaten track this is a nice quieter place to have a drink, surrounded by beautiful decor!",02-2016,Couples,2020-01-31 16:24:26.310172
,1,71,https://www.tripadvisor.com.sg/Profile/Travelfan,347775355,15-02-2016,5,Where are all the architecture buffs?,"As already noted, this was not to be found in all my reading about Singapore, even though I was really interested in the fabulous and varied architecture. We got off the subway to go to Little India and saw this amazing building about a block away. It was a Saturday, and the area was totally deserted. If you have money and want to spend it ostentatiously and you love Art Deco, this is what you do. What an indulgence! From the exterior gates to the amazing forecourt, which I later read was fashioned after the Piazza San Marco in Venice, with bronze statues of famous historical figures and a golden crane that faces mainland China, the owner's homeland. There is not a nook or cranny that isn't decorated with precision style. Gargoyles, fountains, you name it. The office building appeared off-limits, but the guard let us in for a few moments to look at the lobby. Again, all you can do is gape in amazement at what went into this creation. We were too early to see the ""wine fairy"" (check out YouTube...) retrieve wine from the two story wine rack, but we could still admire the extraordinary effort put into decorating this building. In my later reading, it said that it is one of the most expensive office buildings in Singapore (and that's saying something), with several consulates, and office space with no pillars so tenants can design the space as they like. It was only just built in 2002, but what a tribute to the Art Deco style. If you are wandering around Singapore, take a look. It is well worth the short walk from the Metro.",01-2016,Couples,2020-01-31 16:24:26.671667
,1,71,https://www.tripadvisor.com.sg/Profile/jennvale1,718445356,15-10-2019,5,Don’t miss this ...,"Stumbled across this building on my way to Kampong Glam. I was completely drawn in. One of the most incredible buildings I have seen. It’s an office building which houses 5 embassies (well, that’s what I was told). Allow time to check this out. You won’t be disappointed.",10-2019,Solo,2020-01-31 16:24:49.931296
,1,71,https://www.tripadvisor.com.sg/Profile/wireless_in_CA,717847759,13-10-2019,4,Modern Art Deco,"Walking along Victoria St this imposing building stood out amongst its neighbors and drew me on a detour to visit. It was built only in 2002 but heavily influenced inside and out by the Art Deco period.

Inside the main courtyard were a number of unusual statues that ranged from massive in size to whimsical. Palm trees provided welcoming shade from the hot sun while lots of greenery and a waterfall made this a nice spot to relax.

Walking into the building, I came face to face with the over the top Divine Wine Bar with its gilded ceiling and walls, huge murals and the wine storage that rose all the way to the ceiling. I was told that the staff have to use special contraption just to reach these bottles. That would be a site to see on a future visit.",09-2019,Solo,2020-01-31 16:24:50.352989
,1,71,https://www.tripadvisor.com.sg/Profile/derind805,624582855,14-10-2018,5,Beautiful oasis,I was staying at a nearby hotel and took a stroll over to the square. What a pretty oasis - beautiful sculptures and a water feature. Great place to take photos and take a pause from a busy day.,10-2018,Solo,2020-01-31 16:24:50.730265
,1,71,https://www.tripadvisor.com.sg/Profile/Martin R,568204382,23-03-2018,5,An impressive building and pleasant square well worth exploring a little.,"I came across Parkview Square by pure chance as I took an afternoon walk down North Bridge Road. The stunning architecture caught my eye so I went and explored my chance find... The fun of world travel. This is one of the most expensive office buildings in Singapore and home to the Embassy of the UAE among others. It is also home to the amazing Atlas Bar and the Parkview Museum (See my other reviews). Despite its appearance it is actually a modern building completed in 2002 and designed by the US firm James Adams Design, it has just been done in a stunning and very authentic classic Art Deco style... Go inside and check it out it's amazing!!
The 'Square' is very pleasant with arty statues, greenery and places to rest a while and relax. When I walked back at night it was beautiful all illuminated. Certainly well worth a visit.",03-2018,Solo,2020-01-31 16:24:51.138969
,1,71,https://www.tripadvisor.com.sg/Profile/bnghanem,556677705,27-01-2018,3,Back again to Parkview Square,Back again to Parkview Square Its still good towers with offices and cafes beside it some new towers added to the tower some arst of designs,01-2018,Solo,2020-01-31 16:24:51.524827
,1,71,https://www.tripadvisor.com.sg/Profile/bcheong,547296506,15-12-2017,3,Over the top office building,"Came here as i read about parkview museum. If not for the museum, i doubt there's a reason for me to come

Not sure if i would call it art deco, but it may have aspired to be. The decor is over the top for an office building",12-2017,Solo,2020-01-31 16:24:51.927515
,1,71,https://www.tripadvisor.com.sg/Profile/Jiong How L,545869622,08-12-2017,5,"Art deco architecture, with amazing art gallery space",This building has captured my attention every single time I walk past it when I'm in the vicinity. The architecture is amazing and stands out in the bugis district because of how grandiose it looks. I chanced upon an opportunity to go inside the building when a certain level was converted to an art gallery space and was amazed by the collection they possess. On the first floor is an amazing gin bar worth checking out. Don't miss out on this place if you are visiting the bugis and Arab quarter,05-2017,Solo,2020-01-31 16:24:52.300909
,1,71,https://www.tripadvisor.com.sg/Profile/JeanneM1262,461619894,21-02-2017,5,Amazing architectural find!,This is a beautiful building to stumble by on my way to Arab Street in Singapore. It is pristine! Be sure to walk into the courtyard and then into the lobby! Beautiful statues are through out! It is a treasure hidden amongst older lesser maintained buildings ! Wonderful,02-2017,Solo,2020-01-31 16:24:52.686671
,1,71,https://www.tripadvisor.com.sg/Profile/mobit2,442748727,08-12-2016,5,update as of 08 nov 16,"the building is doing upgrades...so some status are removed , the restaurent is also under going renovation.",12-2016,Solo,2020-01-31 16:24:53.027343
,1,71,https://www.tripadvisor.com.sg/Profile/Prizzle,431120117,24-10-2016,5,Art Deco extraordinaire,"My best discovery in Singapore for sure was completely blown away by what the locals call the batman building. The most expensive office building in Singapore this place will totally blow you away from the amazing bronze statues outside (Churchill, Plato, Socrates, Shakespeare, Picasso, Raffles himself and many many more) this building is just incredible. Then you go inside and my jaw hit the floor as you're thrown into the Gatsby-esque grandeur it's just stunning. Alas no wine fairy as it was morning but the bars at each end of the room are stunning with its high wine racks baby grand piano and the sumptuous decor. Visiting as early as I did also meant I had the place to myself which actually was kinda nice!",07-2016,Solo,2020-01-31 16:24:53.398234
,1,71,https://www.tripadvisor.com.sg/Profile/hassy902,600319906,28-07-2018,5,Don't miss bar/cafe at the first floor!! So fabulous!,"I visited the building for a meeting with customer. The customer invited me to a cafe/bar ""Atlas Bar"" at the first floor (or Ground floor?). It was so fabulous and gorgeous. In Japan, we can not see cafe like the one. Though prices in drinks at the bar are little expensive compared with others, the bar is worth visiting. The atmosphere made me feel relax and that I am so sophisticated person. I heard a rumor that long time ago at the bar, girls with very attractive wearing took wine bottle from wine shelf when customer order a bottle of wine. But I am not sure it is true or not.

先日、シンガポールの顧客を訪問した際に、こちらで商談しました。とにかく、内装が豪華！喫茶店とかバーとかいうレベルでなく、目を奪われました。一度は訪問してみたいところですね。",07-2018,Business,2020-01-31 16:25:22.194356
,1,71,https://www.tripadvisor.com.sg/Profile/finesilver,528614795,01-10-2017,4,"Interesting art deco building, worth a visit if nearby","This is a fairly new building and square, near Raffles hotel. It is quite unique as it is art deco in design including bronze and glass. It is referred to by locals as the ""Gotham Building."" Mostly because it looks like something out of a Gotham/Batman movie.

I enjoyed the exterior and the cool bar inside. Lots of photo ops and not very many tourists. Worth a visit while nearby, quite unique.",09-2017,Business,2020-01-31 16:25:22.574381
,1,71,https://www.tripadvisor.com.sg/Profile/N8699PYpeterw,493262035,15-06-2017,4,1930s Art Deco stylish building and grounds,Has a great garden surrounding it. Looks like a building from Gotham City Parking underneath and offices upstairs. The ground floor bar is large and excellent,06-2017,Business,2020-01-31 16:25:22.924349
,1,71,https://www.tripadvisor.com.sg/Profile/thoughtfulpebble,488314790,28-05-2017,4,Generic office block but very cool Art Deco exterior and interior,"This place is quite incongruous - it's just an office block but the ground floor is fairly OTT Art Deco, massive statues and all. There's a cafe in the middle but I wouldn't say it's worth a visit unless you are an architecture buff, in which case it's a must see.",04-2017,Business,2020-01-31 16:25:23.302671
,1,71,https://www.tripadvisor.com.sg/Profile/7SE3,361671860,05-04-2016,4,Good,This is one of the pretty building here.A place to spend a few minutes.You can see when you go past if you have time stop and have look.,04-2016,Business,2020-01-31 16:25:23.660286
,1,71,https://www.tripadvisor.com.sg/Profile/iammanishg,689690833,15-07-2019,5,Singapore’s very own Gotham feels,"The Parkview Square building is the iconic, imposing, art deco building and reportedly one of the most expensive office buildings in Singapore. It is often affectionately referred to as Gotham Square because it bears a striking resemblance to Gotham City.
In the lobby you will find the Divine Bar ATLAS, one of the best and elegant bars in Singapore. The decor is simply stunning and will export you to 19th century feels.",07-2019,Friends,2020-01-31 16:25:46.843013
,1,71,https://www.tripadvisor.com.sg/Profile/Frank M,683087252,21-06-2019,4,Wow,"Stumbled across this building like going back to the 1920. Was looking for the museum but was closed. Just pop in you can get drinks at the restaurant on ground floor,unbelievable see pictures.",06-2019,Friends,2020-01-31 16:25:47.220825
,1,71,https://www.tripadvisor.com.sg/Profile/chikiwisg,611267073,28-08-2018,5,Kampong Glam walkabout,"Parkview Square is architecturally fascinating and a haven for people who appreciate sculptures. The sculptures are an eclectic mix including some from Salvador Dali, which feature in other parts of Singapore.

Getting there: MRT to Bugis or from Orchard bus #7. It’s opposite the large Raffles Hospital and next to the honey comb looking buildings. It’s hot with most sculptures in full sun (depending on the time of day), so 10-20 minutes will do it.

Tie a visit in to Parkview Square with a Kampong Glam walk: Sultan Mosque, Haji Lane, Arab Street, and Zam Zam for murtabak.",05-2018,Friends,2020-01-31 16:25:47.589369
,1,71,https://www.tripadvisor.com.sg/Profile/nemo_aussie,575639823,25-04-2018,5,Unique statues and interesting museum,"Parkview Square is not tourist's hot spot. Yet thanks to my church brother from Singapore for bringing me there - a free place to show different aspects of Singapore.

I am impressed by the statues around the square. There are quite a number of interesting and funny statues there. The golden bird is beautiful and meaningful. The fat woman statue is amusing. Although I didn’t go inside the Altas bar in Parkview, I had already been fascinated by its antique atmosphere.

There is a small museum on the third floor of Parkview. It is more like a gallery yet it is worthwhile for visiting. The paintings and artworks there are creative. I especially like the Aldo Mondino painting which really can bring out the Turkish dancing motion and act like the music is on.

The Chinese calligraphy scrolls in the museum are pretty nice as well.",04-2018,Friends,2020-01-31 16:25:48.005661
,1,71,https://www.tripadvisor.com.sg/Profile/Abear88,563920503,03-03-2018,5,A great square,On a morning walk happened upon this square and building Artdeco in style loads of great sculptures around and the building is amazing. There is a gallery in the building which was closed for change of exhibition the day we were there. There is an amazingly cool bar on the ground floor called Atlas which is a must visit,03-2018,Friends,2020-01-31 16:25:48.364317
,1,71,https://www.tripadvisor.com.sg/Profile/588phis,541985929,19-11-2017,4,Impressive place,"The buildings here are very grand and fascinating. The interior design is like the 1930's art decor style. There are many interesting sculptures and statues around. It is a rather unique place to visit in Singapore, especially if there you are into architecture.",11-2017,Friends,2020-01-31 16:25:48.755753
,1,71,https://www.tripadvisor.com.sg/Profile/sudheeraroshan,532633427,13-10-2017,5,ICONIC PARK VIEW SQUARE,This architectural marvel one of the most outstanding and iconic building stands among the Singapore skyscrapers. Unique and post modern architecture added an extraordinary value to one busy commercial building in the downtown Singapore. Love this view each and every time.,10-2017,Friends,2020-01-31 16:25:49.126306
,1,71,https://www.tripadvisor.com.sg/Profile/KGB777,503872629,20-07-2017,4,New statues,"Walked through this building today for the first time in a while and noticed that the statues seem to have changed. No more famous philosophers. The building continues to impress, and the lobby and lobby bar are as appealing as ever. Worth a look.",07-2017,Friends,2020-01-31 16:25:49.519485
,1,71,https://www.tripadvisor.com.sg/Profile/annie2mac,490783933,06-06-2017,5,Park View Square - beautiful Art Deco building,"We fell upon this by accident -what a treasure! We were unaware of the 'sharks and humanity' exhibition and after admiring the exterior statues and crane the mesh shark fin didn't give us any idea of what was in store for us on the upper floor.
The ground floor is truly a blast from the past, but being late morning we didn't see the wine fairy. The staff didn't mind us wandering around admiring and photographing the interior. A visit to the ladies cloakroom was a revelation - heated loo seats!!
The exhibition was in several rooms,each shark [probably 1/4 size?] was depicted in different materials: metals, acrylics and like a helium balloons looking as if swimming, either suspended on steel ropes or supported on a couple of poles.
Fortunate that this special exhibition coincided with our tine in Singapore. Park View Square is definitely somewhere I would visit again when next in Singapore,",03-2017,Friends,2020-01-31 16:25:49.883036
,1,71,https://www.tripadvisor.com.sg/Profile/Susannestokoe,490023722,03-06-2017,4,Art Deco!,Beautiful and unusual place to visit for a drink or two! You will definitely need your camera as you will be taking photos inside and out (day time). The wine fairy is great to see too! One American lady took photos in the ladies powder room!,10-2016,Friends,2020-01-31 16:25:50.236584
