REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_ID,REVIEW_DATE,REVIEW_RATING,REVIEW_TITLE,REVIEW_BODY,DATE_OF_EXPERIENCE,TRIP_TYPE,REVIEW_CRAWLED_TIME
,1,79,https://www.tripadvisor.com.sg/Profile/588phis,741866029,29-01-2020,4,Wide variety of shops,"Plaza Singapura has a wide variety of shops catering to the middle class. They do not have the signature branded shops as compared to the other malls along Orchard Road.

It is also connected to the Dhoby Ghuat MRT station, which is a major interchange, thus resulting in many customers.",01-2020,Family,2020-01-31 17:19:08.532163
,1,79,https://www.tripadvisor.com.sg/Profile/alhasan1909,699817001,17-08-2019,5,One of the Bigger Malls in Singapore,Massive Mall great location is connected to Dhoby Ghaut MRT. Loads of restaurants and fast food chains great food court this mall gets a lot of foot traffic gets really busy during the peak hours. There is a cinema and an arcade here all in all fun place to go with kids.,03-2019,Family,2020-01-31 17:19:08.947917
,1,79,https://www.tripadvisor.com.sg/Profile/Anaqe20,677973256,01-06-2019,4,Lots of Restaurant and Cafe,"The Plaza Singapura is 5 floor mall nicely connected with Dhoby Ghaut mrt interchange. 50% of the mall are restaurant and cafe, a lot that we familiar with. So if you a foodie, this is the place for you.",06-2019,Family,2020-01-31 17:19:09.326536
,1,79,https://www.tripadvisor.com.sg/Profile/Timothy Cameron B,669071439,25-04-2019,5,Great shopping Centre,"Has everything you need, from M&S through to grocery's and every fashion outlet and direct access to the Dhoby Ghaut MRT",04-2019,Family,2020-01-31 17:19:09.700251
,1,79,https://www.tripadvisor.com.sg/Profile/752meredithchong,666541311,15-04-2019,3,"Among the worst Car Parks, Good shops and restaurants","The restaurant and shops are really good, I always enjoy my time at Plaza Singapura, but when I go there it takes a lot of time for me to get a car park space and it is very narrow to go in. I would have scratch my car if I lost just a bit of focus.",04-2019,Family,2020-01-31 17:19:10.056283
,1,79,https://www.tripadvisor.com.sg/Profile/588phis,650681161,07-02-2019,3,Lacks variety,"We came here for shopping and there are many clothing shops here. The variety of shops are rather limited and lacks signature brands here as compared to the other malls on Orchard Road.

It is easy to get here as it is in front of Dhoby Ghuat MRT station.

The new extension Atrium Center also has quite a lot of shops and dining outlets.",02-2019,Family,2020-01-31 17:19:10.450324
,1,79,https://www.tripadvisor.com.sg/Profile/Fahad A,648646252,28-01-2019,5,Best Location : Kids friendly : Entertainment,"Pros:

1) near to orchid road , best location

2) there is a time zone , (arcade games arena ) , which is little rare in most of singapore malls ,

3) Cinemas are great

4) good for mid-range shopping also , lots of sales when i visited in DEC m,

Cons :

Not really, i didn't find any",12-2018,Family,2020-01-31 17:19:10.810639
,1,79,https://www.tripadvisor.com.sg/Profile/Ade212,634967054,22-11-2018,4,Less extravagant mall in Singapore,"I like this mall because it feels very humble. You can shop your daily needs here. They have almost everything you need. Quick cheap food court class lunch, check. Need a quick 10 dollar haircut, check. Looking for 2 dollar shop, check. Watch movie, check. Go to your bank, check. Lego store, check. Fix your phone, check. Check.",11-2018,Family,2020-01-31 17:19:11.198977
,1,79,https://www.tripadvisor.com.sg/Profile/Larry007_007,607858385,19-08-2018,4,Great Mall,"Although Singapore has a LOT of Malls, this is a good one to go to. Very convenient next to Dhoby Ghaut station. We use this a lot when in Singapore.
The layout can be a bit confusing. There is a nice food court on the fourth level, but a bit confusing to get to. There is a whole other section that you can get to via the upper floors.
Nice eateries and shopping. The whole family loved it",08-2018,Family,2020-01-31 17:19:11.596668
,1,79,https://www.tripadvisor.com.sg/Profile/588phis,596043562,14-07-2018,4,Popular and busy,"This mall has been around for many years but it has undergone renovations during the recent years. There are lots of different kinds of shops and food outlets here. The cinema on the top floor is huge too.

It is still very popular and busy after all these years.",06-2018,Family,2020-01-31 17:19:11.989725
