POI_INDEX,ENG_NAME,TOTAL_REVIEWS,RANKING,RATINGS,ADDRESS,OPENING_HOURS,ATTRIBUTES_CRAWLED_TIME
0,not available,16692,0,4.8,"8 Sentosa Gateway, Sentosa Island Singapore",全年  10:00-19:00；其他特殊日期开放时间如下： 1、开放时间为10:00-20:00的日期有3月15-20日、3月22日、4月4/25日；2、开放时间为10:00-21:00的日期有3月14/28日、4月10/11/18日；3、开放时间为10:00-17:00的日期有2月10-29日、3月1-12日；4、另外：如闭园时间在20点和21点的会分别有以下两项活动：（20点）好莱坞璀璨夜间巡游，（21点）印象好莱坞；5、以上开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准。,2020-02-11 17:39:54.273942
1,not available,6537,1,4.8,"18 Marina Gardens Dr, Singapore 018953",全年  09:00-21:00；云雾林+花穹+ocbc空中走道：9:00-21:00（最晚入园时间20:00）；室外花园开放时间：5:00am-2:00pm；远东儿童乐园：周二-周五10:00-19:00；周末及假期：9:00-21:00；。,2020-02-11 17:40:11.375010
2,not available,4001,2,4.7,Sentosa Island,以景区当天安排为准。,2020-02-11 17:40:27.897948
3,OrchardRoad,2112,3,4.5,"OrchardRd,Singapore",全天开放,2020-02-11 17:40:45.482863
4,not available,2471,4,4.6,"3E River Valley Rd, Singapore 179024",09:00 — 22:00。,2020-02-11 17:41:02.733034
5,not available,6185,5,4.7,80 Mandai Lake Road Singapore 729826,全年  08:30-18:00；8:30-18:00（周一-周日）（最晚入园时间17：30）。,2020-02-11 17:41:18.596863
6,LittleIndia,1357,6,4.3,"48SerangoonRoad,#02-16,LittleIndiaArcadeSingapore217959",全天开放,2020-02-11 17:41:35.446205
7,ChinatownSingapore,1207,7,4.3,",Chinatown,PagodaStreet,TrengganuStreet,SagoStreet,SmithStSingapore050005",全天开放,2020-02-11 17:41:47.943406
8,SingaporeFlyer,3651,8,4.7,30RafflesAvenueSingapore039803,每天上午 8:30 至晚上 10:30 （售票处开放至晚上 10:00）。,2020-02-11 17:42:07.457112
9,not available,6338,9,4.7,"8 Sentosa Gateway, Sentosa Island",全年  10:00-19:00；1、其中SEA海洋馆特殊日期开放时间为10:00-17:00的日期2月10-29日、3月1-12日；2、海事博物馆特殊开放时间为10:00-18:00的日期：2月10日-3月1日；3、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准。,2020-02-11 17:42:23.563276
10,MerlionPark,1722,10,4.5,浮尔顿一号（浮尔顿酒店正前方）,全年  全天开放。,2020-02-11 17:42:36.933168
11,not available,3452,11,4.4,"80 Mandai Lake Rd, Singapore",全年  19:15-23:55；19:15-24:00（周一-周日）（最晚入园时间23:15）。,2020-02-11 17:43:21.355498
12,not available,555,12,4.6,10 Bayfront Avenue，Singapore 018956,全天开放,2020-02-11 17:43:31.299469
13,not available,708,13,4.6,"1 Cluny Rd, Singapore 259569",新加坡植物园5:00-24:00。国家胡姬花园8:30-19:00，最后进入时间为18:00。。,2020-02-11 17:43:40.889232
14,not available,579,14,4.7,"8 Sentosa Gateway, Sentosa Island, Singapore 098269",全天开放（餐厅营业时间各不相同，请参考具体产品的营业时间）,2020-02-11 17:43:51.383280
15,EsplanadeTheatresontheBay,429,15,4.4,"1EsplanadeDrive,Singapore038981",周一-周五10:00-20:00，周六11:00-20:00，周日关闭。,2020-02-11 17:44:02.494779
16,not available,3286,16,4.8,"Imbiah Lookout 51 Cable Car Road | 45 Siloso Beach Walk, Sentosa Island 099003",全年  10:00-21:30；最晚入园时间21:15。,2020-02-11 17:44:19.228727
17,not available,853,17,4.6,"93 Stanford Road, Singapore",10:00 AM - 19:00 PM。,2020-02-11 17:44:28.705189
18,MarinaBay,418,18,4.7,10BayfrontAvenueSingapore018956,全天开放 新加坡滨海湾Prudential嘉年华开放时间：至2018年4月1日，16:00至23:00（最后入场时间22:00）,2020-02-11 17:44:46.225028
19,not available,462,19,4.6,"Singapore River, Singapore",City Tours鸭子船：9:30-17:30。DUCKtours鸭子船：10：00至傍晚18：00。克拉码头：09:00 — 22:00。。,2020-02-11 17:45:02.884524
20,StAndrewsCathedral,462,20,4.4,11StAndrew'sRoad，Singapore178959,周一、周二、周四、周五、周六：9:00-17:00;周三：9:45-17:00;周日：9:00-13:30,2020-02-11 17:45:17.021227
21,not available,762,21,4.5,10 Bayfront Avenue，Singapore,周一-周四：9:30—22:00；	 周五-周日：9:30—23:00。,2020-02-11 17:45:39.581554
22,not available,593,22,4.6,1 St. Andrew’s Road Singapore 178957,10:00-19:00（周一至周四，周六周日）； 10:00-21:00（周五）。,2020-02-11 17:46:01.509141
23,not available,1232,23,4.7,80 Mandai Lake Road Singapore 729826,全年  10:00-19:00；10:00-19:00（周一-周日）最晚入园时间18点30分。,2020-02-11 17:46:46.663927
24,MarinaBaySandsHotelInfinityPool,649,24,4.8,"10BayfrontAve,Singapore018956",6:00-23:00，无边泳池（包括南花园和南花园）可能会因私人​​活动而关闭。,2020-02-11 17:46:58.451502
25,not available,2622,25,4.7,"10 Beach View, Sentosa Island 099538, Singapore",全年  13:00-20:40；13:00-20:40为可换票时间，一天有两个表演场次，分别是19:40和20:40。,2020-02-11 17:47:12.560626
26,not available,2075,26,4.8,"8 Sentosa Gateway, Resorts World Sentosa, Singapore 098269",全年  10:00-18:00；1、开放时间为10:00-17:00的日期：2月10日-3月1日；2、此开放时间仅供参考，景区可能临时变更开放时间，具体开放时间请以景区当天安排为准；3、探险水迷宫将从2020年2月7日停止运营，直至另行通知。,2020-02-11 17:47:26.435646
27,PalawanBeach,406,27,4.5,"85APalawanBeachWalkSentosa-SwimmingLagoonRest|SouthernmostPoint,SentosaIsland098521,Singapore",全天开放,2020-02-11 17:47:38.459393
28,HajiLane,376,28,4.4,"HajiLn,Singapore",全天开放,2020-02-11 17:47:49.694374
29,MasjidSultan,274,29,4.4,"3MuscatStreet,Singapore198833",周一-周四、周六、周日10:00-12:00、14:00-16:00，周五14:30-16:00。,2020-02-11 17:48:01.736500
30,not available,896,30,4.7,2 Jurong Hill Singapore 628925,8:30-18:00（周一-周日）（最晚入园时间是17:30）。,2020-02-11 17:48:16.405734
31,Chijmes,210,31,4.5,"30VictoriaStreet,Singapore187996",全天开放,2020-02-11 17:48:33.246326
32,SilosoBeach,302,32,4.4,"SilosoBeachWalk,Singapore",全天开放,2020-02-11 17:48:50.967012
33,HelixBridge,365,33,4.5,"LinkingbetweenMarinaBayandMarinaCentre,Singapore038981,Singapore",全天开放，无需门票。,2020-02-11 17:49:03.301077
34,SriMariammanTemple,397,34,4.3,"244SouthBridgeRd,Singapore058793","7:00-11:30,18:00-20:45",2020-02-11 17:49:17.391879
35,not available,631,35,4.6,"6 Bayfront Ave,Singapore 018956",10:00-19:00（最后入场时间为18:00）。,2020-02-11 17:49:33.700035
36,not available,975,36,4.8,"1 Harbourfront Ave, tower 2 Keppel Bay Tower , Singapore",全年  09:00-22:00；缆车最后登车时间为21:30。,2020-02-11 17:49:50.184614
37,KampongGlam,254,37,4.4,"385BeachRoad,Singapore199581",全天开放,2020-02-11 17:50:02.629655
38,EastCoastPark,284,38,4.5,AlongEastCoastParkwayandEastCoastParkServiceRoadSingapore449876,全天开放,2020-02-11 17:50:18.276271
39,not available,297,39,4.4,"109 Mount Faber Road, Faber Peak , Singapore 099203",8:45-22:00(周一-周日）（最后登车时间为21:30）,2020-02-11 17:51:23.924324
40,OldHillStreetPoliceStation,197,40,4.5,"140HillSt,Singapore179369",全天开放,2020-02-11 17:51:36.711252
41,BuddhaToothRelicTemple,287,41,4.5,"288,SouthBridgeRoad，Singapore058840",7:00-19:00（2020年1月24日山门将在11:00关闭，23:30开启）；博物馆和佛塔室9:00-18:00。,2020-02-11 17:51:48.400026
42,NationalUniversityofSingapore,140,42,4.6,21LowerKentRidgeRoad，Singapore119077,全天开放,2020-02-11 17:52:00.697629
43,GeylangSerai,173,43,4.3,1GeylangSerai,8:00-22:00,2020-02-11 17:52:12.876071
44,not available,400,44,4.6,1 Cluny Road Singapore 259569,10:00-19:00（周一-周日）（最晚入场时间18:00）,2020-02-11 17:52:27.739333
45,SingaporeArtMuseum,209,45,4.4,"8QueenStreet,Singapore188535.",暂停营业,2020-02-11 17:53:17.754363
46,not available,402,46,4.6,"8 Sentosa Gateway, Resorts World Sentosa",全年  10:00-18:00。,2020-02-11 17:53:36.830633
47,NanyangTechnologicalUniversity,190,47,4.7,"50NanyangAvenue,Singapore639798",全天开放,2020-02-11 17:53:54.531087
