POI_INDEX,ASPECTS,ASPECTS_CRAWLED_TIME
251,bus tour,2020-02-15 09:24:48.457057
251,interactive games,2020-02-15 09:24:48.506659
251,great fun,2020-02-15 09:24:48.556231
251,few hours,2020-02-15 09:24:48.605972
251,movie,2020-02-15 09:24:48.657599
251,army,2020-02-15 09:24:48.706067
251,knowledge,2020-02-15 09:24:48.758085
251,theatre,2020-02-15 09:24:48.814222
252,naval history,2020-02-15 09:25:02.364568
252,naval base,2020-02-15 09:25:02.397209
252,vessel,2020-02-15 09:25:02.426847
252,technology,2020-02-15 09:25:02.459704
252,changi,2020-02-15 09:25:02.488589
252,exhibits,2020-02-15 09:25:02.519492
253,buddha tooth relic temple,2020-02-15 09:25:15.776514
253,sago,2020-02-15 09:25:15.792200
253,souvenir shopping,2020-02-15 09:25:15.807799
253,adjoining streets,2020-02-15 09:25:15.823369
253,for sale,2020-02-15 09:25:15.840136
253,food outlets,2020-02-15 09:25:15.855745
253,chinese new year,2020-02-15 09:25:15.871193
253,factories,2020-02-15 09:25:15.886477
253,chinatown,2020-02-15 09:25:15.900964
253,death,2020-02-15 09:25:15.915683
253,stalls,2020-02-15 09:25:15.931348
253,immigration,2020-02-15 09:25:15.946881
253,pushcart,2020-02-15 09:25:15.962652
253,architecture,2020-02-15 09:25:15.978813
254,shopping centre,2020-02-15 09:25:29.572090
254,stalls,2020-02-15 09:25:29.587397
254,bargains,2020-02-15 09:25:29.602274
255,historical figures,2020-02-15 09:25:42.644358
255,asian civilisation museum,2020-02-15 09:25:42.660591
255,commemorates,2020-02-15 09:25:42.676994
255,monument,2020-02-15 09:25:42.695192
255,unveiled,2020-02-15 09:25:42.712808
255,civic,2020-02-15 09:25:42.729402
256,large statue,2020-02-15 09:25:55.832942
256,main statue,2020-02-15 09:25:55.848913
256,monk,2020-02-15 09:25:55.864690
256,birth,2020-02-15 09:25:55.880028
256,founded,2020-02-15 09:25:55.895263
256,buddhist,2020-02-15 09:25:55.911331
256,journey,2020-02-15 09:25:55.927721
256,photos,2020-02-15 09:25:55.943690
257,co founder,2020-02-15 09:26:09.521208
257,small display,2020-02-15 09:26:09.553612
257,for sale,2020-02-15 09:26:09.590501
