POI,link,num_reviews
Gardens by the Bay,/Attraction_Review-g294265-d2149128-Reviews-Gardens_by_the_Bay-Singapore.html,"
58,674 reviews
"
Singapore Botanic Gardens,/Attraction_Review-g294265-d310900-Reviews-Singapore_Botanic_Gardens-Singapore.html,"
19,499 reviews
"
Singapore Zoo,/Attraction_Review-g294265-d324542-Reviews-Singapore_Zoo-Singapore.html,"
22,129 reviews
"
National Orchid Garden,/Attraction_Review-g294265-d317453-Reviews-National_Orchid_Garden-Singapore.html,"
13,643 reviews
"
Cloud Forest,/Attraction_Review-g294265-d4400781-Reviews-Cloud_Forest-Singapore.html,"
14,692 reviews
"
Marina Bay Sands Skypark,/Attraction_Review-g294265-d1837767-Reviews-Marina_Bay_Sands_Skypark-Singapore.html,"
16,733 reviews
"
Singapore Flyer,/Attraction_Review-g294265-d678639-Reviews-Singapore_Flyer-Singapore.html,"
17,288 reviews
"
Singapore Mass Rapid Transit (SMRT),/Attraction_Review-g294265-d8016698-Reviews-Singapore_Mass_Rapid_Transit_SMRT-Singapore.html,"
23,676 reviews
"
Jurong Bird Park,/Attraction_Review-g294265-d315466-Reviews-Jurong_Bird_Park-Singapore.html,"
5,152 reviews
"
Supertree Grove,/Attraction_Review-g294265-d8634325-Reviews-Supertree_Grove-Singapore.html,"
5,813 reviews
"
Singapore Cable Car,/Attraction_Review-g294265-d315470-Reviews-Singapore_Cable_Car-Singapore.html,"
4,131 reviews
"
National Museum of Singapore,/Attraction_Review-g294265-d324550-Reviews-National_Museum_of_Singapore-Singapore.html,"
2,773 reviews
"
Jewel Changi Airport,/Attraction_Review-g294265-d17237163-Reviews-Jewel_Changi_Airport-Singapore.html,"
981 reviews
"
Chinatown,/Attraction_Review-g294265-d317415-Reviews-Chinatown-Singapore.html,"
14,202 reviews
"
Flower Dome,/Attraction_Review-g294265-d4400784-Reviews-Flower_Dome-Singapore.html,"
6,395 reviews
"
Marina Bay,/Attraction_Review-g294265-d1177497-Reviews-Marina_Bay-Singapore.html,"
12,784 reviews
"
MacRitchie Nature Trail,/Attraction_Review-g294265-d386880-Reviews-MacRitchie_Nature_Trail-Singapore.html,"
1,809 reviews
"
Buddha Tooth Relic Temple and Museum,/Attraction_Review-g294265-d1438273-Reviews-Buddha_Tooth_Relic_Temple_and_Museum-Singapore.html,"
6,376 reviews
"
Orchard Road,/Attraction_Review-g294265-d317454-Reviews-Orchard_Road-Singapore.html,"
13,369 reviews
"
Merlion Park,/Attraction_Review-g294265-d644919-Reviews-Merlion_Park-Singapore.html,"
9,462 reviews
"
Clarke Quay,/Attraction_Review-g294265-d324756-Reviews-Clarke_Quay-Singapore.html,"
3,337 reviews
"
Haji Lane,/Attraction_Review-g294265-d3512383-Reviews-Haji_Lane-Singapore.html,"
1,010 reviews
"
River Safari,/Attraction_Review-g294265-d4089881-Reviews-River_Safari-Singapore.html,"
2,961 reviews
"
Battlebox,/Attraction_Review-g294265-d9859121-Reviews-Battlebox-Singapore.html,"
2,313 reviews
"
National Gallery Singapore,/Attraction_Review-g294265-d8077179-Reviews-National_Gallery_Singapore-Singapore.html,"
1,244 reviews
"
OCBC Skyway,/Attraction_Review-g294265-d10229455-Reviews-OCBC_Skyway-Singapore.html,"
518 reviews
"
Asian Civilisations Museum,/Attraction_Review-g294265-d310896-Reviews-Asian_Civilisations_Museum-Singapore.html,"
2,170 reviews
"
The Southern Ridges,/Attraction_Review-g294265-d1523862-Reviews-The_Southern_Ridges-Singapore.html,"
1,149 reviews
"
Maxwell Food Centre,/Attraction_Review-g294265-d13078277-Reviews-Maxwell_Food_Centre-Singapore.html,"
3,243 reviews
"
East Coast Park,/Attraction_Review-g294265-d317426-Reviews-East_Coast_Park-Singapore.html,"
1,183 reviews
"
The Helix Bridge,/Attraction_Review-g294265-d2138898-Reviews-The_Helix_Bridge-Singapore.html,"
2,862 reviews
"
Chinese and Japanese Gardens,/Attraction_Review-g294265-d379346-Reviews-Chinese_and_Japanese_Gardens-Singapore.html,"
745 reviews
"
Waterfront Promenade,/Attraction_Review-g294265-d1888876-Reviews-Waterfront_Promenade-Singapore.html,"
4,346 reviews
"
F1 - Singapore Grand Prix,/Attraction_Review-g294265-d8820216-Reviews-F1_Singapore_Grand_Prix-Singapore.html,"
594 reviews
"
The Shoppes at Marina Bay Sands,/Attraction_Review-g294265-d2138910-Reviews-The_Shoppes_at_Marina_Bay_Sands-Singapore.html,"
2,174 reviews
"
Fort Canning Park,/Attraction_Review-g294265-d324755-Reviews-Fort_Canning_Park-Singapore.html,"
1,035 reviews
"
MacRitchie Reservoir,/Attraction_Review-g294265-d1527627-Reviews-MacRitchie_Reservoir-Singapore.html,"
841 reviews
"
Arab Street,/Attraction_Review-g294265-d324757-Reviews-Arab_Street-Singapore.html,"
2,274 reviews
"
Haw Par Villa,/Attraction_Review-g294265-d324758-Reviews-Haw_Par_Villa-Singapore.html,"
864 reviews
"
Sungei Buloh Wetland Reserve,/Attraction_Review-g294265-d315468-Reviews-Sungei_Buloh_Wetland_Reserve-Singapore.html,"
514 reviews
"
Chijmes,/Attraction_Review-g294265-d338376-Reviews-Chijmes-Singapore.html,"
734 reviews
"
Chinatown Heritage Centre,/Attraction_Review-g294265-d324540-Reviews-Chinatown_Heritage_Centre-Singapore.html,"
1,078 reviews
"
Wild Wild Wet,/Attraction_Review-g294265-d641343-Reviews-Wild_Wild_Wet-Singapore.html,"
406 reviews
"
Henderson Waves,/Attraction_Review-g294265-d3561693-Reviews-Henderson_Waves-Singapore.html,"
616 reviews
"
VivoCity,/Attraction_Review-g294265-d634131-Reviews-VivoCity-Singapore.html,"
1,417 reviews
"
Suntec City,/Attraction_Review-g294265-d317398-Reviews-Suntec_City-Singapore.html,"
631 reviews
"
Science Centre Singapore,/Attraction_Review-g294265-d446423-Reviews-Science_Centre_Singapore-Singapore.html,"
761 reviews
"
Kampong Glam,/Attraction_Review-g294265-d317436-Reviews-Kampong_Glam-Singapore.html,"
466 reviews
"
Sultan Mosque,/Attraction_Review-g294265-d317468-Reviews-Sultan_Mosque-Singapore.html,"
1,043 reviews
"
Marina Barrage,/Attraction_Review-g294265-d1823698-Reviews-Marina_Barrage-Singapore.html,"
669 reviews
"
Peranakan Museum,/Attraction_Review-g294265-d1491151-Reviews-Peranakan_Museum-Singapore.html,"
1,234 reviews
"
ArtScience Museum at Marina Bay Sands,/Attraction_Review-g294265-d2138895-Reviews-ArtScience_Museum_at_Marina_Bay_Sands-Singapore.html,"
1,625 reviews
"
Boat Quay,/Attraction_Review-g294265-d317397-Reviews-Boat_Quay-Singapore.html,"
1,235 reviews
"
Bukit Timah Nature Reserve,/Attraction_Review-g294265-d315472-Reviews-Bukit_Timah_Nature_Reserve-Singapore.html,"
409 reviews
"
Singapore City Gallery,/Attraction_Review-g294265-d315469-Reviews-Singapore_City_Gallery-Singapore.html,"
510 reviews
"
The Pinnacle @ Duxton,/Attraction_Review-g294265-d3512810-Reviews-The_Pinnacle_Duxton-Singapore.html,"
242 reviews
"
Raffles City,/Attraction_Review-g294265-d2139569-Reviews-Raffles_City-Singapore.html,"
512 reviews
"
Satay Street,/Attraction_Review-g294265-d9977571-Reviews-Satay_Street-Singapore.html,"
186 reviews
"
Little India,/Attraction_Review-g294265-d324541-Reviews-Little_India-Singapore.html,"
4,009 reviews
"
The Intan,/Attraction_Review-g294265-d7791180-Reviews-The_Intan-Singapore.html,"
549 reviews
"
Night Safari,/Attraction_Review-g294265-d324761-Reviews-Night_Safari-Singapore.html,"
12,080 reviews
"
Lau Pa Sat Festival Pavilion,/Attraction_Review-g294265-d386879-Reviews-Lau_Pa_Sat_Festival_Pavilion-Singapore.html,"
1,555 reviews
"
ION Orchard,/Attraction_Review-g294265-d2139448-Reviews-ION_Orchard-Singapore.html,"
1,008 reviews
"
Mustafa Centre,/Attraction_Review-g294265-d2139541-Reviews-Mustafa_Centre-Singapore.html,"
3,015 reviews
"
Mount Faber,/Attraction_Review-g294265-d2344356-Reviews-Mount_Faber-Singapore.html,"
379 reviews
"
National Library of Singapore,/Attraction_Review-g294265-d1994786-Reviews-National_Library_of_Singapore-Singapore.html,"
565 reviews
"
Katong District,/Attraction_Review-g294265-d640944-Reviews-Katong_District-Singapore.html,"
248 reviews
"
Takashimaya Singapore,/Attraction_Review-g294265-d1640638-Reviews-Takashimaya_Singapore-Singapore.html,"
708 reviews
"
Parkview Square,/Attraction_Review-g294265-d2341763-Reviews-Parkview_Square-Singapore.html,"
160 reviews
"
Emerald Hill,/Attraction_Review-g294265-d592883-Reviews-Emerald_Hill-Singapore.html,"
316 reviews
"
National Stadium,/Attraction_Review-g294265-d2349033-Reviews-National_Stadium-Singapore.html,"
165 reviews
"
Singapore River,/Attraction_Review-g294265-d4283466-Reviews-Singapore_River-Singapore.html,"
2,099 reviews
"
Kranji War Memorial,/Attraction_Review-g294265-d386877-Reviews-Kranji_War_Memorial-Singapore.html,"
992 reviews
"
Sri Veeramakaliamman Temple,/Attraction_Review-g294265-d317472-Reviews-Sri_Veeramakaliamman_Temple-Singapore.html,"
531 reviews
"
