REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_URL,REVIEW_RATING,REVIEW_DATE,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
,4,70,//www.qyer.com/u/2759091,4,2019-09-25,在一座百货大楼的地下，中规中矩的水族馆，比不上济州岛和冲绳岛的水族馆。,2020-02-03 13:31:37.805937
,4,70,//www.qyer.com/u/11686794,3,2019-07-17,很小，没什么意思，也就海豚园可以看看。,2020-02-03 13:31:37.812303
,4,70,//www.qyer.com/u/6641291,4,2019-06-12,小朋友的最爱，我觉得可以呆一天，适合全家人一起，老少咸宜。我家带了个防水相机，所以还可以有些照片，嘿嘿！这里是东南亚地区唯一融入海洋生物元素的水上乐园。最独特的一点就是入园的漂流道，带上个超大的救生圈，找个舒服的姿态，顺着河流探险，探访14个截然迥异的主题区，我们家刷了两趟！这里还有可以浮潜的地方，还有各类刺激的水上滑道，灌水屋，还有可以和海豚亲密触的地方，海豚园，不过这里是单独收费的，有些小贵，可以选择到水里亲密接触，也可以选择只在岸上近距离接触。,2020-02-03 13:31:37.819387
,4,70,//www.qyer.com/u/5749107,5,2016-01-08,我觉得非常有趣，一进门就是漂流，看着挺不起眼的，但是玩下来全程很长，途中会经历洞穴和热带鱼池，非常有趣，忍不住带着老公玩了三圈，根本停不下来，水温也很适宜，不冷。然后就是各种惊险刺激的水上滑梯，元旦假期去的人比较多，但是排队时间也不长。有拿着皮毯子从高处俯冲的，有双人或者单人的螺旋高速水滑梯，每个都值得好好玩一遍。里面还有跟热带鱼浮潜的池子，虽然不大，但是鱼很密集，我这种没玩过的第一次下水感觉很有趣，就是怎么使劲抓，鱼儿都比我动作快，就没成功碰到过，只能在身边游。其中浮潜和一个大滑梯可以买快速卷，但是真的没有必要，虽然我买了吧。最后友情提示，更衣室有两个，门口一个，浮潜项目前面还有一个，建议选择里面那个，因为大门口的在下午会非常多人，要等很久。,2020-02-03 13:31:37.826194
,4,70,//www.qyer.com/u/7189888,5,2018-03-14,来到圣淘沙，强烈建议先去水上探险乐园！！我们就是非常明智地选择了先玩水上乐园、再逛S.E.A海洋馆，我们基本上刚开园就进去，那时人还很少，游乐项目排队时间较短、可以用来漂流的大号泳圈也随便用，等我们游玩完毕准备出去的时候人已经开始多起来了，那会很影响游玩效果的哟~ 水上乐园的门票是提前在某宝购买的，98元/人，不需指定具体日期，在有效期内任何时间均可；凭打印出来的预定单在入口处直接扫码入园，非常方便~ 进入水上乐园先寄存个人物品。我们三个人租了一个小柜子，10新币/柜，不限时。租柜子也是一件乐事，在任一柜组中间的屏幕上点击“租用”，会让你输入六位生日（用来作为存取密码），然后选择柜子大小、喜欢的柜子颜色，然后塞入钱币，即可开启一个所选颜色的衣服柜；中途或最后取走物品的时候，屏幕上点击“取物”，输入生日密码、选择柜子颜色，正确输入则打开相应柜子，这时会询问你“未使用完毕、继续租用”还是“已确定使用完毕”，小心别选错了哦~~ 水上探险乐园的游玩区在中间，四周是环形的水流；可以借用岸边的大号泳圈，朝着特定的方向，漂流到每一处游乐区。当然，你也可以自己游泳，爸妈就选择勤劳地自己游啊，很欢乐的，因为有着水流的作用，游得比世界冠军还快呢！ 我们在第一处游乐区上岸，这里有水上冲浪（貌似每半小时就有一次人工造浪，持续时间一刻钟左右）、水上滑梯（共有六七组滑梯，惊险程度不一样哦）等项目，也可以单纯地躺在岸边躺椅上休息~ PS.：在每处游乐区都免费提供救生衣，根据各自身材选择大小~~ 玩得差不多了，我们继续漂流游向第二处游乐区。第二处游乐区有我最爱的浮潜项目，还有没有玩的高台跳水。 第三处游乐区不是在岸上哦，是一边漂流、一边欣赏的“水族馆”，有好多鳐鱼，它们乐此不疲地向游客们展示自己笑脸儿一样的白肚皮~ 第四处游乐区是模拟沙滩，可以在躺椅上晒太阳~,2020-02-03 13:31:37.831794
,4,70,//www.qyer.com/u/8996809,5,2017-07-06,因为孩子比较小，所以大多数时候都是在河道漂流，平时不喜欢水的孩子也玩得非常开心。大一点的孩子就有更多的选择，各种滑道挑战不同难度。尤为推荐的是海豚乐园（另外收费，最好提前预约），可以穿上潜水衣与海豚亲密接触，讲解员（部分可讲中文）讲解海豚知识非常细致，小朋友一开始有点恐惧，后来也敢和海豚亲亲，是非常好的体验。,2020-02-03 13:31:37.836406
,4,70,//www.qyer.com/u/558207,5,2017-05-19,这是个冷门的地方，但却是我最推荐去的乐园，价钱便宜孩子又开心，唯一的缺点，游泳各种滑道游乐太多，玩起来容易饿，里面吃的喝的小贵，味道也一般般，省钱做法是带个小包，带些水、面包啥的，相信我，玩几个小时，你家宝贝个个会像饿牢放出来的，另外入场可以存包包，但每个柜子10新币，当日重复使用，省钱的话，不存也可以，但最好有人专门看着，里面有提供免费的救生衣和冲浪设备，所以除了穿游泳衣，其他都不需要带，但是由于新加坡太阳确实很大，做好防晒工作以及记得穿凉鞋，否则走在热辣辣的地面可不好受。,2020-02-03 13:31:37.840376
,4,70,//www.qyer.com/u/5115505,5,2018-08-08,好玩儿！滑梯和浮潜一定要一开门就去，后面人会越来越多。跳水区人少，水深4米，孩子在哪玩儿了好久。我们10点开门就进去了，玩儿到了5点才出来。快关门的时候门口的淋浴更衣人会很多，去造浪区附近的那个人少。,2020-02-03 13:31:37.843925
,4,70,//www.qyer.com/u/5380924,4,2016-01-07,新加坡白天太阳一出来就很热，所以圣淘沙活动的第一站就变更为水上乐园。很棒，一个人也玩儿的很尽兴，就是某些项目排队的人太多了。预计花费5小时左右,2020-02-03 13:31:37.847590
,4,70,//www.qyer.com/u/8568707,5,2017-02-23,非常棒的水上乐园，里面的设备很好玩。海豚湾和浮潜池绝对是亮点，特别适合带小朋友去玩，强烈推荐！！！,2020-02-03 13:31:37.851154
,4,70,//www.qyer.com/u/1997230,4,2016-04-25,圣淘沙上的水上游乐园，穷游就有卖优惠票，喜欢玩水的孩子哈皮了！,2020-02-03 13:31:39.962030
,4,70,//www.qyer.com/u/182316,5,2018-02-26,非常适合带喜欢玩儿水的小朋友，进去可以玩儿一天，面积不大，但是功能比较全。,2020-02-03 13:31:39.977170
,4,70,//www.qyer.com/u/5651299,5,2017-09-25,项目不错，有惊险刺激的，也有适合小孩子玩的温和安全的。要在门口就换好游泳衣才能进入。,2020-02-03 13:31:39.990691
,4,70,//www.qyer.com/u/3831538,4,2017-04-20,亮点绝对是在满是珊瑚和热带鱼的池子里浮潜，整个公园可玩性还是很高的，更衣处冲凉处的设置比较多比较合理,2020-02-03 13:31:39.998197
,4,70,//www.qyer.com/u/5079204,4,2017-02-21,还不错，孩子们玩得很开心。更衣的地方有寄存箱，大小箱一天20/10新元。海豚园（另购）与亲密接触了一下，就是不让，而他们的照片太贵了，50新元起。,2020-02-03 13:31:40.003944
,4,70,//www.qyer.com/u/53536,5,2017-01-04,"巡游很放松，一大圈下来水波推着往前游，还能看到旁边的小鱼。熟悉好水温出来再玩其他项目就好多啦。喷射滑道“rocket""速度快又刺激，号称水流磁力过山车，坐着皮艇紧紧抓住不敢松手，皮艇带着你上冲下坠，最后已经不敢看了，飞速飞出了滑道，很刺激。",2020-02-03 13:31:40.008767
,4,70,//www.qyer.com/u/4690255,4,2016-12-18,最喜欢的是他们的浮潜，乐园不大，不好的地方是只能在里面买东西，又贵又难吃。,2020-02-03 13:31:40.012985
,4,70,//www.qyer.com/u/1862743,4,2016-04-26,穷游也卖这里的优惠票，喜欢水上游乐园的可以尽情来玩，水滑梯，漂流都有。,2020-02-03 13:31:40.016836
,4,70,//www.qyer.com/u/5787510,3,2016-04-10,很普通，没什么特色。另外租贵很贵，而且买毯子很贵，总之就是要钱,2020-02-03 13:31:40.020491
