新加坡被誉为“花园城市”果然名副其实，这次旅行深有体会，而对滨海湾花园尤为印象深刻。地理位置离金沙酒店很近，也可从bayfront站出来根据标示很容易找到。整个花园很大，远远就能看到宛若阿凡达世界里的supertree，到了晚上，这些“参天大树”会亮起映衬夜色的灯光，并且在指定时间开始震撼的音乐灯光秀。另外，我们去了两个室内冷气玻璃花园，分别叫cloud forest 和flower dome，室内冷气十足，一边感受着阳光透过玻璃落下来，一边吹着强冷气，很特别的体验。cloud forest主要亮点是从人造山和植物间倾泻而下的巨大瀑布，据说是世界最高的室内瀑布，很有气势。室内两条空中走廊，可以近距离观赏瀑布和拍照。flower dome 是以热带花卉和植物为主，其中不乏可爱的元素点缀，适合拍照。在supertree周围有一条空中走廊，需要另买票，分批放行游客乘电梯上去体验。走上去能感觉到轻微晃动，但视野很棒，能看到摩天轮和金沙。到了晚上，大量游客会选择supertree周围的空地上坐下等待灯光秀，第一场是七点四十五开始。灯光和音乐相互衬托制造了一场非常浪漫的show，好像到了童话世界。,,,,,
滨海湾这个地方是来新加坡怎么都绕不开的地方了，不论是去景点打卡，金沙购物吃饭还是乘车经过都看到那些经常出现在风景照片里巨大的钢铁树，没错就是滨海湾花园的标志了，当然这些摩天树区域是免费开放的，真正售票的是那两大温室，个人更喜欢那个有瀑布的，里面的植物更漂亮状态更好，也更有特色，另外那个平面温室感觉一般，虽然也还不错，但是并没惊艳感觉，温室里面的温度很宜人，对比外面三四十度的高温，简直太舒服了，值得多花些时间,,,,,
滨海湾花园内有两个植物温室，以钢铁和玻璃为主要结构，最大程度上优化了观景视野，并加强了陆地和海洋之间的连系。这两个节能的建筑使用了最新的可持续性建筑技术，配备水流收集和过滤系统。温室内培育有22.6万个植物，来自全球各个大洲(南极洲除外)，温室穹顶是建筑、环境和园艺文化三者的结合。,,,,,
海湾花园是新加坡的最新地标，也是城市花园和节能设计的典型代表。前一天晚上，住在金沙酒店，欣赏了花园美轮美奂的夜景，第二天上午，就来到了花园里头。据说，逾25万棵珍稀植物，特别是18棵超级大的树，小朋友叫他“树屋”，站在树顶可以鸟瞰整个花园景色。,,,,,
这个公园平时是不要门票的，但12月12号到圣诞节期间的晚上，由于有圣诞夜市所以需要单独购买门票。说是夜市，也就几个摊位买小吃的，主要还是来看这个灯光秀吧，每天晚上两场亮灯仪式，第一场7：45分，还是挺值得看的。热带人民对雪的期盼只能用肥皂泡泡来满足了,,,,,
滨海湾花园是新加坡市中心的超级花园，是新加坡最新的地标。园区共分成三个部分： 滨海南花园、滨海东花园，以及衔接二者的滨海中花园。游客可在花园中巨大的半球形温室里观赏到超过25万棵奇花异草，和全球最大的室内瀑布。,,,,,
新加坡滨海湾花园是新加坡的新地标，这里位于金沙大酒店的后方，有着十几棵高大的人造大树。另外还有三个拱形的温室 你连种植着来自寒带热带等各个地区的植物，甚至还有一处有着一个人造瀑布，非常的壮观，绝对是来新加坡旅游必来的地方，千万不要错过。,,,,,
已抵达花园就可以看到赚饱眼球的天空步道 来的时候可以先去登记登塔的时间 游客都很多 先安排好行程接下来也比较轻松 旁边的两个大贝壳 一个是热带雨林 另一边是花园 两个巨大温室里面的冷气都非常强劲 可以让你扫去室外的黏腻感 但旅客人数很多,,,,,
新加坡美丽的滨海花园是著名的网红打卡地之一，在这里植被茂盛，繁花似锦，无处不充满着浓郁的东南亚风情。而SuperTree by IndoChine餐吧就位于滨海花园中最大的天空之树顶层，在这个不大的露天餐吧里，可以把新加坡的城市风景尽收眼底。一边是金沙酒店在城市skyline的衬托下高耸入云，一边是花园景观连着海岸线郁郁葱葱，可谓是拥有绝佳的地理位置。不仅如此，这里也提供许多东南亚菜系的美食，有新加坡、马来西亚，泰国和越南等地的融合菜，让你一边欣赏美景，一边品尝东南亚美食，体验觉对棒棒的！光临了2次IndoChine都是在夜晚，如果不想吃正餐，顶楼有一个小型的吧台，20新币的入门券，包含一杯酒水饮料，在露天的树顶喝着小酒，吹着海风，欣赏着新加坡的无敌夜景，也是美不胜收。,,,,,
这个去的真的很值，一定要买空中走廊！两个馆感觉很一般，其中有个馆都是多肉。。而且都是普货，我家阳台的品种都比他们丰富。。好在还有可爱的迪士尼娃娃拯救了，拍照留念一下。另一个馆感觉没有想象中的震撼，不过拍照还是不错的，也是感觉一般般。室内馆没有想象中的那么冷，每个人的体感温度不一样，当天中午去的，我穿着防晒衣感觉要热死了。一开始到了超级树那边真的超级失望，和网图不一样啊？？？十脸懵逼，大下午的的也不能去中央走廊上晒太阳吧，于是跟麻麻吃了个附近的麦当劳正好有圣诞节园内还有很多那种玩游戏得娃娃的那种小摊（感觉在中国都不常见了。。）竟然有很多在玩的外国人。。还有造雪的机器，好多人玩的不亦乐乎，身为一个刚从冬天逃过来的北方人觉得自己好幸运。。可以见到真的雪。。。于是这么多废话中终于等到了傍晚，跟妈妈一起去空中走廊看落日，真的超美，还看了表演，（照片拍不出来，实景真的太美啦）这波不亏,,,,,
平安夜去滨海湾花园庆祝，意外发现一排鸡蛋，原来他们大有来头，晚上很美的灯光秀，用手触碰，鸡蛋还会变色，这个装修会一直延续到明年3月15日。有空去看看哦，免费的，从港湾站地铁站出来走不远即到。,,,,,
滨海湾花园，非常多的植物，很多游客来参观。有惊天大树，特别高大，装饰了很多灯饰，特别是晚上，每晚的19：40有音乐表演，跟着音乐的节奏，五颜六色的灯光非常震撼，美极了。,,,,,
新加坡旧称“星洲”或“星岛”，别称“獅城”，它的獅身鱼尾像就是它的象征：一个岛国以航运为主业，就象大海里的鱼儿一样来去自如，亚洲四小龙之一的经济就象狮子一个威武。新加坡滨海花园的夜景也是十分漂亮。,,,,,
"滨海湾花园分为两部分,都是玻璃屋罩着,里面非常凉爽.逛雨林的时间要多于花穹;除了很多植物,还有具有教育意义的科普讲解,是一个大人小孩都适合的景点.晚上的时候,在花园外面,还有精彩的灯光秀.",,,,,
一直不知道他的首都就叫新加坡，一个城市国家，整个国家就只有新加坡这一座城市，所以新加坡既是一个国家，也是首都。新加坡是一个城邦国家，故无省市之分，奇特的好地方。,,,,,
新加坡真的不大哦，滨海湾公园是到新加坡必打卡的点，入住酒店后，傍晚和晚上到这里逛逛，感觉真好啊！灯光开启的刹那间，实在是太美啦！[色] 住在这个酒店的好处是可以俯视整个公园的全景啦[得意]所以贵点也值，哈哈！,,,,,
天气热却想观光的好去处，2个温室内以温带呈现，植物种类多，十分凉爽，有高桥可走和室内瀑布，购票时要一起买，房客或搭MRT来金沙都穿过金沙酒店天桥走路3分钟，如无小孩和老人建议可跳过付费接驳车走路约10-15分到温室。园区里有熟食中心。,,,,,
这里的花很漂亮，品种也很多。四周环境及布置都十分有趣。晚上的表演好看，与不同游客一起躺着或坐下，感觉很大同，很和谐，很美妙。大家可由左面入口进入，较方便行毕全馆。花园日夜的景色各有不同，大家宜预留足够的时间游花园。,,,,,
不管是从正门走进来还是从金沙饭店走天桥过来， 其实都有一段距离， 接驳车的资讯在官网上也没有写得非常清楚，， 我们去的时候因为很晚所以连接驳车也没有， 还好是晚上，不然白天大太阳应该会走得很辛苦。 可能很欣赏的兴致都没有了。,,,,,
滨海湾花园的的钢筋树应该算新加坡的新地标吧，连摘金奇缘里面都反复出现，夜晚灯光秀开始前有很多人在户外的餐厅和酒吧甚至草坪上聚集，虽然很干净不过还是太热了吧,,,,,
