REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
,2,245,旅游交友,5.0,2018-02-18,Not Available,这个超级跳专门给那种喜欢挑战性的勇者，很受年轻人的欢迎，安全措施做的非常好。一边玩一边欣赏海景是非常美的，来到了圣淘沙，就要去各个景点玩玩，才不枉到此一游。,2020-02-16 18:03:27.095152
,2,245,M29****1153,4.0,2019-09-08,Not Available,刺激，惊险，必须有胆量的人才敢，鼓足了勇气才敢来的不少,2020-02-16 18:03:27.102301
,2,245,小魅力蘑菇,5.0,2019-04-19,Not Available,这个胆小的别玩，我是连小朋友的我不敢玩，但是都说好玩。,2020-02-16 18:03:27.106624
,2,245,别让爱输给时间,5.0,2017-03-31,Not Available,非常具有地方特色的美丽旅游景点。,2020-02-16 18:03:27.110960
,2,245,携之旅行,4.0,2017-12-20,Not Available,来新加坡，想找刺激的话，别错过新加坡超级跳，来吧，一起疯狂吧,2020-02-16 18:03:27.114694
,2,245,小卜的冯叔,5.0,2017-03-16,Not Available,刺激，惊险，必须有胆量的人才敢，鼓足了勇气才敢来的不少,2020-02-16 18:03:27.118678
,2,245,206****159,4.0,2018-02-08,Not Available,太刺激了，游人总是太多，要排队。,2020-02-16 18:03:27.125287
,2,245,虎哥jkc,4.0,2018-03-11,Not Available,哎，特刺激的蹦极跳，从高空往下跳。,2020-02-16 18:03:27.131419
,2,245,_ceai****5795,4.0,2018-01-30,Not Available,成人儿童都玩得很开心，跳跃的快乐。,2020-02-16 18:03:27.135481
,2,245,sunnycccc,5.0,2017-12-30,Not Available,这是一项很受欢迎的娱乐项目哦。,2020-02-16 18:03:27.141614
,2,245,sunnycccc,5.0,2018-06-26,Not Available,这里的娱乐项目没有什么高难度 适合小朋友玩,2020-02-16 18:03:32.022971
,2,245,M11****150,5.0,2018-03-30,Not Available,挺好玩的地方，棒棒的，很不错呀，,2020-02-16 18:03:32.027548
,2,245,M26****893,4.0,2018-03-16,Not Available,景色宜人，性价比超高，趣味性强,2020-02-16 18:03:32.031648
,2,245,蓝色星球的行者,3.0,2017-09-22,Not Available,在克拉码头附近的绑紧跳，只是偶然看到有人尝试，大部分时间都是空着。估计胆小的人太多，哈哈,2020-02-16 18:03:32.037881
,2,245,飞来飞去的椰子,5.0,2017-08-17,Not Available,非常好玩的项目，大人小孩都可以,2020-02-16 18:03:32.044804
