REVIEW_INDEX,WEBSITE_INDEX,POI_INDEX,REVIEWER_NAME,REVIEW_RATING,REVIEW_DATE,REVIEW_TIME,REVIEW_BODY,ATTRIBUTES_CRAWLED_TIME
,2,77,M22****6591,4.0,2020-01-25,Not Available,很新鲜，在国内没有看见过，真稀奇,2020-02-13 01:48:36.904018
,2,77,M49****970,5.0,2019-08-04,Not Available,学院以20世纪美国最重要的一位印刷大师Kenneth Tyler的名字命名，展示出版了众多全球知名艺术家的作品集，这里还以相对便宜的价格出售艺术家的作品集。泰勒印刷学院在探索和研发印刷新技术方面也颇有建树。,2020-02-13 01:48:36.912568
,2,77,M515shunyi1618,5.0,2019-06-30,Not Available,新加坡泰勒职业艺术学院在乌节路的一端，是把新加坡将造纸技术和艺术相融合的地方，可以看到很多有创意的印刷作品。,2020-02-13 01:48:36.919713
,2,77,M25****4707,5.0,2019-05-24,Not Available,新加坡泰勒纸印艺术学院是一家走在印刷造纸技艺和美学前沿的机构，参观者在这里不仅能欣赏到许多精美的艺术作品，还可身临版画工作室看看艺术家们是怎样创作这些作品的，在现场他们会耐心地解答你提出的任何问题。,2020-02-13 01:48:36.929917
,2,77,小虫寵,4.0,2018-08-08,Not Available,沿着新加坡河，新加坡泰勒纸印艺术学院在亚洲文明博物馆的下游，是印刷艺术的宝石。我们被告知新加坡购买了整个泰勒艺术印刷品生产线以及令人惊叹的印刷品艺术品，并邀请了来自世界各地的艺术家在这里制作出作品。,2020-02-13 01:48:36.938041
,2,77,打起背包去旅行,4.0,2018-02-15,Not Available,这里感觉还算是不错的保留了原始的东西很多。,2020-02-13 01:48:36.950244
,2,77,tai****000,5.0,2016-10-15,Not Available,新加坡的泰勒纸印艺术学院是一个很有趣的景点，你在这里可以看到很多有趣的印刷艺术品，都非常的好看，而且你也可以走进他们的创作室，看他们是如何创作的，很值得体验。,2020-02-13 01:48:36.957417
,2,77,300****109,4.0,2017-12-21,Not Available,学习艺术的天堂，很多人前来学习深造。,2020-02-13 01:48:36.971249
,2,77,_NET****46026,5.0,2016-10-27,Not Available,"新加坡泰勒纸印艺术学院以独特的精良装备创造出系列限量版印刷品和独特纸艺作品，从而立足于印刷造纸技艺和美学的前沿,值得你费点时间去逛逛。",2020-02-13 01:48:36.982297
,2,77,_rr1****163,5.0,2016-11-04,Not Available,这里的艺术形式非常的特别鲜艳的颜色，精巧的造型再加上年轻人的活力，是的这一切看上去都非常的小清新，是适合出照片的地方。,2020-02-13 01:48:36.989423
,2,77,爱爱李,4.0,2016-01-19,Not Available,新加坡泰勒纸印艺术学院有着非常多的艺术品，这里的艺术形式非常的特别哦，好多艺术手段都是可以 看得到的现象，在这里的艺术馆有好多个不同的作品可以欣赏得到呢。,2020-02-13 01:48:40.740339
,2,77,_rr1****163,5.0,2016-09-15,Not Available,新加坡泰勒纸印艺术学院如果是喜欢文艺小清新的朋友，不妨来这里看一看，虽然没有艺术馆那么多的作品,2020-02-13 01:48:40.747938
,2,77,yifulan,3.0,2016-10-29,Not Available,去的时候还要排队的，很多游客在这里等着参观， 里面的现代艺术品包括工艺和纸印美术作品，很丰富。,2020-02-13 01:48:40.753259
,2,77,_ceai****5795,4.0,2017-12-15,Not Available,门票免费，艺术气息较浓，尽管主题不大。,2020-02-13 01:48:40.760121
,2,77,糊你熊脸芭蕉桑,4.0,2017-01-06,Not Available,里展示的美术作业太多了，来这里参观的人很多，里面有各种大师的作品，还会不定期的做一些展览。,2020-02-13 01:48:40.765472
,2,77,gykxxx,5.0,2016-01-26,Not Available,"建于2002年，以独特的精良装备创造出系列限量版印刷品和独特纸艺作品，从而立足于印刷造纸技艺和美学的前沿,值得你费点时间去逛逛。",2020-02-13 01:48:40.771183
,2,77,_NET****46026,5.0,2016-10-31,Not Available,"虽然没有艺术馆那么多的作品，从而立足于印刷造纸技艺和美学的前沿,值得你费点时间去逛逛。",2020-02-13 01:48:40.776821
,2,77,老小子ll,4.0,2016-09-03,Not Available,新加坡泰勒纸印艺术学院充满了艺术气息，里头美术藏品作品繁多，每个展厅各有千秋,2020-02-13 01:48:40.781813
,2,77,M11****150,5.0,2018-03-07,Not Available,学习到了很多艺术知识，感觉很不错，,2020-02-13 01:48:40.786272
,2,77,闪瞎眼的2连,4.0,2016-09-10,Not Available,新加坡泰勒纸印艺术学院的艺术品结合涵盖了古典艺术，现当代艺术，做得很不错的,2020-02-13 01:48:40.791149
,2,77,游在这方天地,4.0,2015-10-10,Not Available,是一家造纸艺术和美学机构，这里能欣赏到精美的艺术作品，和艺术家的创作过程。,2020-02-13 01:48:44.684626
,2,77,sunnycccc,5.0,2018-02-12,Not Available,学院里可以参观一下 能学到河多知识,2020-02-13 01:48:44.691190
,2,77,小房东,5.0,2018-01-17,Not Available,居住了十年一次没去过......,2020-02-13 01:48:44.697542
,2,77,泉泉227676,3.0,2015-09-30,Not Available,这里介绍了新加坡特有的造纸技术，这些纸张非常适合绘画，也能参观制造的过程，这里星期天休息，想去的要注意了,2020-02-13 01:48:44.702322
,2,77,0706wuminmin,5.0,2016-12-07,Not Available,非常的有意思，很小清新的感觉，可以去玩一下,2020-02-13 01:48:44.708874
,2,77,coldwar,4.0,2017-10-14,Not Available,新加坡泰勒纸印艺术学院有三十六幅石版作品，还有一些他的游泳池主题作品的例子，门票是免费的，许多有趣的活动，从纸浆造纸到见证和尝试不同类型的印刷方法，参观还有免费的饮料。,2020-02-13 01:48:44.713802
,2,77,牛牛jack,5.0,2015-09-17,Not Available,在这里可以欣赏到较为前沿的造纸和印刷技术，而且机器化程度很高,2020-02-13 01:48:44.717917
,2,77,M15****577,5.0,2018-06-28,Not Available,在这里可以对印刷艺术有所了解。,2020-02-13 01:48:44.724977
,2,77,wangjue888,4.0,2017-06-06,Not Available,Tyler print institute of Singapore很有艺术气息的地方了，可以看到很多艺术家在工作，作品也比较漂亮,2020-02-13 01:48:44.731545
,2,77,鹄立头,4.0,2016-10-19,Not Available,这里最好的一个地方， 里面的现代艺术品包括工艺和美术作品，很丰富。漫步仔细欣赏会体会艺术的灵感是多么的美妙。,2020-02-13 01:48:44.737659
,2,77,乐乐嘻嘻哈哈,5.0,2016-07-04,Not Available,文艺女青年值得一来的地方，因为这里的展示看似平凡，但却非常有特色，别处并不多见。普通的纸，却可以转瞬间成为艺术品。,2020-02-13 01:48:49.533100
,2,77,芥末丶丶,4.0,2016-09-09,Not Available,大量纸质艺术品，知识性趣味性，总会收获到你需要的。有剪纸折纸  还有纸拼的各种模型可以看,2020-02-13 01:48:49.538335
,2,77,愤怒的喵喵,4.0,2016-10-30,Not Available,在新加坡泰勒纸印艺术学院特别欣赏现代艺术品。众多世界著名现代艺术品集齐于此，不枉此行,2020-02-13 01:48:49.543272
,2,77,110****090,5.0,2016-06-08,Not Available,新加坡泰勒纸印艺术学院，可以欣赏到一些艺术家的作品，有时间的话可以带孩子来这里看看。,2020-02-13 01:48:49.547564
,2,77,破坏死光,4.0,2016-09-05,Not Available,新加坡泰勒纸印艺术学院身临其境，美轮美奂，果然还是艺术吧。普通老百姓看不懂。比如我,2020-02-13 01:48:49.551666
